"Segment"	"en-ZZ"	"sq-XK"	"ID"	"File"
"1313"	"&lt;b&gt;Development and Disaster&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Zhvillimi dhe shkatërrimi&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question5_itemTitle5_56f9ce15e87110.52427026_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2563"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Krahasimi i Llambave të Dritës &lt;/b&gt;&lt;br /&gt; Pyetja"	"question5_1_itemTitle05_56fd8ed92be772.13046365_0"	"PISA_sqi-KSV_SCI_S643-LightBulbs_en18_MS2022.xlf"
"2302"	"select"	"Zgjedh"	"question5_1_o5b_0_56f9ce166e4685.90770887_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2267"	"select"	"Zgjedh"	"question3_1_o3_0_56f9ce166ad643.18211208_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1219"	"Species A&lt;br /&gt;branches with ants"	"Lloji A&lt;br /&gt;i degëveme  milingona"	"S603_stimulus1_le3_56f9ce15deb6d9.62826282_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2712"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lexo hyrjen. Pastaj kliko shigjetën Tjetër.&lt;/i&gt;"	"question0_1_itemDirections00_56f9ce169c6b67.08383402_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1344"	"Species A"	"Lloji A"	"S608_stimulus2_le21_56f9ce15ebcba8.98329192_0"	"PISA_sqi-KSV_SCI_S608-Ammonoids_en18_MS2022.xlf"
"1756"	"S626 Sound in Marine Habitats"	"S626 Tingulli në Mjediset Detare"	"S626_stimulus2_unknownID_56f9ce16287d21.28453188_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1862"	"&lt;b&gt;Sound in Marine Habitats&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Tingulli në Mjediset Detare&lt;/b&gt;&lt;br /&gt;Pyetja"	"S626_question2_itemTitle_2_56f9ce162efec1.45542967_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1608"	"tornadoes"	"tornadot"	"S620_stimulus2_title2_56f9ce1616ca14.91964581_0"	"PISA_sqi-KSV_SCI_S620-Tornadoes_en18_MS2022.xlf"
"1345"	"Species B"	"Lloji  B"	"S608_stimulus2_le22_56f9ce15ebcf04.74231180_0"	"PISA_sqi-KSV_SCI_S608-Ammonoids_en18_MS2022.xlf"
"1206"	"S603 Elephants and Acacia Trees"	"S603  Elefantët dhe drurët e akacies"	"S603_stimulus1_unknownID_56f9ce15de8b75.42262193_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1225"	"Time of Exposure (minutes)"	"Koha e ekspozimit  (minuta)"	"S603_stimulus1_p25_56f9ce15dec732.12301105_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1388"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Amonitet &lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question3_itemTitle3_56f9ce15ef8b04.87052109_0"	"PISA_sqi-KSV_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2412"	"How to Run the Simulation"	"Si të Drejtosh Simulimin"	"menu_1_MenuHeading_56f9ce1676c244.56231500_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1944"	"&lt;b&gt;Car Tyres&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Gomat e Veturave&lt;/b&gt;&lt;br /&gt; Pyetja"	"S627_question3_qitemTitle3_56f9ce1639b0d8.28915814_0"	"PISA_sqi-KSV_SCI_S627-CarTyres_en18_MS2022.xlf"
"1932"	"&lt;b&gt;Car Tyres&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Gomat e Veturave&lt;/b&gt;&lt;br /&gt; Pyetja"	"S627_question2_qitemTitle2_56f9ce163815d9.70219770_0"	"PISA_sqi-KSV_SCI_S627-CarTyres_en18_MS2022.xlf"
"2766"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Për këtë pyetje nuk do të të nevojitet përdorimi i simulimit. Kliko një alternativë dhe më pas shtyp shpjegimin për t’u përgjigjur pyetjes.&lt;/i&gt;"	"question6_1_itemDirections06_56f9ce16a2d340.63392418_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1003"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Kliko një alternativë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"S603_question5_itemDirections5_56f9ce15c92572.26992135_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1368"	"&lt;b&gt;Ammonoids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Amonitet&lt;/b&gt;&lt;br /&gt; Pyetja"	"S608_question2_QitemTitle2_56f9ce15ee2500.67712834_0"	"PISA_sqi-KSV_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2807"	"The Run button to display the results."	"Butoni Drejto për të shfaqur rezultatet."	"menu_1_menuLi3_56f9ce16a5c0a2.15687788_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2764"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Nanogrimcat&lt;/b&gt;&lt;br /&gt; Pyetja"	"question6_1_itemTitle06_56f9ce16a2caa9.80007675_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2432"	"Oil Spills"	"Derdhjet e Naftës"	"S638_stimulus1_attr_alt_attr_stimulus1_1_56f9ce1679cc14.17175151_0"	"PISA_sqi-KSV_SCI_S638-OilSpills_en18_MS2022.xlf"
"2753"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas shtyp shpjegimin tënd për t'ju përgjigjur pyetjes. &lt;/i&gt;"	"question5_1_itemDirections05_56f9ce16a18d84.36705760_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"975"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Elefantët dhe Drurët e Akacies &lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question3_itemTitle3_56f9ce15c67e89.44153332_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2182"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Shëruar / Vaksinuar:&lt;/b&gt; Individët në këtë gjendje gjithashtu e kanë pasur sëmundjen dhe pastaj janë shëruar prej saj, ose kanë qenë të vaksinuar për të parandaluar sëmundjen. Në simulim, këta persona nuk mund ta marrin sëmundjen."	"menu_1_aMenutr3td2_56f9ce16621287.39608320_0"	"PISA_sqi-KSV_SCI_S634-Vaccination_en18_MS2022.xlf"
"2271"	"select"	"Zgjedh"	"question3_1_o3b_0_56f9ce166ae069.51490181_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2804"	"To run this simulation, you can use the following controls:"	"Për të drejtuar këtë simulim, ti mund të përdorësh kontrollet në vijim:"	"menu_1_menuP2_56f9ce16a5b7a2.23055742_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2958"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Llojet Pushtuese&lt;/b&gt;&lt;br /&gt; Pyetja"	"S657_question2_itemTitleqS2_56f9ce16b87302.52751824_0"	"PISA_sqi-KSV_SCI_S657-InvasiveSpecies_en18_MS2022.xlf"
"1370"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Referoju &quot;Amonitet&quot; në të djathtë. Përdor  tërhiq dhe lësho për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"S608_question2_itemDirections2_56f9ce15ee2bf2.27008387_0"	"PISA_sqi-KSV_SCI_S608-Ammonoids_en18_MS2022.xlf"
"2818"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Mirë!&lt;br /&gt; Të lutem kliko shigjetën Tjetër për të vazhduar."	"sim_1_sim_3_56f9ce16a788c2.60154409_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1235"	"Caterpillars are in cocoons"	"Larvat janë në fshikëza"	"S607_intro_l03_56f9ce15e07ed2.73258409_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1320"	"Do elephants play a key role in maintaining the population of ants on the savannah?"	"A luajnë elefantët një rol kyç në ruajtjen e popullatës ës milingonave në savanë?"	"S603_question5_question5_3_56f9ce15e88bd1.09474119_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1316"	"Elephants and acacia trees"	"Elefantët dhe drurët e akacies"	"S603_question5_title4_56f9ce15e87b11.55024177_0"	"PISA_sqi-KSV_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2155"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Drejto simulimin për të mbledhur të dhënat e bazuara në informacionin e mëposhtëm. Kliko një alternativë dhe më pas shtyp shpjegimin tënd për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"question4_1_itemDirections04_56f9ce165c8363.71328200_0"	"PISA_sqi-KSV_SCI_S634-Vaccination_en18_MS2022.xlf"
"2739"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Nanogrimcat &lt;/b&gt;&lt;br /&gt;Pyetja"	"question4_1_itemTitle04_56f9ce16a04ae9.50132954_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1812"	"Sound-emitting device"	"Pajisje tingull-lëshuese"	"S626_stimulus3_device2_56f9ce162a7ad7.85724169_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"1001"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Elefantët dhe Drurët e Akacies&lt;/b&gt;&lt;br /&gt; Pyetja"	"S603_question5_itemTitle5_56f9ce15c91f51.96684189_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"1694"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Tornadot&lt;/b&gt;&lt;br /&gt;Pyetja"	"S620_Q5_QitemTitle5_56f9ce1620ce30.64834887_0"	"PISA_sqi-KSV_SCI_S620-Tornadoes_en18_MS2022.xlf"
"902"	"higher"	"më të larta"	"S602_question4_S602Q04SELECT31_56f9ce15bbcd36.52698381_0"	"PISA_sqi-KSV_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"1163"	"&lt;b&gt;Geothermal Energy&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Energjia Gjeotermale &lt;/b&gt;&lt;br /&gt; Pyetja"	"S605_question3_itemTitle3_56f9ce15d943b6.20551250_0"	"PISA_sqi-KSV_SCI_S605-GeothermalEnergy_en18_MS2022.xlf"
"1791"	"sound in marine habitats"	"tingulli në mjediset detare"	"S626_stimulus3_title3_56f9ce162a3174.06879944_0"	"PISA_sqi-KSV_SCI_S626-SoundInMarineHabitats_en18_MS2022.xlf"
"984"	"1"	""	"S603_question3_attr_value_attr_S603Q03RADIO_1_56f9ce15c6a5b5.82398117_0"	"PISA_sqi-KSV_SCI_S603-ElephantsAndAcaciaTrees_en18_MS2022.xlf"
"2820"	"Please click on the NEXT arrow to continue."	"Të lutem kliko shigjetë Tjetër për të vazhduar."	"sim_1_automationMsg2_56f9ce16a78ff2.60751962_0"	"PISA_sqi-KSV_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"2232"	"Medium"	"Mesatar"	"stimulus2_1_stimulus2_45_56f9ce16669c70.41899028_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2356"	"Medium"	"Mesatar"	"js_translation_medium_56f9ce16739de8.34544565_0"	"PISA_sqi-KSV_SCI_S635-SaveTheFish_en18_MS2022.xlf"
