"Segment"	"en-ZZ"	"es-MX"	"ID"	"File"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_esp-MEX_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4946"	"Click on a choice to answer the question."	"Para responderla, selecciona una opción."	"q3MA160_question_q3itemDirections_5c9d21377f8251.32216410_2_0"	"PISA_esp-MEX_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4902"	"Click on the choices in the table to answer the question."	"Para responderla, selecciona las opciones en la tabla."	"q1MA160_question_q1itemDirections_5c9d21377c33e0.63336318_2_0"	"PISA_esp-MEX_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Para responderla, selecciona tu respuesta de las listas desplegables."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_esp-MEX_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Verdadero&lt;/b&gt; o &lt;b&gt;Falso&lt;/b&gt; en cada una de las afirmaciones."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_esp-MEX_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Para responder a la pregunta, usa la función &quot;arrastrar y soltar&quot;."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_esp-MEX_MAT_MA157-Tyres_en21_MS2022.xlf"
"2077"	"Using the number keys, type your answer to the question."	"Para responderla, escribe tu respuesta con el teclado numérico."	"MA125_question2_q02itemDirections_5c9d21370b15c1.08124219_2_0"	"PISA_esp-MEX_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Selecciona &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; para cada afirmación."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_esp-MEX_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5278"	"Mean"	"Media"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_esp-MEX_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"948"	"Height"	"Altura"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_esp-MEX_MAT_MA112-Metabolism_en21_MS2022.xlf"
"949"	"Weight"	"Peso"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_esp-MEX_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_esp-MEX_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_esp-MEX_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"Para responder a la pregunta, escribe tu respuesta usando el teclado numérico."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_esp-MEX_MAT_MA141-WaterBill_en21_MS2022.xlf"
"417"	"Click on the choices in the table to answer the question."	"Para responderla, selecciona las opciones en la tabla."	"M105_question4_itemDirections4_5c9d213673ce56.29743651_2_0"	"PISA_esp-MEX_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"593"	"Click on a choice to answer the question."	"Para responderla, selecciona una opción."	"MA108q02_question_q02itemDirections_5c9d2136c1f750.90859666_2_0"	"PISA_esp-MEX_MAT_MA108-Fountains_en21_MS2022.xlf"
"5019"	"Mean"	"Media"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_esp-MEX_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
