"Segment"	"en-ZZ"	"ru-QZ"	"ID"	"File"
"744"	"S498 Experimental Digestion"	"S498 Эксперимент по пищеварению"	"S498_stimulus2_unknownID_50f479b90c0518.24771872_0"	"PISA_rus-QAZ_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2371"	"increase"	"увеличивается"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Средний"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_rus-QAZ_SCI_S615-Tsunami_en15_MS2022.xlf"
"2698"	"Halogen"	"Галогенная"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_rus-QAZ_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2370"	"select"	"Выберите"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2243"	"None"	"Нулевая"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2945"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-QAZ_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Выполните симуляцию для получения данных на основании приведённой ниже информации. Для ответа на вопрос отметьте нужный вариант ответа, а затем напечатайте объяснение своего ответа.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_rus-QAZ_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1619"	"Medium"	"Средний"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_rus-QAZ_SCI_S615-Tsunami_en15_MS2022.xlf"
"2375"	"increase"	"увеличивается"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;Для ответа на вопрос отметьте в таблице нужные варианты ответа.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_rus-QAZ_SCI_S638-OilSpills_en15_MS2022.xlf"
"2339"	"select"	"Выберите"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_rus-QAZ_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1447"	"Species A"	"Вид A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_rus-QAZ_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Прочитайте текст &quot;Аммониты&quot;, расположенный справа. Для ответа на вопрос используйте метод «Перетащить и оставить».&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_rus-QAZ_SCI_S608-Ammonoids_en15_MS2022.xlf"
