"Segment"	"en-ZZ"	"et-EE"	"ID"	"File"
"4134"	"Type your answer to the question."	"Küsimusele vastamiseks klõpsa ühte vastusevarianti ja seejärel kirjuta põhjendus."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_est-EST_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Kirjuta küsimuse vastused."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4457"	"Date"	"Kuupäev"	"R563-stimulus-communtity_stimulus_culture_sports_10_56fc786b382e91.01452399_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4944"	"Website"	"Veebisait"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_est-EST_REA_R566-SkelligRocks_en18_MS2022.xlf"
"301"	"T"	"N"	"R219_stimulus_stimulus_7_50c7b7669b16c5.03792200_0"	"PISA_est-EST_REA_R219-Employment_en15_MS2022.xlf"
"2372"	"One book must be from the top 3 fiction genres in the survey results"	"üks raamat peab kuuluma küsitlustulemuste järgi 3 kõige eelistatuma ilukirjandusliku žanri hulka;"	"R547_question10_q10l1i1_56fc782e149f54.60504523_0"	"PISA_est-EST_REA_R547-BookSurvey_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Amundsen tahtis lõunapoolusel võitu saavutada. 1911. aasta 14. jaanuaril maabus ta Antarktikas, Vaalade lahes. Ta valmistus talve veetma Framheimis, Rossi jäälavale rajatud baasis koos kaheksa kaaslase ja 116 koeraga. 20. oktoobril 1911. aastal alustasid Amundsen ja neli tema meest teekonda Framheimist kelkudel, millest igaühe ees oli 12 koera, et vallutada lõunapoolus. 17. novembril, asukohaga umbes 85° lõunalaiust, jõudsid nad mäeaheliku jalamile, mida nimetatakse Transantarktiliseks ahelikuks, ja pidid järgmisena selle ületama. Nad alustasid ülesronimist hirmuäratavast, avalõhesid täis Axel Heibergi liustikust"	"R220_stimulus_p2_50c7c0391679a5.06578053_0"	"PISA_est-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"1545"	"Tutors for All"	"Õpiabi üksus"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_est-EST_REA_R542-BulletinBoard_en18_MS2022.xlf"
"637"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Loe läbi &lt;b&gt;1&lt;/b&gt;. lehekülg."	"R404_question_introBullet1_50c7c81f279b54.50724615_0"	"PISA_est-EST_REA_R404-Sleep_en15_MS2022.xlf"
"2801"	"Autumn"	"Sügisel"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_est-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Toetu veebisaidi veebilehtedele paremal."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Toetu veebisaidi veebilehtedele paremal."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2800"	"Summer"	"Suvel"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_est-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"3096"	"1."	"1"	"R552_question05_txtbox-num1_56fd794264e610.80150755_0"	"PISA_est-EST_REA_R552-FestiRock_en18_MS2022.xlf"
"2374"	"Each nominated book must cost less than 25 zeds"	"iga väljapakutud raamat peab maksma vähem kui 25 zedi."	"R547_question10_q10l1i4_56fc782e14a4a6.26695589_0"	"PISA_est-EST_REA_R547-BookSurvey_en18_MS2022.xlf"
"304"	"S"	"P"	"R219_stimulus_stimulus_10_50c7b7669b23d6.95750286_0"	"PISA_est-EST_REA_R219-Employment_en15_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Brošüüri lugemiseks klõpsa noolt EDASI."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_est-EST_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Toetu veebisaidi veebilehtedele paremal."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Toetu veebisaidi veebilehtedele paremal."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Toetu veebisaidi veebilehtedele paremal."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5309"	"According to the information in the text, are the statements in the table below true or false?"	"Kas järgmises tabelis olevad väited on tekstis esitatud info põhjal tõesed või väärad?"	"R567_question08_q08p1_56fc78791575d5.59175189_0_0"	"PISA_est-EST_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Toetu veebisaidi veebilehtedele paremal."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_est-EST_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5780"	"Location"	"Koht"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_est-EST_REA_R569-TheCleanup_en18_MS2022.xlf"
"2802"	"Winter"	"Talvel"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_est-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"638"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Klõpsa numbrit &lt;b&gt;2&lt;/b&gt;, et vaadata &lt;b&gt;2&lt;/b&gt;. lehekülge."	"R404_question_introBullet2_50c7c81f279eb5.77835693_0"	"PISA_est-EST_REA_R404-Sleep_en15_MS2022.xlf"
"4942"	"Website"	"Veebisait"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_est-EST_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2662"	"Ancestral Puebloans"	"Muistsed pueblod"	"R550_ancestral_ancestral-content-header_56fc785cc8f307.88522279_0"	"PISA_est-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"2373"	"One book must be a non-fiction book"	"üks raamat peab olema aimekirjanduslik;"	"R547_question10_q10l1i2_56fc782e14a1f5.53976147_0"	"PISA_est-EST_REA_R547-BookSurvey_en18_MS2022.xlf"
"329"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"Loe läbi &lt;b&gt;1&lt;/b&gt;. lehekülg."	"R220_question_introBullet1_50c7c039033cf6.95630689_0"	"PISA_est-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Täitke &lt;/b&gt; allpooltoodud vorm&lt;br /&gt; &lt;b&gt;3/ Lisage &lt;/b&gt; sellele ostu tõendava dokumendi koopia ning ostetud kaupade triipkood või hinnasilt&lt;br /&gt; &lt;b&gt;4/ Saatke &lt;/b&gt; need 15 päeva jooksul pärast ostu sooritamist alljärgnevale aadressile: &lt;br /&gt;"	"R466_stimulus_section2_50c7c934d33335.83645576_0"	"PISA_est-EST_REA_R466-WorkRight_en15_MS2022.xlf"
