"Segment"	"en-ZZ"	"mn-MN"	"ID"	"File"
"2404"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Дараах асуулт бүрийн хувьд: &lt;b&gt;Тийм&lt;/b&gt; эсвэл &lt;b&gt;Үгүй&lt;/b&gt; товчийг дар."	"S629_question4_itemStem4_5c9d227bb01a64.85309226_6_0"	"PISA_mon-MNG_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2616"	"High"	"Их"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2085"	"Type your answer to the question.&lt;/i&gt;"	"Асуултын дагуу хариултаа бичиж бөглөнө үү.&lt;/i&gt;"	"S625_question1_itemDirections1_5c9d227b6b51a1.38334626_1_0"	"PISA_mon-MNG_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"2613"	"None"	"Огт үгүй"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2882"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"Дараах асуулт бүрийн хувьд: &lt;b&gt;Тийм&lt;/b&gt; эсвэл &lt;b&gt;Үгүй&lt;/b&gt; товчийг дар."	"S638_question4_p41_5c9d227c21dae0.65233789_1_0"	"PISA_mon-MNG_SCI_S638-OilSpills_en21_MS2022.xlf"
"1954"	"Medium"	"Дунд"	"js_translation_slopeMedium_5c9d227b3fb996.85405506_0"	"PISA_mon-MNG_SCI_S615-Tsunami_en21_MS2022.xlf"
"2745"	"None"	"Огт үгүй"	"js_translation_none_5c9d227befa414.60923870_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2618"	"None"	"Огт үгүй"	"stimulus2_1_stimulus2_43_5c9d227be143f6.04534828_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2676"	"select"	"СОНГО"	"question3_1_o3b_0_5c9d227be62df9.94958067_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2620"	"Medium"	"Дунд"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2615"	"Medium"	"Дунд"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"490"	"Number of"	"Амьд үлдсэн балчир оцон шувууны"	"S425_stimulus2_t1tr3td1_5c9d22abe8ac40.11048213_0_0"	"PISA_mon-MNG_SCI_S425-PenguinIsland_en21_MS2022.xlf"
"3065"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд хүснэгт дэхь сонголтууд дээр дарна уу.&lt;/i&gt;"	"S645_question1_itemDirections1_5c9d227c4f8b07.32611541_1_0"	"PISA_mon-MNG_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2883"	"Can this question be answered by scientific experiments?"	"Энэ асуулт шинжлэх ухааны туршилтаар тайлбарлагдах уу?"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_mon-MNG_SCI_S638-OilSpills_en21_MS2022.xlf"
"2703"	"select"	"СОНГО"	"question5_1_o5_0_5c9d227be933f2.27989834_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2747"	"Medium"	"Дунд"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2349"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд хүснэгт дэхь сонголтууд дээр дарна уу.&lt;/i&gt;"	"S629_question2_itemDirections2_5c9d227bac4599.44971614_1_0"	"PISA_mon-MNG_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2672"	"select"	"СОНГО"	"question3_1_o3_0_5c9d227be629b1.76981930_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3099"	"Type your answer to the question.&lt;/i&gt;"	"Асуултын дагуу хариултаа бичиж бөглөнө үү.&lt;/i&gt;"	"S645_question4_itemDirections4_5c9d227c51f199.81592699_1_0"	"PISA_mon-MNG_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"1583"	"Type your answer to the question.&lt;/i&gt;"	"Асуултын дагуу хариултаа бичиж бөглөнө үү.&lt;/i&gt;"	"S605_question4_itemDirections4_5c9d227adef695.10070069_1_0"	"PISA_mon-MNG_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2748"	"High"	"Их"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1984"	"Medium"	"Дунд"	"sim_1_simSlopeMed_5c9d227b439bf7.99738830_0"	"PISA_mon-MNG_SCI_S615-Tsunami_en21_MS2022.xlf"
"2310"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд хүснэгт дэхь сонголтууд дээр дарна уу.&lt;/i&gt;"	"S627_question3_itemDirections3_5c9d227b9e55a9.91171542_1_0"	"PISA_mon-MNG_SCI_S627-CarTyres_en21_MS2022.xlf"
"2906"	"Type your answer to the question.&lt;/i&gt;"	"Асуултын дагуу хариултаа бичиж бөглөнө үү.&lt;/i&gt;"	"question1_1_itemDirections01_5c9d227c31e890.69451485_1_0"	"PISA_mon-MNG_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2339"	"Type your answer to the question.&lt;/i&gt;"	"Асуултын дагуу хариултаа бичиж бөглөнө үү.&lt;/i&gt;"	"S629_question1_itemDirections1_5c9d227bab07e7.43551119_1_0"	"PISA_mon-MNG_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2621"	"High"	"Их"	"stimulus2_1_stimulus2_46_5c9d227be147e8.45470810_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3173"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Сонголт хийж, асуултын хариултын тайлбарыг гүйцээ.&lt;/i&gt;"	"question6_1_itemDirections06_5c9d227c627d81.36978752_1_0"	"PISA_mon-MNG_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2707"	"select"	"СОНГО"	"question5_1_o5b_0_5c9d227be93836.04718175_0"	"PISA_mon-MNG_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1244"	"Type your answer to the question.&lt;/i&gt;"	"Асуултын дагуу хариултаа бичиж бөглөнө үү.&lt;/i&gt;"	"S602_question3_itemDirections3_5c9d227a91f0f8.85124035_1_0"	"PISA_mon-MNG_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"501"	"young penguins that survived"	"хувь"	"S425_stimulus2_t1tr4td1_5c9d22abe8b6f6.66159024_2_0"	"PISA_mon-MNG_SCI_S425-PenguinIsland_en21_MS2022.xlf"
