"Segment"	"en-ZZ"	"ar-AE"	"ID"	"File"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;أطبع إجابتك عن السؤال باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35f6ac9bf69.32938011_0"	"PISA_ara-ARE_MAT_M464-Fence_en15_MS2022.xlf"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; بين كيف توصلت إلى هذه الإجابة؟&lt;br /&gt;"	"Q3M155_question_Q3itemStem_50d35cf9831515.13520069_0"	"PISA_ara-ARE_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"616"	"Statement"	"العبارة"	"Q1M603_question_Q1tr1th1_50d347eff34e13.81857875_0"	"PISA_ara-ARE_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1672"	"&lt;i&gt;Refer to &quot;Spacers&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;الفواصل&quot; على الجانب الأيسر من الشاشة. اطبع إجابتك عن السؤال باستخدام مفاتيح الأرقام&lt;/i&gt;"	"Q2M992_question_Q2itemDirections_50d35b58aa3278.30918295_0"	"PISA_ara-ARE_MAT_M992-Spacers_en15_MS2022.xlf"
"1466"	"&lt;i&gt;Refer to &quot;Migration&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;الهجرة&quot; على الجانب الأيسر ، واطبع إجابتك عن السؤال.&lt;/i&gt;"	"Q2M955_question_Q2itemDirections_50d35009da7799.24421605_0"	"PISA_ara-ARE_MAT_M955-Migration_en15_MS2022.xlf"
"70"	"&lt;i&gt;Refer to &quot;Population Pyramids&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;أهرامات تعداد السكان&quot; على الجانب الأيسر انقر على الخيارات في الجدول للإجابة عن السؤال&lt;/i&gt;"	"Q3M155_question_Q3itemDirections_50d35cf9830cb5.58356485_0"	"PISA_ara-ARE_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"892"	"&lt;i&gt;Refer to &quot;Speeding Fines&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot; غرامات مخالفات السرعة&quot; على الجانب الأيسر ، واطبع إجابتك عن السؤال باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q3M909_question_Q3itemDirections_50d359bf10c177.43146246_0"	"PISA_ara-ARE_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1063"	"&lt;i&gt;Refer to &quot;Racing&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot; السباق&quot; على الجانب الأيسر، وانقر على خيار للإجابة عن السؤال.&lt;/i&gt;"	"Q2M939_question_Q2itemDirections_50d3603d0a2a48.15487310_0"	"PISA_ara-ARE_MAT_M939-Racing_en15_MS2022.xlf"
"572"	"&lt;i&gt;Refer to &quot;Chair Lift&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى &quot;الكرسي المعلق&quot; على الجانب الأيسر، وانقر على خيار للإجابة عن السؤال.&lt;/i&gt;"	"Q2M564_question_Q2itemDirections_50d3431886f9f7.44667591_0"	"PISA_ara-ARE_MAT_M564-ChairLift_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"انقر إما على &lt;b&gt;صواب&lt;/b&gt; أو على &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة من العبارات أدناه."	"Q1M420_question_Q1itemStem_50d340b6ae82e3.74827253_0"	"PISA_ara-ARE_MAT_M420-Transport_en15_MS2022.xlf"
"1568"	"&lt;i&gt;Refer to &quot;Employment Data&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;ارجع إلى&quot;بيانات التوظيف&quot; على الجانب الأيسر، واطبع إجابتك عن السؤال باستخدام مفاتيح الأرقام.&lt;/i&gt;"	"Q2M982_question_Q2itemDirections_50d351a6e08f07.65264755_0"	"PISA_ara-ARE_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1613"	"1"	"1&amp;nbsp"	"M982_stimulus_tr4td1_50d351a6e56758.42501435_0"	"PISA_ara-ARE_MAT_M982-EmploymentData_en15_MS2022.xlf"
"334"	"Statement"	"العبارة"	"Q1M420_question_Q1tr1th1_50d340b6ae8650.92838280_0"	"PISA_ara-ARE_MAT_M420-Transport_en15_MS2022.xlf"
