"Segment"	"en-ZZ"	"ru-EE"	"ID"	"File"
"792"	"The use of science to predict natural disasters"	"Использование науки для предсказания природных катастроф"	"S514_question3_tr2td1_50ed29a450d911.05401362_0"	"PISA_rus-EST_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1357"	"Birds leave nests"	"Птицы покидают гнёзда"	"S607_stimulus1_sl14_517407135d1832.09141585_0"	"PISA_rus-EST_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2450"	"None"	"Нулевая"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Чтобы выбрать строку с данными для ответа на вопрос, нажмите в любом месте этой строки. Выбранная вами строка (строки) будет помечена звездочкой."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_rus-EST_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Для ответа на вопрос с помощью мыши перетащите картинки на схемы в правильной последовательности.&lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_rus-EST_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1619"	"Medium"	"Средний"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_rus-EST_SCI_S615-Tsunami_en15_MS2022.xlf"
"2920"	"Explain your answer."	"Объясните ваш ответ."	"S648_question4_q4p2_517407af762523.27161688_0"	"PISA_rus-EST_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2453"	"High"	"Высокая"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Высокая"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2945"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-EST_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2944"	"Mars"	"Марс"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_rus-EST_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2372"	"decrease"	"уменьшается"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Могут ли научные эксперименты дать ответ на этот вопрос?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_rus-EST_SCI_S638-OilSpills_en15_MS2022.xlf"
"1447"	"Species A"	"Вид A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_rus-EST_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2371"	"increase"	"увеличивается"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2343"	"select"	"Выбрать"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Выбрать"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Для ответа на вопрос выберите ответ и нажмите на него.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_rus-EST_SCI_S620-Tornadoes_en15_MS2022.xlf"
"452"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;БАКТЕРИИ В МОЛОКЕ&lt;/b&gt;&lt;br /&gt; ВОПРОС"	"S428_question2_itemTitle2_50ec51a0b21d26.34793826_0"	"PISA_rus-EST_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"236"	"Melting point"	"Температура плавления"	"S413_question3_q3t1tr2td1_50ec4202de0db4.92406520_0"	"PISA_rus-EST_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2340"	"increase"	"увеличится"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2451"	"Low"	"Низкая"	"stimulus2_1_stimulus2_36_51940bae4fb421.47656771_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2344"	"increase"	"увеличится"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Низкая"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на &quot;График 1&quot; справа. Выберите ответ и нажмите на него.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec51a0b22314.20573409_0"	"PISA_rus-EST_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2459"	"RUN"	"ВЫПОЛНИТЬ"	"stimulus2_1_btn-run_51940bae4fd933.82718489_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Нулевая"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Для ответа на этот вопрос не нужно использовать симуляцию.  Выберите один или несколько вариантов ответа на вопрос и нажмите на них.&lt;/i&gt;"	"question4_1_itemDirections04_51940c1024b383.82866558_0"	"PISA_rus-EST_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2457"	"Medium"	"Средняя"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2245"	"Medium"	"Средняя"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_rus-EST_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2867"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"Прочитайте введение. Затем нажмите на стрелку ДАЛЕЕ."	"S648_Q0_itemDirections0_517407af694fe9.03906983_0"	"PISA_rus-EST_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2492"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Для ответа на вопрос с помощью мыши перетащите текст в таблицу в правильной последовательности.&lt;/i&gt;"	"S638_question2_itemDirections2_51804fe1801be5.09391575_0"	"PISA_rus-EST_SCI_S638-OilSpills_en15_MS2022.xlf"
"259"	"Melting point"	"Температура плавления"	"S413_question3_q3t3tr2td1_50ec4202de6c06.01919140_0"	"PISA_rus-EST_SCI_S413-PlasticAge_en15_MS2022.xlf"
"645"	"Bacteria"	"На бактерии"	"S478_question1_question1_3_50ed1d42829321.16696241_0"	"PISA_rus-EST_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2943"	"Earth"	"Земля"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_rus-EST_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2698"	"Halogen"	"Галогенная"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_rus-EST_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Чтобы увидеть, как работают различные элементы управления в этой симуляции, выполните следующие шаги:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_rus-EST_SCI_S646-Nanoparticles_en15_MS2022.xlf"
