"Segment"	"en-ZZ"	"ru-RU"	"ID"	"File"
"2698"	"Halogen"	"Галогенная"	"stimulus_1_stimuluslb4label_51940c102e6424.85106393_0"	"PISA_rus-RUS_SCI_S643-LightBulbs_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Воспользуйтесь &quot;Диаграммой 1&quot;, расположенной справа. Для ответа на вопрос отметьте нужный вариант ответа.&lt;/i&gt;"	"S428_question2_itemDirections2_50f479701be441.53980044_0"	"PISA_rus-RUS_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2945"	"Uranus"	"Уран"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_rus-RUS_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2246"	"High"	"Высокая"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2453"	"High"	"Высокая"	"stimulus2_1_stimulus2_38_51940bae4fba04.81742995_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2450"	"None"	"Нулевая"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Могут ли научные эксперименты дать ответ на этот вопрос?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_rus-RUS_SCI_S638-OilSpills_en15_MS2022.xlf"
"1619"	"Medium"	"Средний"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_rus-RUS_SCI_S615-Tsunami_en15_MS2022.xlf"
"2243"	"None"	"Нулевая"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2944"	"Mars"	"Марс"	"S648_stimulus1_le3_517407af7db842.87617149_0"	"PISA_rus-RUS_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2344"	"increase"	"увеличится"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2370"	"select"	"Выберите"	"question5_1_o5_0_51940bae44b0b3.00306533_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1379"	"&lt;i&gt;Refer to &quot;Ammonoids&quot; on the right. Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Прочитайте текст «Аммониты», расположенный справа. Для ответа на вопрос используйте метод «Перетащить и оставить».&lt;/i&gt;"	"S608_question2_itemDirections2_515e3a722ae200.73891048_0"	"PISA_rus-RUS_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2375"	"increase"	"увеличивается"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"уменьшается"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_rus-RUS_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1447"	"Species A"	"Вид A"	"S608_stimulus2_le21_515e3a72353145.75321740_0"	"PISA_rus-RUS_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Чтобы увидеть, как работают различные элементы управления в этой симуляции, выполните следующие шаги:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_rus-RUS_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"106"	"&lt;b&gt;Wild Oat Grass&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ДИКИЙ ОВЁС&lt;/b&gt;&lt;br /&gt; вопрос"	"S408_question2_itemTitle_2_50f478cfd8d701.44325730_0"	"PISA_rus-RUS_SCI_S408-WildOatGrass_en15_MS2022.xlf"
