"Segment"	"en-ZZ"	"zh-CN"	"ID"	"File"
"1561"	"Wednesday"	"周三"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"点击一个选项，然后输入一个解释来回答本题。"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_zho-CHN_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5311"	"According to the text, is the statement true or false?"	"根据文中内容，此陈述是正确还是不正确 ？"	"R567_question08_q08tr1th1_56fc7879157ab4.93560286_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5543"	"False"	"不正确"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_zho-CHN_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1563"	"Friday"	"周五"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_zho-CHN_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5243"	"Refer to “What is a Smokejumper?” on the right."	"参考右侧的材料“什么是空降消防员？”，"	"R567_question03_q03itemDirections_56fc78790e6414.00199794_0_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5313"	"False"	"不正确"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"269"	"&lt;b&gt;Employment&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;职位申请表&lt;/b&gt;&lt;br /&gt;问题"	"R219_question_itemTitle_51943fe66e9080.19405772_0"	"PISA_zho-CHN_REA_R219-Employment_en15_MS2022.xlf"
"2119"	"Refer to “Visit Majestic Machu Picchu” on the right."	"参考右侧的材料&quot;游览壮丽的马丘比丘&quot;，"	"R545_question04_Q04itemDirections_56fc7821af1393.01483290_0_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"对每个陈述点击&lt;b&gt;正确&lt;/b&gt;或&lt;b&gt;不正确 &lt;/b&gt;。"	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5229"	"Refer to “What is a Smokejumper?” on the right."	"参考右侧的材料“什么是空降消防员？”，"	"R567_question02_q02itemDirections_56fc78790d2db7.39880018_0_0"	"PISA_zho-CHN_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"根据册子，此项陈述是正确还是不正确？"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_zho-CHN_REA_R545-MachuPicchu_en18_MS2022.xlf"
