"Segment"	"en-ZZ"	"sr-ME"	"ID"	"File"
"3497"	"Click on a choice to answer the question.&lt;/i&gt;"	"Odgovori na pitanje klikom na jednu od ponuđenih opcija&lt;/i&gt;"	"R556_question9_itemDirections9_56fc783add6b18.78125777_1_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"2802"	"Winter"	"U zimu"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"1700"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Koristi informacije iz teksta „Alfred Bernard Nobel&quot; na desnoj strani."	"R543_question4_itemDirections_56fc7821381578.06834284_0_0"	"PISA_mne-MNE_REA_R543-Nobel_en18_MS2022.xlf"
"4028"	"Read the information below."	"&lt;i&gt;Pročitaj donji tekst."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_mne-MNE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"6175"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Zatim klikni na strelicu SLJEDEĆE&lt;/i&gt;"	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_mne-MNE_REA_R590-Sentences01_en18_MS2022.xlf"
"3454"	"Click on a choice to answer the question.&lt;/i&gt;"	"odgovori na pitanje klikom na jednu od ponuđenih opcija&lt;/i&gt;"	"R556_question5_itemDirections_56fc783ac89735.55151724_1_0"	"PISA_mne-MNE_REA_R556-Microlending_en18_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"Otkucaj odgovor na pitanje."	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_mne-MNE_REA_R547-BookSurvey_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Otkucaj odgovore na pitanje."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_mne-MNE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5007"	"Read the information below."	"Pročitaj informaciju ispod."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_mne-MNE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4280"	"&lt;b&gt;Opening Night&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Premijera &lt;/b&gt;&lt;br /&gt;"	"R562_question01_q01itemTitle_56fc783b4081b5.03866160_0_0"	"PISA_mne-MNE_REA_R562-OpeningNight_en18_MS2022.xlf"
"5826"	"Football Field"	"Na fudbalskom terenu"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"2103"	"False"	"Netačna"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_mne-MNE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na  &lt;b&gt;Tačna&lt;/b&gt; ili &lt;b&gt;Netačna &lt;/b&gt; za svaku tvrdnju."	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"321"	"PHONE"	"TELEFON"	"R219_stimulus_sect4Line2span3_50c7b6f55fa561.87321313_0"	"PISA_mne-MNE_REA_R219-Employment_en15_MS2022.xlf"
"895"	"False"	"Netačno"	"R455_question_tr1th3_50c7ba482f1045.75294029_0"	"PISA_mne-MNE_REA_R455-ChocolateAndHealth_en15_MS2022.xlf"
"2800"	"Summer"	"U ljeto"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"2643"	"Home"	"Početna strana"	"R550_stimulus01_stimulus1_1_56fc785cc5fc61.08831919_0"	"PISA_mne-MNE_REA_R550-CliffPalace_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na  &lt;b&gt;Tačna&lt;/b&gt; ili &lt;b&gt;Netačna&lt;/b&gt; za svaku tvrdnju."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim otkucaj objašnjenje."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_mne-MNE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5810"	"Cans"	"Limenki"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
"5269"	"True"	"Tačna"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_mne-MNE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5811"	"Bottles"	"Boca"	"q4R569_question_question04_4_56fc787951f7a9.77277158_0"	"PISA_mne-MNE_REA_R569-TheCleanup_en18_MS2022.xlf"
