"Segment"	"en-ZZ"	"en-PH"	"ID"	"File"
"401"	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On 10 December, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"When they reached the summit, Amundsen had the excess dogs destroyed, keeping only eighteen for three sledges. On  December 10, they were just 112 kilometres from the South Pole. The altitude was decreasing."	"R220_stimulus_p3_56f9cf58511004.26165365_0"	"PISA_eng-PHL_REA_R220-SouthPole_en18_MS2022.xlf"
"481"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"On  December 14, 1911, Amundsen and his companions reached the legendary 90°. On January 25, 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"R220_stimulus_p4_56f9cf585539d7.68288341_0"	"PISA_eng-PHL_REA_R220-SouthPole_en18_MS2022.xlf"
"1036"	"County/ State:"	"City:"	"R466_stimulus_s2line11_56f9cf58ecbce2.40464367_0"	"PISA_eng-PHL_REA_R466-WorkRight_en18_MS2022.xlf"
"478"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"On  June 1, 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research program and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"R220_stimulus_p1_56f9cf58552d44.32299292_0"	"PISA_eng-PHL_REA_R220-SouthPole_en18_MS2022.xlf"
"284"	"T"	"We"	"R219_stimulus_stimulus_7_56f9cf5848f1d4.05533209_0"	"PISA_eng-PHL_REA_R219-Employment_en18_MS2022.xlf"
"402"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"On  December 14, 1911, Amundsen and his companions reached the legendary 90°. On  January 25, 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"R220_stimulus_p4_56f9cf585112d2.94868412_0"	"PISA_eng-PHL_REA_R220-SouthPole_en18_MS2022.xlf"
"1025"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;10 Years Php 10,000.00 offer&lt;br /&gt; Techno Shopping Mall&lt;br /&gt; 41 Poblacion, San Juan&lt;br /&gt; Metro Manila, PHL3617 &lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_56f9cf58ec9c26.99964937_0"	"PISA_eng-PHL_REA_R466-WorkRight_en18_MS2022.xlf"
"1022"	"20"	"2000"	"R466_stimulus_q3key_56f9cf58ec9620.83698542_0"	"PISA_eng-PHL_REA_R466-WorkRight_en18_MS2022.xlf"
"1020"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Digital Warehouse products* on the same day from your usual retailer between  December 15  and January 31:&lt;br /&gt;"	"R466_stimulus_section2_56f9cf58ec9249.01832016_0"	"PISA_eng-PHL_REA_R466-WorkRight_en18_MS2022.xlf"
"4136"	"Type your answer to the question."	"Click on a choice and then type an explanation to answer the question."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_eng-PHL_REA_R561-OlympicFlag_en18_MS2022.xlf"
