"Segment"	"en-ZZ"	"el-CY"	"ID"	"File"
"4447"	"About Us"	"Ποιοι Είμαστε"	"R563-stimulus-communtity_stimulus_culture_sports_5_56fc786b3809e6.65774760_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή και να πληκτρολογήσεις μία εξήγηση."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_ell-QCY_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5824"	"Benches"	"Τα παγκάκια"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_ell-QCY_REA_R569-TheCleanup_en18_MS2022.xlf"
"4372"	"Culture"	"ΠΟΛΙΤΙΣΜΟΣ"	"R563-stimulus-culture_graphic-list_56fc786b3341b7.69768246_0"	"PISA_ell-QCY_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε μία επιλογή και να πληκτρολογήσεις μία εξήγηση.&lt;/i&gt;"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5163"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_ell-QCY_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5441"	"Web Search"	"Αναζήτηση στο διαδίκτυο"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5578"	"Click on a search result to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε ένα από τα αποτελέσματα της αναζήτησης."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_1_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
"570"	"Amundsen, the Norwegian"	"τον Νορβηγό Αμούνδσεν."	"R220_stimulus_li2_50c7c0633d4831.55226518_0"	"PISA_ell-QCY_REA_R220-SouthPole_en15_MS2022.xlf"
"5581"	"Click on a search result to answer the question."	"Για να απαντήσεις στην ερώτηση, να κάνεις κλικ σε ένα από τα αποτέλεσματα της αναζήτησης."	"R568_question05_q05p2_56fc784aa8d4d1.26450648_1_0"	"PISA_ell-QCY_REA_R568-SpaceDebris_en18_MS2022.xlf"
