"Segment"	"en-ZZ"	"kk-KZ"	"ID"	"File"
"1374"	"China"	"Индия"	"M955_stimulus_tr5td1_56cee1d30aeff4.97938271_0"	"PISA_kaz-KAZ_MAT_M955-Migration_en18_MS2022.xlf"
"1001"	"&lt;i&gt;Refer to &quot;Racing&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Жүгіру жарысы» бөлімін қараңыз. Сұраққа жауап беру үшін жауапты тінтуірмен басыңыз.&lt;/i&gt;"	"Q2M939_question_Q2itemDirections_56cee1d2e1dd43.64655101_0"	"PISA_kaz-KAZ_MAT_M939-Racing_en18_MS2022.xlf"
"1371"	"Canada"	"Германия"	"M955_stimulus_tr4td1_56cee1d30ae511.21216354_0"	"PISA_kaz-KAZ_MAT_M955-Migration_en18_MS2022.xlf"
"77"	"&lt;i&gt;Refer to &quot;Population Pyramids&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Халық пирамидалары» мәтініне қараңыз. Сұраққа жауабыңызды теріңіз.&lt;/i&gt;"	"Q3M155_question_Q3itemDirections_56cee1d1e06d45.46436681_0"	"PISA_kaz-KAZ_MAT_M155-PopulationPyramids_en18_MS2022.xlf"
"1123"	"&lt;i&gt;Refer to &quot;Part-Time Work&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Жартылай жұмыс күні» бөлімін қараңыз. Цифрлары бар пернелердің көмегімен сұраққа жауабыңызды теріңіз.&lt;/i&gt;"	"Q3M948_question_Q3itemDirections_56cee1d2ebc486.29775288_0"	"PISA_kaz-KAZ_MAT_M948-PartTimeWork_en18_MS2022.xlf"
"1165"	"&lt;i&gt;Refer to &quot;Roof Truss Design&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Шатыр тіреуіштің дизайны» қараңыз. Сұраққа жауап беру үшін кестедегі жауаптарды тінтуірмен басыңыз.&lt;/i&gt;"	"Q2M949_question_Q2itemDirections_56cee1d300d446.66525181_0"	"PISA_kaz-KAZ_MAT_M949-RoofTrussDesign_en18_MS2022.xlf"
"80"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Шешуін жазыңыз.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_56cee1d1e07d75.47646390_0"	"PISA_kaz-KAZ_MAT_M155-PopulationPyramids_en18_MS2022.xlf"
"529"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Сұраққа жауап беру үшін жауапты тінтуірмен басыңыз.&lt;/i&gt;"	"Q2M564_question_Q2itemDirections_56cee1d2907752.66991270_0"	"PISA_kaz-KAZ_MAT_M564-ChairLift_en18_MS2022.xlf"
"1522"	"&lt;i&gt;Refer to &quot;Employment Data&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Жұмыспен қамтамасыз етілу туралы мәлімет» мәтініне қараңыз. Цифрлары бар пернелердің көмегімен сұраққа өз 
жауабыңызды теріп жазыңыз.&lt;/i&gt;"	"Q2M982_question_Q2itemDirections_56cee1d33b61c1.15192605_0"	"PISA_kaz-KAZ_MAT_M982-EmploymentData_en18_MS2022.xlf"
"1563"	"&lt;i&gt;Refer to &quot;Spacers&quot; on the right. Using the number keys, type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Оң жақтағы «Бөлгіштер» мәтініне қараңыз. Цифрлары бар пернелердің көмегімен сұраққа жауабыңызды теріп жазыңыз.&lt;/i&gt;"	"Q2M992_question_Q2itemDirections_56cee1d349e0c6.86689144_0"	"PISA_kaz-KAZ_MAT_M992-Spacers_en18_MS2022.xlf"
