"Segment"	"en-ZZ"	"nb-NO"	"ID"	"File"
"506"	"courageously"	"tapre"	"R220_stimulus_stimulusH_9_50c7c01852b092.57715267_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Svar på spørsmålet ved å klikke på et av alternativene, og begrunn deretter svaret ditt."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_nob-NOR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Er utsagnet riktig eller galt, ifølge brosjyren?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_nob-NOR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2802"	"Winter"	"Om vinteren"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_nob-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2801"	"Autumn"	"Om høsten"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_nob-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2800"	"Summer"	"Om sommeren"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_nob-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"488"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;SYDPOLEN - DOKUMENT 1&lt;/b&gt;"	"R220_stimulus_title_50c7c018526a46.68225582_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"186"	"£15"	"150 kr"	"R102_stimulus_tr18td3_50c7ae712a2d36.33176999_0"	"PISA_nob-NOR_REA_R102-Shirts_en15_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Svar på spørsmålet ved å klikke på et av treffene."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_nob-NOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2799"	"Spring"	"Om våren"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_nob-NOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Kontorland gir deg &lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt; kroner i avslag når du kjøper for mellom 600 kroner og 1499 kroner.&lt;br /&gt;&gt; Kontorland gir deg 500 kroner i avslag når du kjøper for mellom 1500 kroner og 2999 kroner.&lt;br /&gt; &gt; Kontorland gir deg 1000 kroner i avslag når du kjøper for 3000 kroner eller mer.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9150fdea5.19798054_0"	"PISA_nob-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"576"	"The worst has happened"	"Det aller verste har skjedd"	"R220_stimulus_stimulusHQ4_3_50c7c0185a5b30.96571287_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Svar på spørsmålet ved å klikke på et av treffene."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_nob-NOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1062"	"County/ State:"	"Sted / By:"	"R466_stimulus_s2line11_50c7c915101295.98732635_0"	"PISA_nob-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"GENERELLE BETINGELSER FOR 10-ÅRSTILBUDET &amp;ndash; 1000 KRONER&lt;br /&gt; 1. Tilbudet gjelder ikke forhandlere eller butikker som selger disse produktene. 2. Tilbudet gjelder bare følgende Kontorland-produkter*: papir, skrivere, kopimaskiner, datautstyr. Alle andre Kontorland-produkter* er unntatt fra tilbudet, spesielt møbelprodukter."	"R466_stimulus_section4_50c7c915104184.05453781_0"	"PISA_nob-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"2004"	"Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Skriv svaret ditt på spørsmålet.&lt;/i&gt;"	"R544_question8_itemDirections_56fc7821801f42.81584931_1_0"	"PISA_nob-NOR_REA_R544-Tesla_en18_MS2022.xlf"
"567"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;SYDPOLEN  - DOKUMENT 1&lt;/b&gt;"	"R220_stimulus_title_50c7c0185a3577.88086785_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"587"	"Antarctic Circle"	"Den antarktiske polarsirkelen"	"R220_stimulus_label5_50c7c0185d4f72.41163073_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"578"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"Da våren kom på den sørlige halvkule i 1912, ble likene av Scott og hans menn, deres reisedagbøker og siste brev funnet"	"R220_stimulus_p6_50c7c0185a6165.96025112_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"518"	"Antarctic Circle"	"Den antarktiske polarsirkelen"	"R220_stimulus_label5_50c7c018568d31.94295502_0"	"PISA_nob-NOR_REA_R220-SouthPole_en15_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Riktig&lt;/b&gt; eller &lt;b&gt;Galt&lt;/b&gt; for hver påstand."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_nob-NOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikk på enten &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt;Nei&lt;/b&gt; for hvert utsagn."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_nob-NOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1854"	"Click on the NEXT arrow to read the second source."	"Klikk på NESTE-pilen for å lese avisartikkelen."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_nob-NOR_REA_R544-Tesla_en18_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"er 10 år&lt;br /&gt; &amp;ndash; og gir deg inntil"	"R466_stimulus_line1_50c7c9150fc9a5.01236744_0"	"PISA_nob-NOR_REA_R466-WorkRight_en15_MS2022.xlf"
"965"	"&lt;i&gt;Refer to &quot;Gulf of Mexico&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Les artikkelen &quot;Mexicogolfen&quot; til høyre. Svar på spørsmålet ved å klikke på et av alternativene.&lt;/i&gt;"	"R460_question_itemDirections_50c7cb49d120c0.06408600_0"	"PISA_nob-NOR_REA_R460-GulfOfMexico_en15_MS2022.xlf"
