"Segment"	"en-ZZ"	"ro-MD"	"ID"	"File"
"4764"	"Click on the choices in the table to answer the question."	"Dați clic pe una dintre variante pentru a răspunde la întrebare."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_ron-MDA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4850"	"Mean"	"Media"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_ron-MDA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5019"	"Mean"	"Media"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_ron-MDA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"5278"	"Mean"	"Media"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_ron-MDA_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4445"	"Select"	"Selectați"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_ron-MDA_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Folosiți tastele numerice pentru a Vă redacta răspunsul."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ron-MDA_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3465"	"Select"	"Selectați"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_ron-MDA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Selectați din meniul derulant pentru a răspunde la întrebare."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_ron-MDA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4270"	"Explain your answer."	"Oferiți o explicație pentru răspunsul dat."	"q3MA149_question_q3p4_5c9d21652d7a87.93218968_0"	"PISA_ron-MDA_MAT_MA149-FloorArea_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Dați clic fie pe &lt;b&gt;Da&lt;/b&gt;, fie pe &lt;b&gt;Nu&lt;/b&gt; pentru fiecare afirmație."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ron-MDA_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3470"	"Select"	"Selectați"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_ron-MDA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Folosiți tastele numerice pentru a Vă redacta răspunsul."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_ron-MDA_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Folosiți tastele numerice pentru a Vă redacta răspunsul."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_ron-MDA_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Explicați-Vă răspunsul și folosiți valori numerice care să justifice explicația Dumneavoastră."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ron-MDA_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Folosiți tastele numerice pentru a Vă redacta răspunsul."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_ron-MDA_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Pentru a răspunde la întrebare dați clic pe una dintre variante și apoi redactați o explicație."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ron-MDA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Dați clic pe una dintre variante pentru a răspunde la întrebare."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_ron-MDA_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4650"	"Explain your answer."	"Oferiți o explicație pentru răspunsul dat."	"q1MA156_question_q1p2_5c9d2165693a19.29184719_0"	"PISA_ron-MDA_MAT_MA156-Points_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Dați clic pe una dintre variante și apoi redactați o explicație pentru a răspunde la întrebare."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_ron-MDA_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ron-MDA_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3200"	"Select"	"Selectați"	"Q1MA134_question_Q01tr3td1SELECT1o0_5c9d2164318c81.53190451_0"	"PISA_ron-MDA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Dați clic pe una dintre variante și apoi redactați o explicație pentru a răspunde la întrebare."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_ron-MDA_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"1556"	"Click on one or more boxes to answer the question."	"Dați clic pe una sau mai multe variante pentru a răspunde la întrebare."	"MA120_question3_itemDirectionsQ03_5c9d214ae4ac85.25797889_1_0"	"PISA_ron-MDA_MAT_MA120-NumberCubes_en21_MS2022.xlf"
