"Segment"	"en-ZZ"	"ar-JO"	"ID"	"File"
"3075"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"question1_1_itemDirections01_5c9d227c31e890.69451485_1_0"	"PISA_ara-JOR_SCI_S643-LightBulbs_en21_MS2022.xlf"
"1179"	"Type your answer to the question.&lt;/i&gt;"	"اطبع إجابتك عن السّؤال."	"S602_question3_itemDirections3_5c9d227a91f0f8.85124035_1_0"	"PISA_ara-JOR_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"1998"	"Medium"	"مُتوسِّط"	"sim_1_simSlopeMed_5c9d227b439bf7.99738830_0"	"PISA_ara-JOR_SCI_S615-Tsunami_en21_MS2022.xlf"
"1398"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"انقرْ على أحد البدائل ثمّ اكتب تفسيرًا للإجابة عن السّؤال.&lt;/i&gt;"	"S604_question4_itemDirections4_5c9d227ac92087.55114583_1_0"	"PISA_ara-JOR_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"1263"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S603_question1_itemDirections1_5c9d227aa98cd8.61789902_1_0"	"PISA_ara-JOR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"3336"	"Explain your choice."	"فسّر اختيارك."	"question5_1_q05span1_5c9d227c6128d6.87427044_0"	"PISA_ara-JOR_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2175"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S625_question2_itemDirections2_5c9d227b6c4dd5.10664341_1_0"	"PISA_ara-JOR_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"1823"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S610_question2_itemDirections2_5c9d227b2a28b0.28922188_1_0"	"PISA_ara-JOR_SCI_S610-Brain-controlledRobotics_en21_MS2022.xlf"
"2737"	"Low"	"منخفض"	"stimulus2_1_stimulus2_44_5c9d227be14568.23782540_0"	"PISA_ara-JOR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2394"	"Click on a choice to answer the question.&lt;/i&gt;"	"انقر على أحد البدائل للإجابة عن السّؤال.&lt;/i&gt;"	"S627_question1_itemDirections1_5c9d227b9b9fd6.37142813_1_0"	"PISA_ara-JOR_SCI_S627-CarTyres_en21_MS2022.xlf"
