"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"2348"	"Explain your answer."	"عَلِّلوا إجابتكم."	"Q2MA122_question_Q2ItmStmP4Id_5c9d214b6c2632.07402001_0"	"PISA_ara-ISR_MAT_MA127-PredictingHeight_en21_MS2022.xlf"
"1471"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA119_question1_itemDirections1_5c9d214ad702a0.84429473_1_0"	"PISA_ara-ISR_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2MA157_question_q2itemDirections_5c9d216572eb83.90804733_1_0"	"PISA_ara-ISR_MAT_MA157-Tyres_en21_MS2022.xlf"
"1588"	"2 stars"	"2 نجمة"	"Page01_stimulus_S01tr5td1_5c9d214aee5d63.99362511_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_ara-ISR_MAT_MA114-Honey_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_ara-ISR_MAT_MA126-Robot_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح، واكتبوا إجابتكم عن السؤال."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ara-ISR_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1672"	"2 stars"	"2 نجمة"	"Page03_stimulus_S03tr5td1_5c9d214af1dc84.36748181_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1677"	"1 star"	"1 نجمة"	"Page03_stimulus_S03tr6td1_5c9d214af1e2f6.66428084_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_ara-ISR_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"للإجابة عن السؤال، استخدِموا الجرّ واللصق."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_ara-ISR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2464"	"To run this simulation, follow these steps:"	"لتشغيل المُحاكاة، اتّبِعوا الخطوات التالية:"	"MA128_questionS3_q3p1_2_5c9d21372c05c8.86619113_0"	"PISA_ara-ISR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3653"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح واكتبوا إجابتكم عن السؤال."	"q1CMA141_question_q1itemDirections_5c9d2164a62046.76653380_1_0"	"PISA_ara-ISR_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1637"	"1 star"	"1 نجمة"	"Page02_stimulus_S02tr6td1_5c9d214af016c3.72029338_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1322"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA116_question1_itemDirections1_5c9d214a99d4f5.42965308_1_0"	"PISA_ara-ISR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"2204"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA126_question01_itemDirectionsQ01_5c9d214b506370.60535880_1_0"	"PISA_ara-ISR_MAT_MA126-Robot_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_ara-ISR_MAT_MA145-Shadows_en21_MS2022.xlf"
"1748"	"2 stars"	"2 نجمة"	"question0a_1_Q00tr5td1_5c9d214b005434.43072378_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"للإجابة عن السؤال، اختاروا من القوائم التي تُفْتَح بالضغط على السهم."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_ara-ISR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4086"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA147q1_question_q1itemDirections_5c9d2165076508.53769328_1_0"	"PISA_ara-ISR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"لاستعمال هذه الحاسبة، اتّبِعوا الخطوات التالية:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ara-ISR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3275"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2CMA135_question_q2itemDirections_5c9d2164502f75.93836961_1_0"	"PISA_ara-ISR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"للإجابة عن السؤال، اختاروا من القوائم التي تُفْتَح بالضغط على السهم."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_ara-ISR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_ara-ISR_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_ara-ISR_MAT_MA126-Robot_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"لاستعمال هذه الحاسبة، اتّبِعوا الخطوات التالية:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ara-ISR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_ara-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكّروا أن تختاروا خانة &lt;b&gt;واحدة أو أكثر&lt;/b&gt;."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ara-ISR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"بالنسبة لكلّ ادّعاء، اضغطوا على &lt;b&gt;صحيح&lt;/b&gt; أو &lt;b&gt; غير صحيح&lt;/b&gt;."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_ara-ISR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4561"	"To run this simulation, follow these steps:"	"لتشغيل المُحاكاة، اتّبِعوا الخطوات التالية:"	"menu2_1_aMenu_part1_p1_5c9d21374c4da1.40935501_0"	"PISA_ara-ISR_MAT_MA153-Gears_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_ara-ISR_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"بالنسبة لكلّ ادّعاء في الجدول أدناه، اضغطوا على &lt;b&gt;صحيح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt;"	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_ara-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_ara-ISR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"هل الادّعاءات التالية صحيحة أو خاطئة؟"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_ara-ISR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1706"	"2 stars"	"2 نجمة"	"Page03_stimulus_S03T2tr5td1_5c9d214af210c7.86669503_0"	"PISA_ara-ISR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1239"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_ara-ISR_MAT_MA115-Iceberg_en21_MS2022.xlf"
"1423"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح، واكتبوا إجابتكم عن السؤال."	"MA117_question03_q03itemDirections_5c9d214aaf7521.90788246_1_0"	"PISA_ara-ISR_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_ara-ISR_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"4189"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q2MA148_question_q2itemDirections_5c9d21651c5dd5.51806474_1_0"	"PISA_ara-ISR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_ara-ISR_MAT_MA146-Fuel_en21_MS2022.xlf"
"2494"	"To run this simulation, follow these steps:"	"لتشغيل المُحاكاة، اتّبِعوا الخطوات التالية:"	"menu_1_aMenu_part1_p1_5c9d213730b7b1.28131570_0"	"PISA_ara-ISR_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"استعمِلوا أرقام لوحة المفاتيح، واكتبوا إجابتكم عن السؤال."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_ara-ISR_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_ara-ISR_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"للإجابة عن السؤال، اختاروا من القوائم التي تُفْتَح بالضغط على السهم."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_ara-ISR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات."	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_ara-ISR_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
