"Segment"	"en-ZZ"	"ru-LV"	"ID"	"File"
"2660"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"2724"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;«Идеальный офис»&lt;br /&gt; ул. Бумажная 12&lt;br /&gt; Чернилов 1020&lt;br /&gt; Латвия&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_50d37b600c1656.37669756_0"	"PISA_rus-LVA_REA_R466-WorkRight_en15_MS2022.xlf"
"4839"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R565_question_itemDirections_56fc785d5c2e04.42459264_1_0"	"PISA_rus-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"2773"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_tours_tours_l4_56fc785cd3adf1.25063481_0"	"PISA_rus-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"5269"	"True"	"Верно"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_rus-LVA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Затем кликните на стрелочку ДАЛЕЕ, чтобы увидеть первый вопрос."	"R220_question_introBullet3_50d374b2249571.55823036_0"	"PISA_rus-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Используйте расположенные справа тексты различных веб-страниц веб-сайта."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2282"	"Click on a choice to answer the question.&lt;/i&gt;"	"Для ответа на вопрос кликните на выбранный вами вариант ответа. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e08b391.57814376_1_0"	"PISA_rus-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"Для ответа на вопрос кликните на один или более вариантов ответа."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_rus-LVA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
