"Segment"	"en-ZZ"	"el-GR"	"ID"	"File"
"334"	"Statement"	"Πρόταση"	"Q1M420_question_Q1tr1th1_50c7792b913c01.65945059_0"	"PISA_ell-GRC_MAT_M420-Transport_en15_MS2022.xlf"
"1244"	"∠"	"&amp;ang;"	"M949_stimulus_stimulus_3_50c7a96f306257.32309254_0"	"PISA_ell-GRC_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"274"	"Statement"	"Πρόταση"	"Q1M408_question_Q1tr1th1_50c7a849381723.89674362_0"	"PISA_ell-GRC_MAT_M408-Lotteries_en15_MS2022.xlf"
"1364"	"Canada"	"Γερμανία"	"M955_stimulus_tr4td1_50c790b30f22c6.10321043_0"	"PISA_ell-GRC_MAT_M955-Migration_en15_MS2022.xlf"
"1242"	"∠"	"&lt;span class=&quot;normal&quot;&gt;Οι&lt;/span&gt; &amp;ang;"	"M949_stimulus_stimulus_2_50c7a96f305e46.72977488_0"	"PISA_ell-GRC_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Πληκτρολόγησε την απάντησή σου στην ερώτηση, χρησιμοποιώντας τα πλήκτρα των αριθμών.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a5164b8a75.45018868_0"	"PISA_ell-GRC_MAT_M464-Fence_en15_MS2022.xlf"
"1367"	"China"	"Ηνωμένες Πολιτείες"	"M955_stimulus_tr5td1_50c790b30f2d79.29010018_0"	"PISA_ell-GRC_MAT_M955-Migration_en15_MS2022.xlf"
"1373"	"India"	"Καναδάς"	"M955_stimulus_tr7td1_50c790b30f4334.31540784_0"	"PISA_ell-GRC_MAT_M955-Migration_en15_MS2022.xlf"
"444"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Κάνε κλικ σε μία επιλογή, για να απαντήσεις στην ερώτηση. &lt;/i&gt;"	"Q1M447_question_Q1itemDirections_50c7a302b44c38.43277299_0"	"PISA_ell-GRC_MAT_M447-TileArrangement_en15_MS2022.xlf"
"674"	"Paul"	"Παύλος"	"M800_stimulus_tr1td2_50c79713318852.14081114_0"	"PISA_ell-GRC_MAT_M800-ComputerGame_en15_MS2022.xlf"
"1075"	"A"	"Κ"	"Q1M943_question_label2_50c7832eab2101.27070947_0"	"PISA_ell-GRC_MAT_M943-Arches_en15_MS2022.xlf"
"677"	"Meagan"	"Μαρία"	"M800_stimulus_tr1td5_50c79713319007.39065450_0"	"PISA_ell-GRC_MAT_M800-ComputerGame_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Κάνε κλικ σε μία επιλογή, για να απαντήσεις στην ερώτηση. &lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50c78538776ca5.16085328_0"	"PISA_ell-GRC_MAT_M474-RunningTime_en15_MS2022.xlf"
"676"	"Neil"	"Νίκος"	"M800_stimulus_tr1td4_50c79713318d82.35491497_0"	"PISA_ell-GRC_MAT_M800-ComputerGame_en15_MS2022.xlf"
"675"	"Patricia"	"Πηνελόπη"	"M800_stimulus_tr1td3_50c79713318b18.19575969_0"	"PISA_ell-GRC_MAT_M800-ComputerGame_en15_MS2022.xlf"
