"Segment"	"en-ZZ"	"ja-JP"	"ID"	"File"
"4137"	"To run more tests, change the settings on one or both sliders and click on the “Run” button again."	"別のシミュレーションを実行するには、スライダーで片方または両方の設定を変更し、「実行」ボタンを&lt;br/&gt;もう一度クリックしてください。"	"menu_1_MA128menu_OL1Li4_5c9d213730bbb9.20937316_0"	"PISA_jpn-JPN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2843"	"Click on one or more boxes to answer the question."	"下の問いの答えの中&lt;br/&gt;から、正しいものをすべてクリックしてください。"	"MA114_question3_itemDirections3_5c9d214a84c6d7.81127289_1_0"	"PISA_jpn-JPN_MAT_MA114-Honey_en21_MS2022.xlf"
"6916"	"Mean"	"平均値"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"1654"	"Side view"	"側面から見た図"	"Page2_stimulus_RightPuzLabel_5c9d2136164ed4.97384410_0"	"PISA_jpn-JPN_MAT_MA101-BuildingBlocks_en21_MS2022.xlf"
"2478"	"Click on a choice and then type an explanation to answer the question."	"下の問いの答えを&lt;br/&gt;一つクリックし、その理由を入力してください。"	"Q3M111_question_Q3itemDirections_5c9d214a5b16f6.59404608_1_0"	"PISA_jpn-JPN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4997"	"Click on a choice to answer the question."	"下の問いの答えを一つクリックしてください。"	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_jpn-JPN_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2877"	"Click on a choice to answer the question."	"下の問いの答えを一つクリック&lt;br/&gt;してください。"	"MA115_question01_q01itemDirections_5c9d214a9065d9.24249905_1_0"	"PISA_jpn-JPN_MAT_MA115-Iceberg_en21_MS2022.xlf"
"2455"	"Using the number keys, type your answer to the question."	"下の問いの答えを&lt;br/&gt;半角の数字で入力してください。"	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_jpn-JPN_MAT_MA111-HealthApp_en21_MS2022.xlf"
"6713"	"Statement"	"質問"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_jpn-JPN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"7060"	"Select a column in the area for the Mean, and then click the “Run” button."	"平均値エリアで列を一つ選び、「実行」ボタンを&lt;br/&gt;クリックしてください。"	"js_translation_stepwarning3_5c9d2137d72d94.15799132_0"	"PISA_jpn-JPN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
