"Segment"	"en-ZZ"	"tr-TR"	"ID"	"File"
"2366"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question10_itemTitle_56fc782e148f80.10384208_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2264"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question2_itemTitle_56fc782e071323.16058035_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2312"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question6_itemTitle_56fc782e0d7d28.14791330_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5310"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Her bir ifade için &lt;b&gt;Doğru&lt;/b&gt; ya da &lt;b&gt;Yanlış&lt;/b&gt; seçeneklerinden birine tıklayınız"	"R567_question08_q08p1_56fc78791575d5.59175189_1_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Soruyu cevaplamak için arama sonuçlarından birine tıklayınız."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_tur-TUR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2414"	"The Best Video Games: A Review"	"En İyi Video Oyunları Hakkında Bir İnceleme"	"R547_question10_question10_22_56fc782e154cc3.43306007_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2246"	"&lt;b&gt;Book Survey&lt;/b&gt;"	"&lt;b&gt;Kitap Anketi &lt;/b&gt;"	"q00bbody_itemTitle00_56fc782e028a30.40910250_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"1458"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q02R542_question_Q02itemTitle_56fc782107e630.51918183_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2254"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0460d7.64458893_1_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5642"	"&lt;b&gt;Space Debris&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Uzay Çöpleri &lt;/b&gt;&lt;br /&gt;"	"q0a-body_itemTitle0a_56fc784ab0bb14.87991620_0"	"PISA_tur-TUR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Soruyu cevaplamak için seçeneklerden birine tıklayınız ve sonra bir açıklama yazınız."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_tur-TUR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5949"	"Hi Charles!"	"Merhaba Cengiz!"	"R570_question01_question01_3_56fc787977ca78.43049902_0"	"PISA_tur-TUR_REA_R570-TheFavour_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Her bir ifade için &lt;b&gt;Evet&lt;/b&gt; ya da &lt;b&gt;Hayır&lt;/b&gt; seçeneklerinden birine tıklayınız."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_tur-TUR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"Soruyu cevaplamak için arama sonucuna tıklayınız."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_tur-TUR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"570"	"Amundsen, the Norwegian"	"bir Norveçli olan Amundsen"	"R220_stimulus_li2_50c7c0da6cbdb5.92248956_0"	"PISA_tur-TUR_REA_R220-SouthPole_en15_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Sonra İLERİ ok tuşuna tıklayınız."	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Soruyu cevaplamak için arama sonuçlarından birine tıklayınız."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4771"	"AS A REMINDER TO TAKE  AN HOURLY BREAK"	"saati gösteren bir cihazın program uyarılarını kullan."	"Page2_stimulus_pg2p6_56fc785d53cdf2.75666466_0"	"PISA_tur-TUR_REA_R565-SittingDisease_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Masalı okumak için İLERİ ok tuşuna tıklayınız."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_tur-TUR_REA_R570-TheFavour_en18_MS2022.xlf"
"1498"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q05R542_question_Q05itemTitle_56fc78210d08e5.80360931_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1708"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R543_question5_itemDirections_56fc782139b537.51630220_1_0"	"PISA_tur-TUR_REA_R543-Nobel_en18_MS2022.xlf"
"1427"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q01R542_question_Q01itemTitle_56fc7821069ed6.41094343_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"6174"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Aşağıdaki bilgileri okuyunuz."	"q00body_q00itemDirections_56fd23111a5057.38756393_0_0"	"PISA_tur-TUR_REA_R590-Sentences01_en18_MS2022.xlf"
"1889"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R544_question11_itemDirections_56fc782169f054.65729882_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"1873"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R544_question10_itemDirections_56fc7821685510.10412790_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Sorunun cevaplarını yazınız."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_tur-TUR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 60 TL ile 149,99 TL arası ürünler için Teknoloji Dünyası size &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; TL geri ödeyecektir.&lt;br /&gt; &gt; 150 TL ile 299,99 TL arası ürünler için Teknoloji Dünyası size 50 TL geri ödeyecektir.&lt;br /&gt; &gt; 300 TL ve üstü ürünler için Teknoloji Dünyası size 100 TL geri ödeyecektir.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9d21e9240.14772831_0"	"PISA_tur-TUR_REA_R466-WorkRight_en15_MS2022.xlf"
"1522"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q08R542_question_Q08itemTitle_56fc78211029f0.35437122_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1843"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Sonra İLERİ ok tuşuna tıklayınız."	"question0a_1_itemDirections00_56fc782164e353.11298372_1_0"	"PISA_tur-TUR_REA_R544-Tesla_en18_MS2022.xlf"
"5170"	"What is a Smokejumper?"	"Paraşütlü İtfaiyeci Nedir?"	"R567_stimulus4_stimulus4_4_56fc7879084fe1.85942300_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Her bir ifade için &lt;b&gt;Doğru&lt;/b&gt; ya da &lt;b&gt;Yanlış&lt;/b&gt; seçeneklerinden birine tıklayınız"	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1475"	"Didn’t you tell me you were going to join?"	"Sen bana katılacağını söylememiş miydin?"	"Q02R542_question_Convp6_56fc782107fb61.52791553_2_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1489"	"&lt;b&gt;Bulletin Board&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;İlan Panosu&lt;/b&gt;&lt;br /&gt;"	"Q04R542_question_Q04itemTitle_56fc78210a6a43.04423541_0_0"	"PISA_tur-TUR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2278"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Kitap Anketi&lt;/b&gt;&lt;br /&gt;"	"R547_question01_itemTitle_56fc782e08ac82.92618959_0_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
"5024"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;&lt;b&gt;Bir ya da daha fazla&lt;/b&gt; kutucuğu seçmeyi unutmayınız. &lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_tur-TUR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"İnternet sitesini okumak için İLERİ ok tuşuna tıklayınız."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_tur-TUR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1723"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R543_question6_itemDirections_56fc78213bd0d4.70959990_1_0"	"PISA_tur-TUR_REA_R543-Nobel_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"ve bunu dinlemek benim için bir ayrıcalıktı.”&lt;/i&gt; dediği alıntısına yer vermiştir."	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_tur-TUR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2282"	"Click on a choice to answer the question.&lt;/i&gt;"	"Soruyu cevaplamak için seçeneklerden birine tıklayınız. &lt;/i&gt;"	"R547_question01_itemDirections_56fc782e08b391.57814376_1_0"	"PISA_tur-TUR_REA_R547-BookSurvey_en18_MS2022.xlf"
