"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Para responder la pregunta, use el teclado numérico.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35f91dbbbf5.95886250_0"	"PISA_esp-CRI_MAT_M464-Fence_en15_MS2022.xlf"
"1339"	"China"	"Canadá"	"M955_stimulus_tr5td1_50d350321fd213.48574822_0"	"PISA_esp-CRI_MAT_M955-Migration_en15_MS2022.xlf"
"1022"	"Runner C"	"El corredor C"	"Q2M939_question_question2_3_50d3606b339bc4.07916845_0"	"PISA_esp-CRI_MAT_M939-Racing_en15_MS2022.xlf"
"1345"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50d350321fea49.79966658_0"	"PISA_esp-CRI_MAT_M955-Migration_en15_MS2022.xlf"
"753"	"Carbon dioxide emissions&lt;br /&gt;(million metric tons of carbon)"	"Emisiones de CO2&lt;br /&gt;(en millones de toneladas métricas)"	"M828_stimulus_g2label6_50d35ec137e146.75667196_0"	"PISA_esp-CRI_MAT_M828-CarbonDioxide_en15_MS2022.xlf"
"1062"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-CRI_MAT_M943-Arches_en15_MS2022.xlf"
"1023"	"Runner D"	"El corredor D"	"Q2M939_question_question2_4_50d3606b339fd4.03534769_0"	"PISA_esp-CRI_MAT_M939-Racing_en15_MS2022.xlf"
"1144"	"Friday:"	"Viernes"	"M948_stimulus_tr5td3_50d35c507baf16.20090918_0"	"PISA_esp-CRI_MAT_M948-PartTimeWork_en15_MS2022.xlf"
"1020"	"Runner A"	"El corredor A"	"Q2M939_question_question2_1_50d3606b339387.05358602_0"	"PISA_esp-CRI_MAT_M939-Racing_en15_MS2022.xlf"
"1336"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50d350321fc830.49813248_0"	"PISA_esp-CRI_MAT_M955-Migration_en15_MS2022.xlf"
"1021"	"Runner B"	"El corredor B"	"Q2M939_question_question2_2_50d3606b3397b9.20273571_0"	"PISA_esp-CRI_MAT_M939-Racing_en15_MS2022.xlf"
"937"	"&lt;b&gt;Carbon Tax&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;IMPUESTO AL CARBONO&lt;/b&gt;&lt;br /&gt; Pregunta"	"Q2M915_question_Q2itemTitle_50d34dc7bcb886.50142155_0"	"PISA_esp-CRI_MAT_M915-CarbonTax_en15_MS2022.xlf"
