"Segment"	"en-ZZ"	"es-CO"	"ID"	"File"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_517c866cd9ff55.61792598_0"	"PISA_esp-COL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2438"	"1000"	"1.000"	"stimulus2_1_ylabel_1000z_517c866cd98da4.23051738_0"	"PISA_esp-COL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2102"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Lee la introducción. Después, haz clic en la flecha SIGUIENTE.&lt;/i&gt;"	"CS634_intro_itemDirections0_5179d18b0b9014.87025385_0"	"PISA_esp-COL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"Para realizar la simulación, puedes usar los siguientes controles:"	"question1_1_q01p2_5179d18c787771.34906238_0"	"PISA_esp-COL_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"935"	"higher"	"mayores"	"S602_question4_S602Q04SELECT31_5146f1d3220749.32583095_0"	"PISA_esp-COL_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2610"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos basándote en la siguiente información. Haz clic en una o más casillas para responder la pregunta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18c3c3109.76596197_0"	"PISA_esp-COL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2198"	"&lt;i&gt;Run the simulation to collect data based on the information below.  Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;Realiza la simulación para obtener datos sobre la información siguiente. Haz clic en una opción y después escribe una explicación de tu respuesta.&lt;/i&gt;"	"question4_1_itemDirections04_5179d18b1698e8.00829758_0"	"PISA_esp-COL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2243"	"None"	"Nulo"	"js_translation_none_517c866cc0b129.17051160_0"	"PISA_esp-COL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2371"	"increase"	"aumenta"	"question5_1_o5_1_517c866cce8576.85368889_0"	"PISA_esp-COL_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2042"	"Hours of Sunlight/Day"	"Horas de luz &lt;/br&gt;solar/día"	"S629_question3_p32_5146f1d52a9d90.45314315_0"	"PISA_esp-COL_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes usar los siguientes controles:"	"menu_1_menuP2_5179d18c3603e7.48672848_0"	"PISA_esp-COL_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"Para realizar esta simulación, puedes utilizar los siguientes controles:"	"menu_1_aMenuP3_5179d18b0a1a87.78061985_0"	"PISA_esp-COL_SCI_S634-Vaccination_en15_MS2022.xlf"
"2984"	"&lt;b&gt;Invasive Species&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Especies invasoras&lt;/b&gt;&lt;br /&gt; Pregunta"	"S657_question2_itemTitleqS2_51543fc909a0e9.69032256_0"	"PISA_esp-COL_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Haz clic en una opción para responder la pregunta&lt;/i&gt;"	"S620_Q5_itemDirections5_51543fc5816999.55030035_0"	"PISA_esp-COL_SCI_S620-Tornadoes_en15_MS2022.xlf"
