"Segment"	"en-ZZ"	"ar-JO"	"ID"	"File"
"4862"	"Refer to the different webpages of the website on the right."	"ارجع إلى مُختلف صفحات الويب في الموقع على اليسار."	"R563_question10_q10itemDirections_5c9d225aba3a33.94198593_0_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4524"	"Then click on the NEXT arrow."	"ثم انقرْ على سهم &lt;b&gt;&lt;u&gt;التالي&lt;/u&gt;&lt;/b&gt;."	"q00body_q00itemDirections_5c9d225a833923.77937199_1_0"	"PISA_ara-JOR_REA_R562-OpeningNight_en21_MS2022.xlf"
"3111"	"Introduction"	"مقدمة"	"q00body_itemTitle00_5c9d219f75d4a2.00996597_2_0"	"PISA_ara-JOR_REA_R550-CliffPalace_en21_MS2022.xlf"
"3519"	"Introduction"	"مقدمة"	"question00a_1_itemTitle0a_5c9d219fd80577.33642486_2_0"	"PISA_ara-JOR_REA_R553-HealthForum_en21_MS2022.xlf"
"1979"	"Friday"	"الأحد"	"Q09R542_question_Q09r6c1_5c9d219e5fb679.92988704_0"	"PISA_ara-JOR_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4760"	"Type your answer to the question."	"اطبع إجاباتك عن السؤال."	"R563_question01_q01itemDirections_5c9d225aa81f50.68031492_1_0"	"PISA_ara-JOR_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5755"	"Click on a search result to answer the question."	"انقرْ على إحدى نتائج البحث للإجابة عن السؤال."	"R568_question05_q05p2_5c9d225b944012.35673014_1_0"	"PISA_ara-JOR_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2837"	"Introduction"	"مقدمة"	"q00a-body_itemTitle00a_5c9d219f457ea2.35970142_2_0"	"PISA_ara-JOR_REA_R549-MessageInABottle_en21_MS2022.xlf"
"4180"	"Click on a search result to answer the question."	"انقرْ على إحدى نتائج البحث للإجابة عن السؤال."	"R560_question01_q01itemDirections_5c9d225a275490.54340907_1_0"	"PISA_ara-JOR_REA_R560-GarbagePatch_en21_MS2022.xlf"
"361"	"S"	"أحد"	"R219_stimulus_stimulus_10_5c3f6270d225e1.74316568_0"	"PISA_ara-JOR_REA_R219-Employment_en21_MS2022.xlf"
