"Segment"	"en-ZZ"	"es-DO"	"ID"	"File"
"1043"	"100"	"1,000"	"R466_stimulus_stimulus2_2_50c7c9bfe9ef40.46160443_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"1062"	"County/ State:"	"Código Postal:"	"R466_stimulus_s2line11_50c7c9bfea3896.60465862_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe tus respuestas a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-DOM_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1064"	"Post code:"	"País:"	"R466_stimulus_line12_50c7c9bfea4010.34635992_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"5664"	"Who's in the Chat"	"¿Quién  esta  en el chat?"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_esp-DOM_REA_R569-TheCleanup_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Según el folleto, ¿es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-DOM_REA_R545-MachuPicchu_en18_MS2022.xlf"
"15"	"&lt;b&gt;Drugged Spiders&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Arañas drogadas&lt;/b&gt;&lt;br /&gt; Preguntas"	"R055_question_itemTitle_50c7b37b598184.30426513_0"	"PISA_esp-DOM_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"331"	"Then click on the NEXT arrow to view the first question."	"Luego, haz clic en flecha SIGUIENTE para ver la primera pregunta."	"R220_question_introBullet3_50c7c0c70c20a3.29422031_0"	"PISA_esp-DOM_REA_R220-SouthPole_en15_MS2022.xlf"
"827"	"&lt;b&gt;How to Find a Summer Job&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Cómo encontrar un trabajo de verano&lt;/b&gt;&lt;br /&gt; Pregunta"	"R453_question_itemTitle_50c7b263353749.80305264_0"	"PISA_esp-DOM_REA_R453-SummerJob_en15_MS2022.xlf"
"4944"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-DOM_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Clases particulares para todos"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_esp-DOM_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1056"	"Given Name:"	"Nombre:"	"R466_stimulus_line8_50c7c9bfea1c61.52041387_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"392"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;EL POLO SUR&lt;/b&gt;&lt;br /&gt; Pregunta"	"R220_question_itemTitle_50c7c0c7182e32.41879883_0"	"PISA_esp-DOM_REA_R220-SouthPole_en15_MS2022.xlf"
"990"	"&lt;b&gt;Work Right&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Ofiplus&lt;/b&gt;&lt;br /&gt;  Pregunta"	"R466_question_itemTitle_50c7c9bfe33b57.87808415_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b7fc6392d2.47503584_0"	"PISA_esp-DOM_REA_R219-Employment_en15_MS2022.xlf"
"638"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Haz clic en &lt;b&gt;2&lt;/b&gt; para ver la página &lt;b&gt;2&lt;/b&gt;."	"R404_question_introBullet2_50c7c8a79c4be9.45337493_0"	"PISA_esp-DOM_REA_R404-Sleep_en15_MS2022.xlf"
"1046"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies. See the general terms of the offer.&lt;/i&gt;"	"&lt;i&gt;*Papelería, productos de impresión y promoción, artículos electrónicos. Ver condiciones generales de la oferta..&lt;/i&gt;"	"R466_stimulus_line3_50c7c9bfe9fa08.63351822_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"3122"	"Refer to all the sources on the right by clicking on each of the tabs."	"Consulta todas las fuentes de  la derecha haciendo clic en cada pestaña."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_0_0"	"PISA_esp-DOM_REA_R552-FestiRock_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; En compras de $600 a $1,499.99, Ofiplus le reembolsará $&lt;span id=&quot;q3key&quot;&gt;200&lt;/span&gt;.&lt;br /&gt; &gt; En compras de $1,500 a $2,999.99, Ofiplus le reembolsará $500.&lt;br /&gt; &gt; En compras de $3,000 o más, Ofiplus le reembolsará $1,000.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9bfea04f2.32335329_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"4942"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-DOM_REA_R566-SkelligRocks_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b7fc639e05.74186328_0"	"PISA_esp-DOM_REA_R219-Employment_en15_MS2022.xlf"
"963"	"&lt;b&gt;Gulf of Mexico&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;El Golfo de México&lt;/b&gt;&lt;br /&gt; Pregunta"	"R460_question_itemTitle_50c7cbf79ea351.76928377_0"	"PISA_esp-DOM_REA_R460-GulfOfMexico_en15_MS2022.xlf"
"1054"	"Name:"	"Appellidos:"	"R466_stimulus_s2line7_50c7c9bfea1590.25150173_0"	"PISA_esp-DOM_REA_R466-WorkRight_en15_MS2022.xlf"
"852"	"&lt;b&gt;How to Find a Summer Job&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Cómo encontrar un trabajo de verano&lt;/b&gt;&lt;br /&gt; Pregunta"	"R453_question_itemTitle_50c7b263384e96.49902707_0"	"PISA_esp-DOM_REA_R453-SummerJob_en15_MS2022.xlf"
"832"	"&lt;b&gt;How to Find a Summer Job&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Cómo encontrar un trabajo de verano&lt;/b&gt;&lt;br /&gt; Pregunta"	"R453_question_itemTitle_50c7b26336cac5.73082746_0"	"PISA_esp-DOM_REA_R453-SummerJob_en15_MS2022.xlf"
"325"	"TO"	"HASTA"	"R219_stimulus_sect4Line3span4_50c7b7fc64a0d9.67561229_0"	"PISA_esp-DOM_REA_R219-Employment_en15_MS2022.xlf"
