"Segment"	"en-ZZ"	"eu-ES"	"ID"	"File"
"3125"	"Pierre"	"Pierrek"	"R552_question08_question08_3_56fd79426a2c25.00826446_0"	"PISA_eus-ESP_REA_R552-FestiRock_en18_MS2022.xlf"
"5269"	"True"	"Zuzena"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_eus-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2801"	"Autumn"	"Udazkenean"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_eus-ESP_REA_R550-CliffPalace_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; 60 € eta 149,99 € arteko erosketetarako, Zuzenlanek &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; € itzuliko dizkizu.&lt;br /&gt; &gt; 150 € eta 299,99 € arteko erosketetarako, Zuzenlanek 50 € itzuliko dizkizu.&lt;br /&gt; &gt; 300 € eta gehiagoko erosketetarako, Zuzenlanek 100 € itzuliko dizkizu.&lt;br /&gt;"	"R466_stimulus_line5_50c7c910895675.87811721_0"	"PISA_eus-ESP_REA_R466-WorkRight_en15_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Begiratu bi informazio-iturriei eskuinean, fitxetako bakoitzean klik eginda."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_eus-ESP_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Begiratu Interneteko bilaketari, eskuinean."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_eus-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4617"	"Refer to the different webpages of the website on the right."	"Begiratu webguneak dituen web-orri ezberdinei eskuinean."	"R563_question09_q09itemDirections_56fc786b4ba5d3.14167925_0_0"	"PISA_eus-ESP_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Begiratu webguneak dituen web-orri ezberdinei eskuinean."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_eus-ESP_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1914"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Begiratu bi informazio iturriei eskuinaldean, fitxetako bakoitzean klik eginda."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_eus-ESP_REA_R544-Tesla_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Begiratu webguneak dituen web-orri ezberdinei eskuinean."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_eus-ESP_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Begiratu Interneteko bilaketari, eskuinean."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_eus-ESP_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Egin klik aukera batean eta, ondoren,  idatzi azalpen bat, galderari erantzuteko."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_eus-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Tutoreak Guztiontzat-ek"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_eus-ESP_REA_R542-BulletinBoard_en18_MS2022.xlf"
"2802"	"Winter"	"Neguan"	"R550_question01_question01_6_56fc785cdd7479.34532891_0"	"PISA_eus-ESP_REA_R550-CliffPalace_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Egin klik &lt;b&gt;Bai&lt;/b&gt; ala &lt;b&gt;Ez&lt;/b&gt; aukeretan, jarduera bakoitzaren ondoan."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_eus-ESP_REA_R570-TheFavour_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Begiratu bi informazio-iturriei eskuinean, fitxetako bakoitzean klik eginez."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_eus-ESP_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5826"	"Football Field"	"Futbol-zelaian"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_eus-ESP_REA_R569-TheCleanup_en18_MS2022.xlf"
"3356"	"Microlending Gone Wrong"	"Mikromaileguak okerreko bidean"	"Page3_stimulus_pg3Subtitle_56fc783ab5e5e6.62633512_0"	"PISA_eus-ESP_REA_R556-Microlending_en18_MS2022.xlf"
