"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"4306"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_ara-SAU_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"انقر على &lt;b&gt; صح &lt;/b&gt; أو &lt;b&gt; خطأ &lt;/b&gt; لكل عبارة."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ara-SAU_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1637"	"1 star"	"نجمة واحدة"	"Page02_stimulus_S02tr6td1_5c9d214af016c3.72029338_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1709"	"1 star"	"نجمة واحدة"	"Page03_stimulus_S03T2tr6td1_5c9d214af215f3.41082922_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; المجموع &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_ara-SAU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_ara-SAU_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"أنقر على أحد الخيارات في الجدول للإجابة عن السؤال."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_ara-SAU_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_ara-SAU_MAT_MA146-Fuel_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"ثم انقر على سهم &quot;التالي&quot;"	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_ara-SAU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"أنقر على أحد الخيارات ثم أكتب توضيحاً للإجابة عن السؤال."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ara-SAU_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"820"	"Answer:"	"الجواب"	"Q1M111_question_Q01AnsId_5c9d214a58aa59.29562473_0"	"PISA_ara-SAU_MAT_MA111-HealthApp_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"ثم انقر على سهم &quot;التالي&quot;"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_ara-SAU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"استخدم السحب والإفلات للإجابة عن السؤال."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_ara-SAU_MAT_MA157-Tyres_en21_MS2022.xlf"
"1755"	"1 star"	"نجمة واحدة"	"question0a_1_Q00tr6td1_5c9d214b005e11.38011221_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"أنقر على &lt;b&gt; صح &lt;/b&gt; أو &lt;b&gt; خطأ &lt;/b&gt; لكل عبارة من العبارات الموجودة في الجدول أدناه."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_ara-SAU_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"انقر على &lt;b&gt; صح &lt;/b&gt; أو &lt;b&gt; خطأ &lt;/b&gt; لكل عبارة."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ara-SAU_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ara-SAU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو أكثر للإجابة عن السؤال."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_ara-SAU_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1633"	"2 stars"	"نجمتان"	"Page02_stimulus_S02tr5td1_5c9d214af011e0.10936163_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"أنقر على أحد الخيارات في الجدول للإجابة عن السؤال."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_ara-SAU_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_ara-SAU_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1347"	"Answer:"	"الجواب"	"MA116_question3_question3_1_5c9d214a9c4f41.18226287_0"	"PISA_ara-SAU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_ara-SAU_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"استخدم السحب والإفلات للإجابة عن السؤال."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_ara-SAU_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2186"	"Read the introduction."	"إقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_0_0"	"PISA_ara-SAU_MAT_MA126-Robot_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"ثم انقر على سهم &quot;التالي&quot;"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_ara-SAU_MAT_MA114-Honey_en21_MS2022.xlf"
"2526"	"Read the introduction."	"إقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b76c282.48085737_0_0"	"PISA_ara-SAU_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"1677"	"1 star"	"نجمة واحدة"	"Page03_stimulus_S03tr6td1_5c9d214af1e2f6.66428084_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2692"	"Read the introduction."	"إقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214b887736.20535767_0_0"	"PISA_ara-SAU_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1170"	"Read the introduction."	"إقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_0_0"	"PISA_ara-SAU_MAT_MA114-Honey_en21_MS2022.xlf"
"5075"	"Statement"	"السؤال"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ara-SAU_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"113"	"Click on one or more boxes to answer the question."	"انقر على مربع واحد أو أكثر للإجابة عن السؤال."	"M102_question1_itemDirections1_5c9d21362bedf1.13468059_1_0"	"PISA_ara-SAU_MAT_MA102-BuyingAWardrobe_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_ara-SAU_MAT_MA156-Points_en21_MS2022.xlf"
"1337"	"Answer:"	"الجواب"	"MA116_question2_question2_1_5c9d214a9b1534.18285636_0"	"PISA_ara-SAU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1748"	"2 stars"	"نجمتان"	"question0a_1_Q00tr5td1_5c9d214b005434.43072378_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"لاستخدام الحاسبة، أتبع هذه الخطوات:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_ara-SAU_MAT_MA112-Metabolism_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"أنقر على &lt;b&gt;صح&lt;/b&gt; أو &lt;b&gt;خطأ&lt;/b&gt; لكل عبارة من العبارات."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_ara-SAU_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; المجموع &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_ara-SAU_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"اكتب إجابتك عن السؤال."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_ara-SAU_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"هي العبارات التالية صحيحة أم خطأ؟"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_ara-SAU_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1378"	"Read the introduction."	"إقرأ المقدمة"	"question0a_1_itemDirections00_5c9d214aab7211.94558881_0_0"	"PISA_ara-SAU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"أنقر على أحد الخيارات في الجدول للإجابة عن السؤال."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_ara-SAU_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1706"	"2 stars"	"نجمتان"	"Page03_stimulus_S03T2tr5td1_5c9d214af210c7.86669503_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_ara-SAU_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_ara-SAU_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_ara-SAU_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"ثم انقر على سهم &quot;التالي&quot;"	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_ara-SAU_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"اشرح إجابتك وقم بتضمين قيم عددية لدعم تفسيرك."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_ara-SAU_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_ara-SAU_MAT_MA111-HealthApp_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر تحديد مربع&lt;b&gt; واحد أو أكثر &lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ara-SAU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"باستخدام مفاتيح الأرقام، اكتب إجاباتك عن السؤال."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_ara-SAU_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_ara-SAU_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 كيلو جول"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ara-SAU_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ تذكر أن تختار مربعاً&lt;b&gt; واحداً أو أكثر &lt;/b&gt;."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ara-SAU_MAT_MA149-FloorArea_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"باستخدام مفاتيح الأرقام، اكتب إجابتك عن السؤال."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_ara-SAU_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"اشرح إجابتك وقم بتضمين قيم عددية لدعم تفسيرك."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_ara-SAU_MAT_MA146-Fuel_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"باستخدام مفاتيح الأرقام، اكتب إجاباتك عن السؤال."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_ara-SAU_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر تحديد مربع&lt;b&gt; واحد أو أكثر &lt;/b&gt;."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ara-SAU_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد الخيارات ثم اكتب شرحًا للإجابة عن السؤال."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_ara-SAU_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1672"	"2 stars"	"نجمتان"	"Page03_stimulus_S03tr5td1_5c9d214af1dc84.36748181_0"	"PISA_ara-SAU_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
