"Segment"	"en-ZZ"	"th-TH"	"ID"	"File"
"2572"	"To run this simulation, you can use the following controls:"	"เพื่อให้สถานการณ์จำลองนี้ทำงาน นักเรียนสามารถใช้การควบคุมต่อไปนี้:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_tha-THA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"265"	"Transparency"	"ความหนาแน่น"	"S413_question3_q3t3tr5td1_50ec425f8ae1f5.32349532_0"	"PISA_tha-THA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"เพื่อให้สถานการณ์จำลองนี้ทำงาน นักเรียนสามารถใช้การควบคุมต่อไปนี้:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_tha-THA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"630"	"S466 Forest Fires"	"S466 ไฟป่าคำถามที่"	"S466_stimulus2_unknownID_50ed24064cf457.74201635_0"	"PISA_tha-THA_SCI_S466-ForestFires_en15_MS2022.xlf"
"1545"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;ความเข้าใจในสึนามิ &lt;/b&gt;&lt;br /&gt; บทนำ"	"question1_1_itemTitle01_5193d35626b6b4.37345644_0"	"PISA_tha-THA_SCI_S615-Tsunami_en15_MS2022.xlf"
"2500"	"Disadvantage"	"ข้อด้อย"	"S638_question2_header2_51804fe1804f46.37227767_0"	"PISA_tha-THA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2833"	"&lt;i&gt;For this question you will not need to use the simulation. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;สำหรับคำถามข้อนี้ นักเรียนไม่จำเป็นต้องใช้สถานการณ์จำลอง ให้คลิกหนึ่งตัวเลือก แล้วพิมพ์คำอธิบายเพื่อตอบคำถาม&lt;/i&gt;"	"question6_1_itemDirections06_51940c103ebfe4.25149254_0"	"PISA_tha-THA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1356"	"Caterpillars are in cocoons"	"หนอนผี้เสื้ออยู่ในดักแด้"	"S607_stimulus1_sl13_517407135d1484.71046154_0"	"PISA_tha-THA_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1117"	"&lt;i&gt;Refer to &quot;Water from Fog&quot; on the right.  Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;จากเรื่อง “น้ำจากหมอก” ทางด้านขวา &amp;nbsp;ให้คลิกที่กรอบสี่เหลี่ยมหนึ่งกรอบ&lt;br /&gt;หรือมากกว่าหนึ่งกรอบเพื่อตอบคำถาม&lt;/i&gt;"	"S604_question3_itemDirections3_51804e6bc48859.23680107_0"	"PISA_tha-THA_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"เพื่อให้สถานการณ์จำลองนี้ทำงาน นักเรียนสามารถใช้การควบคุมต่อไปนี้:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_tha-THA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"ยอดเยี่ยม!&lt;br /&gt; โปรดคลิกลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;เพื่อทำต่อไป"	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_tha-THA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1874"	"Sound in Marine Habitats"	"เสียงในแหล่งที่อยู่อาศัยของสัตว์ทะเล"	"S626_stimulus2_attr_alt_attr_stimulus2_4_515e3a72742018.23258723_0"	"PISA_tha-THA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"เพื่อให้สถานการณ์จำลองนี้ทำงาน นักเรียนสามารถใช้ &lt;br /&gt; การควบคุมต่อไปนี้:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_tha-THA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2122"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;ใช้งานสถานการณ์จำลองเพื่อรวบรวมข้อมูลจากข้อสนเทศ ข้างล่าง ให้คลิกที่กรอบสี่เหลี่ยมหนึ่งกรอบหรือมากกว่าหนึ่งกรอบเพื่อตอบคำถาม&lt;/i&gt;"	"question1_1_itemDirections01_5193fde59b12f6.84296644_0"	"PISA_tha-THA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2077"	"S629 Solar Cooker"	"S629 เตาพลังงานแสงอาทิตย์"	"S629_stimulus1_unknownID_515e3a729120f1.15352521_0"	"PISA_tha-THA_SCI_S629-SolarCooker_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;เมื่ออ่านบทนำแล้ว ให้คลิกที่ลูกศร&lt;b&gt;ถัดไป&lt;/b&gt;&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_tha-THA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"ในสถานการณ์จำลองนี้ นักเรียนจะได้สำรวจว่าระดับของการจับปลาค็อดและปลาเฮอร์ริ่งส่งผลต่อชีวมวลของสิ่งมีชีวิตแต่ละชนิดในอ่าวอย่างไร หลังจากระยะเวลาผ่านไปห้าปี"	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_tha-THA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1568"	"&lt;b&gt;Understanding Tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ความเข้าใจในสึนามิ &lt;/b&gt;&lt;br /&gt; คำถามที่"	"question3_1_itemTitle03_5193d3562af197.96505462_0"	"PISA_tha-THA_SCI_S615-Tsunami_en15_MS2022.xlf"
"1876"	"Sound in Marine Habitats"	"เสียงในแหล่งที่อยู่อาศัยของสัตว์ทะเล"	"S626_stimulus2_attr_alt_attr_stimulus2_6_515e3a727423c7.35149129_0"	"PISA_tha-THA_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
