"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"5005"	"Click on the NEXT arrow to read the article."	"신문 기사를 읽기 위해 [다음 화면] 버튼을 클릭하시오."	"q00a-body_q00a-p2_56fc786b7b5061.84844809_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1437"	"Well, that won’t help you."	"그래봐야 소용없어."	"Q01R542_question_Convp4_56fc782106b217.84906763_1_0"	"PISA_kor-KOR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4275"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00body_q00itemDirections_56fc783b3f8a36.71119956_0_0"	"PISA_kor-KOR_REA_R562-OpeningNight_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"물음에 대한 답이 될 만한 검색 결과를 하나 선택하여 클릭하시오."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_kor-KOR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"안내 책자의 내용을 읽기 위해 [다음 화면] 버튼을 클릭하시오."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_kor-KOR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2523"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question03_q03itemTitle_56fc786ace3733.75472591_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1630"	"Read the information below."	"아래의 내용을 읽은  후"	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_kor-KOR_REA_R543-Nobel_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"각 상황에 대해 &lt;b&gt;예&lt;/b&gt; 또는 &lt;b&gt;아니요&lt;/b&gt; 중에서 선택하여 클릭하시오."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"4105"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00a-body_q00a-p1_56fc785d252639.73865870_0_0"	"PISA_kor-KOR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2572"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question07_q07itemTitle_56fc786ad3f8b3.08618007_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"예, 아니요 중에서 하나를 클릭한 후 그 이유를 입력하시오.&lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_kor-KOR_REA_R544-Tesla_en18_MS2022.xlf"
"2378"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"만화 소설/만화&lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_kor-KOR_REA_R547-BookSurvey_en18_MS2022.xlf"
"3123"	"Click on a choice and then type an explanation to answer the question."	"답을 하나 클릭한 후 그 이유를 입력하시오."	"R552_question08_q08itemDirections_56fd79426a23e6.65077049_1_0"	"PISA_kor-KOR_REA_R552-FestiRock_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"물음에 맞는 답을 한개 또는 그 이상 선택하여 클릭하시오."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_kor-KOR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1903"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"예, 아니요 중에서 하나를 클릭한 후 그 이유를 입력하시오.&lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_kor-KOR_REA_R544-Tesla_en18_MS2022.xlf"
"5136"	"Click on a choice and then type an explanation to answer the question."	"답을 하나 클릭한 후 그 이유를 입력하시오."	"R566_question09_q09itemDirections_56fc786b8ffd83.26531494_1_0"	"PISA_kor-KOR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"517"	"16 hours&lt;br /&gt;of darkness"	"16 시간 &lt;br /&gt;계속되는 밤"	"R220_stimulus_label4_50c7c09762e640.81451247_0"	"PISA_kor-KOR_REA_R220-SouthPole_en15_MS2022.xlf"
