"Segment"	"en-ZZ"	"ka-GE"	"ID"	"File"
"5534"	"Click on the choices in the table to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტზე."	"R568_question07_q07itemDirections_56fc784aab9398.42636422_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4635"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R564_question03_q03itemDirections_56fc783b5e5cd1.57939726_1_0"	"PISA_geo-GEO_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3642"	"Click on a search result to answer the question.&lt;/i&gt;"	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ძიების ერთ-ერთ შედეგზე.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_geo-GEO_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5977"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R570_question07_q07itemDirections_56fc787980d0d7.70659870_1_0"	"PISA_geo-GEO_REA_R570-TheFavour_en18_MS2022.xlf"
"4518"	"Refer to the different webpages of the website on the right."	"გამოიყენეთ მარჯვნივ მოცემული ვებგვერდის სხვადასხვა გვერდი."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_geo-GEO_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3762"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R559_question04_q04itemDirections_56fc783b27f456.31679060_1_0"	"PISA_geo-GEO_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5221"	"Click on a search result to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ძიების ერთ&amp;ndash;ერთ შედეგზე.  &lt;/i&gt;"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1186"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"Q02_question_Q02itemDirections_56fc7820cec301.21446774_1_0"	"PISA_geo-GEO_REA_R541-Plastic_en18_MS2022.xlf"
"5472"	"Click on the choices in the table to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ ცხრილში მოცემულ სასურველ ვარიანტზე. &lt;/i&gt;"	"R568_question02_q02itemDirections_56fc784aa47285.37561152_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4603"	"&lt;b&gt;Sebastião Salgado&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;სებასტიან სალგადო &lt;/b&gt;&lt;br /&gt;"	"R564_question01_q01itemTitle_56fc783b5be184.43420037_0_0"	"PISA_geo-GEO_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3734"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"R559_question02_q02itemDirections_56fc783b259b76.36684830_1_0"	"PISA_geo-GEO_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2307"	"One book must be a non-fiction book"	"ერთი წიგნი უნდა იყოს შემეცნებითი შინაარსის."	"R547_question10_q10l1i2_56fc782e14a1f5.53976147_0"	"PISA_geo-GEO_REA_R547-BookSurvey_en18_MS2022.xlf"
"5078"	"Web Search"	"ონლაინ ძიება"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_geo-GEO_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1289"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"Q10_question_Q10itemDirections_56fc7820d94ce2.32272970_1_0"	"PISA_geo-GEO_REA_R541-Plastic_en18_MS2022.xlf"
"952"	"For the purchase of office supplies*"	"საოფისე მოწყობილობის შეძენისას*"	"R466_stimulus_line2_56c6ed01276937.92949299_0"	"PISA_geo-GEO_REA_R466-WorkRight_en18_MS2022.xlf"
"5477"	"False"	"მცდარია"	"R568_question02_q02tr1th3_56fc784aa48033.97482900_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5876"	"Click on the NEXT arrow to read the story."	"ზღაპრის წასაკითხად, დააწკაპუნეთ ისრიან ღილაკზე &lt;b&gt;შემდეგი.&lt;/b&gt;&lt;br /&gt;"	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_geo-GEO_REA_R570-TheFavour_en18_MS2022.xlf"
"1264"	"Click on a choice to answer the question."	"შეკითხვაზე პასუხის გასაცემად, დააწკაპუნეთ სასურველ ვარიანტზე.&lt;/i&gt;"	"Q05_question_Q05itemDirections_56fc7820d65671.48215910_1_0"	"PISA_geo-GEO_REA_R541-Plastic_en18_MS2022.xlf"
"5578"	"Then click on the NEXT arrow."	"შემდეგ დააწკაპუნეთ ისრიან ღილაკზე  &lt;b&gt;შემდეგი.&lt;/b&gt;"	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5504"	"Refer to “Space Debris and Human Spacecraft” on the right."	"&lt;i&gt;გამოიყენეთ მარჯვნივ მოცემული ტექსტი „კოსმოსური ნარჩენები და ადამიანის მიერ შექმნილი კოსმოსური ხომალდები“."	"R568_question04_q04itemDirections_56fc784aa79954.99366440_0_0"	"PISA_geo-GEO_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4267"	"Refer to “Opening Night” on the right."	"გამოიყენეთ  მარჯვნივ მოცემული ტექსტი „პრემიერა.“"	"R562_question06_q06itemDirections_56fc783b465e44.74175451_0_0"	"PISA_geo-GEO_REA_R562-OpeningNight_en18_MS2022.xlf"
