"Segment"	"en-ZZ"	"cs-CZ"	"ID"	"File"
"4024"	"&lt;br/&gt;"	"&lt;br /&gt;"	"MA147_stimulus1_t1r1c2_5c9d2165038d06.18912561_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Odpověz na otázku kliknutím na možnosti &lt;br /&gt;v tabulce."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_ces-CZE_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4031"	"&lt;br/&gt;"	"&lt;br /&gt;"	"MA147_stimulus1_t2r1c2_5c9d2165039231.86382040_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4429"	"20% Off"	"Sleva&lt;br /&gt;20 %"	"q1MA152_question_q1tr1th2_5c9d21654f7418.60806584_0"	"PISA_ces-CZE_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_ces-CZE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Nezapomeň vybrat &lt;b&gt;jednu nebo více&lt;/b&gt; možností."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_ces-CZE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_ces-CZE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3275"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2CMA135_question_q2itemDirections_5c9d2164502f75.93836961_1_0"	"PISA_ces-CZE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5134"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q2MA161_question_q2itemDirections_5c9d2137a35226.15708627_2_0"	"PISA_ces-CZE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"&lt;br /&gt;U každého tvrzení klikni na &lt;b&gt;Pravdivé&lt;/b&gt; nebo &lt;b&gt;Nepravdivé&lt;/b&gt;. &lt;br /&gt;"	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_ces-CZE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svoji odpověď vysvětli."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_ces-CZE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4740"	"50%"	"50 %"	"MA158_stimulus_r7c6_5c9d216579bf74.34054533_0"	"PISA_ces-CZE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1971"	"Click on a choice and then type an explanation to answer the question."	"Odpověz na otázku kliknutím na jednu z možností a svou odpověď zdůvodni."	"Q3MA124_question_Q3itemDirections_5c9d214b429d74.89418777_1_0"	"PISA_ces-CZE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"Odpověz na otázku kliknutím na jednu z možností."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_ces-CZE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
