"Segment"	"en-ZZ"	"lt-LT"	"ID"	"File"
"1267"	"X"	"Z"	"M949_stimulus_label10_50d3632e6379d9.60306714_0"	"PISA_lit-LTU_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1075"	"Runner C"	"C bėgikas"	"Q2M939_question_question2_3_5c9d20c9a987a8.49208563_0"	"PISA_lit-LTU_MAT_M939-Racing_en21_MS2022.xlf"
"1439"	"&lt;i&gt;Refer to &quot;Wooden Train Set&quot; on the right."	"&lt;i&gt;Remdamiesi dešinėje pateikta užduoties „Medinis traukinukas“ informacija,"	"Q2M967_question_Q2itemDirections_5c9d20c9d20310.19323241_0_0"	"PISA_lit-LTU_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"1076"	"Runner D"	"D bėgikas"	"Q2M939_question_question2_4_5c9d20c9a988e5.03096104_0"	"PISA_lit-LTU_MAT_M939-Racing_en21_MS2022.xlf"
"1378"	"China"	"Jungtinės Valstijos"	"M955_stimulus_tr5td1_50d3507cc704f4.95801630_0"	"PISA_lit-LTU_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Naudodamiesi skaičių klavišais, įrašykite atsakymą.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d35fdd7dea95.59436584_0"	"PISA_lit-LTU_MAT_M464-Fence_en15_MS2022.xlf"
"1375"	"Canada"	"Indija"	"M955_stimulus_tr4td1_50d3507cc6f8b5.71930624_0"	"PISA_lit-LTU_MAT_M955-Migration_en15_MS2022.xlf"
"1073"	"Runner A"	"A bėgikas"	"Q2M939_question_question2_1_5c9d20c9a98532.97364638_0"	"PISA_lit-LTU_MAT_M939-Racing_en21_MS2022.xlf"
"1074"	"Runner B"	"B bėgikas"	"Q2M939_question_question2_2_5c9d20c9a98676.30382780_0"	"PISA_lit-LTU_MAT_M939-Racing_en21_MS2022.xlf"
"942"	"zeds"	" "	"Q2M915_question_sp2_50d34e13491c39.12741147_0"	"PISA_lit-LTU_MAT_M915-CarbonTax_en15_MS2022.xlf"
"1384"	"India"	"Kenija"	"M955_stimulus_tr7td1_50d3507cc71de8.89346731_0"	"PISA_lit-LTU_MAT_M955-Migration_en15_MS2022.xlf"
"1485"	"M982 Employment Data Q3"	"M982 UŽIMTUMO STATISTIKA Q4"	"Q4M982_question_unknownID_50d352199f0ff0.13413101_0"	"PISA_lit-LTU_MAT_M982-EmploymentData_en15_MS2022.xlf"
