"Segment"	"en-ZZ"	"ar-AE"	"ID"	"File"
"3943"	"Click on a choice to answer the question."	"ثم انقر على أحد الخيارات للإجابة عن السؤال."	"R560_question03_q03itemDirections_56fc784a7ad263.50990820_1_0"	"PISA_ara-ARE_REA_R560-GarbagePatch_en18_MS2022.xlf"
"3694"	"Click on a choice to answer the question.&lt;/i&gt;"	"ثم انقر على أحد الخيارات للإجابة عن السؤال.&lt;/i&gt;"	"R558_question6_itemDirections_56fc786b0f3f55.03223461_1_0"	"PISA_ara-ARE_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3042"	"Click on a choice to answer the question."	"ثم انقر على أحد الخيارات للإجابة عن السؤال."	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_ara-ARE_REA_R552-FestiRock_en18_MS2022.xlf"
"4740"	"And it was my privilege to listen.”&lt;/i&gt;"	"وكان لي شرف الاستماع إليها &quot;.&lt;/i&gt;."	"R564_question06_q06p1_56fc783b61dba1.37708657_1_0"	"PISA_ara-ARE_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5373"	"Read the Introduction."	"اقرأ المقدمة."	"q0a-body_q0a-itemDirections_56fc787919c1f3.79340677_0_0"	"PISA_ara-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"ثم انقر على زر &quot;التالي&quot;."	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_ara-ARE_REA_R550-CliffPalace_en18_MS2022.xlf"
"3426"	"Click on a choice to answer the question.&lt;/i&gt;"	"ثم انقر على أحد الخيارات للإجابة عن السؤال.&lt;/i&gt;"	"R556_question3_itemDirections_56fc783ac55ff8.32442383_1_0"	"PISA_ara-ARE_REA_R556-Microlending_en18_MS2022.xlf"
"5372"	"Introduction"	"مقدمة"	"q0a-body_itemTitle0a_56fc787919bdd8.02380056_1_0"	"PISA_ara-ARE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2769"	"Dedicated to the preservation of this important landmark"	"مخصص للحفاظ على هذا المَعلَم المهم"	"R550_tours_tours-tagline_56fc785cd39871.17122394_0"	"PISA_ara-ARE_REA_R550-CliffPalace_en18_MS2022.xlf"
"2296"	"Type your answer to the question.&lt;/i&gt;"	"اثم كتب إجابتك عن السؤال.&lt;/i&gt;"	"R547_question01_itemDirections_56fc782e0a01b6.54291375_1_0"	"PISA_ara-ARE_REA_R547-BookSurvey_en18_MS2022.xlf"
