"Segment"	"en-ZZ"	"tr-TR"	"ID"	"File"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Güzel!&lt;br /&gt; Devam etmek için lütfen İLERİ ok tuşuna tıklayınız."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_tur-TUR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1142"	"Water from Fog"	"SİSTEN ELDE EDİLEN SU"	"S604_stimulus1_title1_51804e6bc97c14.42682590_0"	"PISA_tur-TUR_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Güzel!&lt;br /&gt; Devam etmek için lütfen İLERİ ok tuşuna tıklayınız."	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_tur-TUR_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2341"	"decrease"	"azalacaktır"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"794"	"The provision of assistance to victims of natural disasters"	"Doğal afetlerdeki afetzedelere yardımcı olma"	"S514_question3_tr4td1_50ed2989e55ef9.19788137_0"	"PISA_tur-TUR_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"1456"	"Time (million years ago)"	"Zaman (milyon yıl önce)"	"S608_stimulus2_p23_515e3a72356726.27719046_0"	"PISA_tur-TUR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1443"	"S608 Ammonoids"	"S608 AMMONİTLER"	"S608_stimulus2_unknownID_515e3a72350b72.98943856_0"	"PISA_tur-TUR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1430"	"Ammonoids"	"AMMONİTLER"	"S608_stimulus1_title1_515e3a723278f4.32125142_0"	"PISA_tur-TUR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"1444"	"Ammonoids"	"AMMONİTLER"	"S608_stimulus2_title2_515e3a72351f17.07218628_0"	"PISA_tur-TUR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Bu soruya bilimsel bir deney ile cevap verilebilir mi?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_tur-TUR_SCI_S638-OilSpills_en15_MS2022.xlf"
"2343"	"select"	"Seçiniz"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2942"	"Venus"	"Venüs"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_tur-TUR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2957"	"Habitable Zone"	"Yaşanabilir Alan"	"S642_stimulus2_lable2_1_517407af83a424.62501371_0"	"PISA_tur-TUR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1213"	"Geothermal Energy"	"Jeotermal Enerji"	"S605_stimulus1_attr_alt_attr_stimulus1_1_515e3a721e4142.02566117_0"	"PISA_tur-TUR_SCI_S605-GeothermalEnergy_en15_MS2022.xlf"
"1448"	"Species B"	"B türü"	"S608_stimulus2_le22_515e3a72353560.98825786_0"	"PISA_tur-TUR_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2999"	"&lt;i&gt;Refer to &quot;Treatment Study&quot; on the right. Click on a choice to answer the question. &lt;/i&gt;"	"&lt;i&gt;Sağdaki &quot;Tasfiye Çalışması&quot;ndan yararlanınız. Soruyu cevaplamak için seçeneklerden birine tıklayınız.&lt;/i&gt;"	"S657_question3_itemDirections3_518050dc4491b0.06692657_0"	"PISA_tur-TUR_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"935"	"higher"	"daha fazladır."	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_tur-TUR_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2345"	"decrease"	"azalacaktır"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1014"	"Species B branches with &lt;u&gt;no&lt;/u&gt; ants"	"Dallarında &lt;u&gt;hiç&lt;/u&gt; karınca olmayan B türü"	"S603_question2_nested21_515e3a72062988.62648612_0"	"PISA_tur-TUR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1066"	"Elephants and Acacia Trees"	"FİLLER VE AKASYA AĞAÇLARI"	"S603_stimulus1_title1_515e3a720f0d05.94739019_0"	"PISA_tur-TUR_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2207"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aşı ve Hastalıkların Yayılması&lt;/b&gt;&lt;br /&gt; Soru"	"CS634_Q05_itemTitle05_5193fde5a48808.24424360_0"	"PISA_tur-TUR_SCI_S634-Vaccination_en15_MS2022.xlf"
"2243"	"None"	"Hiç"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Kuşlar ve Tırtırlar Giriş"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_tur-TUR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2173"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Aşı ve Hastalıkların Yayılması&lt;/b&gt;&lt;br /&gt; Soru"	"question3_1_itemTitle03_5193fde5a01601.20351783_0"	"PISA_tur-TUR_SCI_S634-Vaccination_en15_MS2022.xlf"
"536"	"S438 Green Parks"	"S438 YEŞİL PARKLAR"	"S438_stimulus2_unknownID_50ec563c62af15.80297348_0"	"PISA_tur-TUR_SCI_S438-GreenParks_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Daha fazla deneme yapmak için bazı verileri siliniz."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_tur-TUR_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2461"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"Güzel!&lt;br /&gt; Devam etmek için lütfen İLERİ ok tuşuna tıklayınız."	"stimulus2_1_stimulus2_49_51940bae4fe598.93213774_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Kuşlar ve Tırtırlar Giriş"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_tur-TUR_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2450"	"None"	"Hiç"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"737"	"No"	"HAYIR"	"S498_question3_question3_2_50ec5cabb99ae8.26479834_0"	"PISA_tur-TUR_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2403"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Balıkları Koruma &lt;/b&gt;&lt;br /&gt; Soru"	"S662_question7_itemTitle7_51940bae49abf4.68310676_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Bu simülasyonu başlatmak için aşağıdaki komutları kullanabilirsiniz:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_tur-TUR_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2870"	"Habitable Zone"	"Yaşanabilir Bölge"	"S648_Q0_Qlable1_1_517407af696281.39035562_0"	"PISA_tur-TUR_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2943"	"Earth"	"Dünya"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_tur-TUR_SCI_S648-HabitableZone_en15_MS2022.xlf"
