"Segment"	"en-ZZ"	"ru-EE"	"ID"	"File"
"5163"	"Web Search"	"Поиск в Интернете"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_rus-EST_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"656"	"&lt;i&gt;Refer to the two-page article &quot;Sleep&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на две страницы статьи &quot;Честная торговля&quot; справа. Выберите ответ и нажмите на него.&lt;/i&gt;"	"R404_question_itemDirections_50c7c88c1e3f14.58950364_0"	"PISA_rus-EST_REA_R404-Sleep_en15_MS2022.xlf"
"527"	"Jun"	"Июнь"	"R220_stimulus_jun_50c7c0aa668051.70691082_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"5441"	"Web Search"	"Поиск в Интернете"	"R568_stimulus4_pg04h1_56fc784a9ffbb6.57025971_0"	"PISA_rus-EST_REA_R568-SpaceDebris_en18_MS2022.xlf"
"486"	"R220 South Pole"	"R220 ЮЖНЫЙ ПОЛЮС"	"R220_stimulus_unknownID_50c7c0aa6343a1.33454266_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"1060"	"Town/ City:"	"ул. Вабадусе, д. 3, кв. 12"	"R466_stimulus_line10_50c7c9a3e47ec1.06905728_0"	"PISA_rus-EST_REA_R466-WorkRight_en15_MS2022.xlf"
"392"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС&lt;/b&gt;&lt;br /&gt; ВОПРОС"	"R220_question_itemTitle_50c7c0aa584dd0.07491891_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"511"	"R220 South Pole"	"R220 ЮЖНЫЙ ПОЛЮС"	"R220_stimulus_unknownID_50c7c0aa663636.50324103_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"15"	"&lt;b&gt;Drugged Spiders&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ПАУКИ-НАРКОМАНЫ&lt;/b&gt;&lt;br /&gt;ВОПРОС"	"R055_question_itemTitle_50c7b36008b429.40148615_0"	"PISA_rus-EST_REA_R055-DruggedSpiders_en15_MS2022.xlf"
"3549"	"Web Search"	"Поиск в Интернете"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_rus-EST_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4942"	"Website"	"Веб-сайт"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_rus-EST_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2756"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"5577"	"Refer to the Web Search on the right."	"Посмотрите на страницу &quot;Поиск в Интернете&quot; справа."	"R568_question05_q05itemDirections_56fc784aa8cd49.98790140_0_0"	"PISA_rus-EST_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2736"	"Hours"	"&lt;b&gt;Часы работы&lt;/b&gt;"	"R550_hours_r0c2_56fc785ccf94b6.67315688_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"2754"	"General Information"	"Общие сведения"	"R550_map_map_l2_56fc785cd17d02.68864643_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"2712"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"301"	"T"	"Чтв"	"R219_stimulus_stimulus_7_50c7b7de34be56.14924065_0"	"PISA_rus-EST_REA_R219-Employment_en15_MS2022.xlf"
"2799"	"Spring"	"Весной"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"5378"	"Click on the NEXT arrow to read the webpage."	"Чтобы прочитать текст веб-страницы, нажмите на стрелку ДАЛЕЕ."	"q0a-body_q0a-p3_56fc787919cf45.17795726_0"	"PISA_rus-EST_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1064"	"Post code:"	"Электронная почта"	"R466_stimulus_line12_50c7c9a3e490f6.24769980_0"	"PISA_rus-EST_REA_R466-WorkRight_en15_MS2022.xlf"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Посмотрите на документы на странице &quot;Южный полюс&quot; справа. Выберите ответ и нажмите на него.&lt;/i&gt;"	"R220_question_itemDirections_50c7c0aa5b2633.86951346_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"3744"	"Tyson Electronics"	"&quot;Тайман Электроникс&quot;"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_rus-EST_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"269"	"&lt;b&gt;Employment&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ПРИЕМ НА РАБОТУ &lt;/b&gt;&lt;br /&gt;ВОПРОС"	"R219_question_itemTitle_50c7b7de31c108.89011018_0"	"PISA_rus-EST_REA_R219-Employment_en15_MS2022.xlf"
"1062"	"County/ State:"	"Индекс:"	"R466_stimulus_s2line11_50c7c9a3e487d6.64021132_0"	"PISA_rus-EST_REA_R466-WorkRight_en15_MS2022.xlf"
"2801"	"Autumn"	"Осенью"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Для ответа на вопрос с помощью мыши перетащите названия мест в правильные ячейки таблицы."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_rus-EST_REA_R569-TheCleanup_en18_MS2022.xlf"
"2658"	"General Information"	"Общие сведения"	"R550_ancestral_ancestral_l2_56fc785cc8da26.81359740_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Для ответа на вопрос с помощью мыши перетащите события в правильные ячейки таблицы."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_rus-EST_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"Для ответа на вопрос отметьте нужное предложение в рассказе."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_rus-EST_REA_R562-OpeningNight_en18_MS2022.xlf"
"2771"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"6045"	"How should Charles respond?"	"Что Косте следует ему ответить?"	"R570_question07_q07p2_56fc787980d795.85902410_0"	"PISA_rus-EST_REA_R570-TheFavour_en18_MS2022.xlf"
"58"	"&lt;b&gt;Shirts&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;РУБАШКИ&lt;/b&gt;&lt;br /&gt; ВОПРОС"	"R102_question_itemTitle_50c7aefee8ec81.77222269_0"	"PISA_rus-EST_REA_R102-Shirts_en15_MS2022.xlf"
"524"	"Mar"	"Март"	"R220_stimulus_mar_50c7c0aa667614.99523598_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"432"	"R220 South Pole"	"R220 ЮЖНЫЙ ПОЛЮС"	"R220_stimulus_unknownID_50c7c0aa602a96.12253806_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"2724"	"General Information"	"Общие сведения"	"R550_hours_hours_l2_56fc785ccf6d72.95689156_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"371"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС&lt;/b&gt;&lt;br /&gt; ВОПРОС"	"R220_question_itemTitle_50c7c0aa565302.93505697_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"523"	"Feb"	"Февраль"	"R220_stimulus_feb_50c7c0aa667298.10233926_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"533"	"Dec"	"Декабрь"	"R220_stimulus_dec_50c7c0aa6698c0.24902303_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"525"	"Apr"	"Апрель"	"R220_stimulus_apr_50c7c0aa667984.13877149_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"528"	"Jul"	"Июль"	"R220_stimulus_jul_50c7c0aa6683d6.05961322_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"Выберите нужный результат поиска и нажмите на него."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_rus-EST_REA_R560-GarbagePatch_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"Нажмите &lt;b&gt;Да&lt;/b&gt;, если предложение имеет смысл."	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_rus-EST_REA_R590-Sentences01_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Выберите ответ и нажмите на него, а затем напечатайте пояснение, чтобы ответить на вопрос."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_rus-EST_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2726"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_hours_hours_l4_56fc785ccf78f4.09670808_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"2714"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_general_info_gi_l4_56fc785ccd9e25.13125133_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"407"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ЮЖНЫЙ ПОЛЮС&lt;/b&gt;&lt;br /&gt; ВОПРОС"	"R220_question_itemTitle_50c7c0aa5b1e25.44536614_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Согласно информации, представленной в брошюре, верно или неверно данное утверждение?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_rus-EST_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"Посмотрите на страницу &quot;Поиск в Интернете&quot; справа."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_rus-EST_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"Посмотрите тексты обоих источников справа, нажимая на каждую из вкладок."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_rus-EST_REA_R568-SpaceDebris_en18_MS2022.xlf"
"530"	"Sep"	"Сентябрь"	"R220_stimulus_sept_50c7c0aa668ae9.53346948_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"5144"	"Web Search"	"Поиск в Интернете"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_rus-EST_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"Выберите нужный результат поиска и нажмите на него."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_rus-EST_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4944"	"Website"	"Веб-сайт"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_rus-EST_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2687"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_cliff_palace_cp_l4_56fc785ccaf904.58193490_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
"565"	"R220 South Pole"	"R220 ЮЖНЫЙ ПОЛЮС"	"R220_stimulus_unknownID_50c7c0aa697718.04617081_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2/ Заполните&lt;/b&gt; бланк, приведенный ниже.&lt;br /&gt; &lt;b&gt;3/ Вложите&lt;/b&gt; копию вашего чека, а также штрих-код(ы) или ценник(и) приобретенных вами товаров.&lt;br /&gt; &lt;b&gt;4/ Отошлите&lt;/b&gt; все документы в течение 15 дней со дня покупки на следующий адрес:&lt;br /&gt;"	"R466_stimulus_section2_50c7c9a3e45748.80445969_0"	"PISA_rus-EST_REA_R466-WorkRight_en15_MS2022.xlf"
"638"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"Нажмите на цифру &lt;b&gt;2&lt;/b&gt;, чтобы открыть страницу 2."	"R404_question_introBullet2_50c7c88c1b2892.52297318_0"	"PISA_rus-EST_REA_R404-Sleep_en15_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Чтобы прочитать сказку, нажмите на стрелку ДАЛЕЕ."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_rus-EST_REA_R570-TheFavour_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"Посмотрите тексты обоих источников справа, нажимая на каждую из вкладок."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_rus-EST_REA_R568-SpaceDebris_en18_MS2022.xlf"
"529"	"Aug"	"Август"	"R220_stimulus_aug_50c7c0aa668769.74302089_0"	"PISA_rus-EST_REA_R220-SouthPole_en15_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Чтобы прочитать брошюру, нажмите на стрелку ДАЛЕЕ."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_rus-EST_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2685"	"General Information"	"Общие сведения"	"R550_cliff_palace_cp_l2_56fc785ccaeff5.57842989_0"	"PISA_rus-EST_REA_R550-CliffPalace_en18_MS2022.xlf"
