"Segment"	"en-ZZ"	"cs-CZ"	"ID"	"File"
"2632"	"LED light bulbs"	"LED žárovkám"	"question5_1_question5_7_51940c10266fe0.14307762_0"	"PISA_ces-CZE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2945"	"Uranus"	"Uran"	"S648_stimulus1_le4_517407af7dbca8.58872486_0"	"PISA_ces-CZE_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odpověz na otázku kliknutím na jednu z možností.&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_ces-CZE_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1364"	"Birds and Caterpillars Introduction"	"Ptáci a housenky Úvod"	"S607_stimulus1_attr_alt_attr_stimulus1_4_517407135d4b29.16028951_0"	"PISA_ces-CZE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"1363"	"Birds and Caterpillars Introduction"	"Ptáci a housenky Úvod"	"S607_stimulus1_attr_alt_attr_stimulus1_3_517407135d4900.63824973_0"	"PISA_ces-CZE_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2372"	"decrease"	"klesá"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1669"	"2500"	"2 500"	"S620_Q2_yq21_51740713a08293.19660593_0"	"PISA_ces-CZE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1699"	"S620 Tornadoes Q03"	"S620 Tornáda Q04"	"S620_question3_unknownID_51740713a2e581.39006046_0"	"PISA_ces-CZE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"1707"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt; Odpověz na otázku kliknutím na jednu z možností.&lt;/i&gt;"	"S620_Q5_itemDirections5_51740713a4d6f7.38678093_0"	"PISA_ces-CZE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2345"	"decrease"	"klesne"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Podmínky simulace nastavíš jednotlivými ovladači:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2376"	"decrease"	"klesá"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2209"	"&lt;i&gt;Click on one or more boxes to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odpověz na otázku kliknutím na jednu nebo více možností. &lt;/i&gt;"	"CS634_Q05_itemDirections5_5193fde5a492d6.48884888_0"	"PISA_ces-CZE_SCI_S634-Vaccination_en15_MS2022.xlf"
"2341"	"decrease"	"klesne"	"question3_1_o3_2_51940bae4048a1.83833544_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"576"	"No&lt;br /&gt;treatment"	"nehnojeno&lt;br /&gt;"	"S438_stimulus2_chem16_50ec561254dab0.78883258_0"	"PISA_ces-CZE_SCI_S438-GreenParks_en15_MS2022.xlf"
"1671"	"1500"	"1 500"	"S620_Q2_yq23_51740713a087b0.90702267_0"	"PISA_ces-CZE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"Podmínky simulace nastavíš jednotlivými ovladači:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_ces-CZE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2943"	"Earth"	"Země"	"S648_stimulus1_le2_517407af7db406.82055732_0"	"PISA_ces-CZE_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 Automobilové pneumatiky Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_ces-CZE_SCI_S627-CarTyres_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt; Vycházej z informací uvedených níže a proveď simulaci k získání potřebných údajů. Odpověz na otázku kliknutím na jednu z možností a svou odpověď zdůvodni.&lt;/i&gt;"	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_ces-CZE_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2697"	"LED"	"Elektroluminiscenční dioda (LED)"	"stimulus_1_stimuluslb3label_51940c102e6069.74729902_0"	"PISA_ces-CZE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2630"	"Incandescent light bulbs"	"Běžným žárovkám"	"question5_1_question5_5_51940c102667c4.89967001_0"	"PISA_ces-CZE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1681"	"May"	"Kvě"	"S620_Q2_xq25_51740713a0a6b5.88203009_0"	"PISA_ces-CZE_SCI_S620-Tornadoes_en15_MS2022.xlf"
"737"	"No"	"NE"	"S498_question3_question3_2_50ec5c8014ffa2.73726168_0"	"PISA_ces-CZE_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2110"	"&lt;b&gt;Susceptible:&lt;/b&gt; Individuals in this state are not vaccinated to prevent the disease and may get the disease."	"&lt;b&gt;Rizikový&lt;/b&gt;: osoby v tomto stavu nejsou proti nemoci očkovány, a proto se mohou nakazit."	"question000_1_t1tr1td2_5193fde5991607.39636409_0"	"PISA_ces-CZE_SCI_S634-Vaccination_en15_MS2022.xlf"
"856"	"&lt;i&gt;Refer to &quot;Extinction of the Dinosaurs&quot; on the right. Click on the choices in the table to answer the question.&lt;/i&gt;"	"&lt;i&gt;Prostuduj si úlohu „Vyhynutí dinosaurů&quot; na pravé straně. Odpověz na otázku kliknutím na možnosti v tabulce. &lt;/i&gt;"	"S527_question3_itemDirections3_50ec1e85afa7d7.43373825_0"	"PISA_ces-CZE_SCI_S527-ExtinctionOfTheDinosaurs_en15_MS2022.xlf"
"2942"	"Venus"	"Venuše"	"S648_stimulus1_le1_517407af7daf63.70073035_0"	"PISA_ces-CZE_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2633"	"Halogen light bulbs"	"Halogenovým žárovkám"	"question5_1_question5_8_51940c10267417.00337851_0"	"PISA_ces-CZE_SCI_S643-LightBulbs_en15_MS2022.xlf"
"130"	"&lt;i&gt;Refer to &quot;Wild Oat Grass&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Prostuduj si úlohu „Oves hluchý&quot; na pravé straně. Odpověz na otázku kliknutím na jednu z možností.&lt;/i&gt;"	"S408_question4_itemDirections_4_50ec39d0904e05.21817440_0"	"PISA_ces-CZE_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"556"	"No&lt;br /&gt;treatment"	"nehnojeno&lt;br /&gt;"	"S438_stimulus2_chem6_50ec56125486f2.34964788_0"	"PISA_ces-CZE_SCI_S438-GreenParks_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"V simulaci si vyzkoušíš, jak intenzita lovu tresky a sledě po dobu pěti let ovlivní množství biomasy každého druhu organizmu v zálivu."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"645"	"Bacteria"	"Na bakterie"	"S478_question1_question1_3_50ed1d035c9013.79504756_0"	"PISA_ces-CZE_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2525"	"Can this question be answered by scientific experiments?"	"Mohou vědecké studie odpovědět na tuto otázku?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_ces-CZE_SCI_S638-OilSpills_en15_MS2022.xlf"
"2973"	"&lt;i&gt;Use drag and drop to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odpověz na otázku přetažením obrázků do příslušných políček.&lt;/i&gt;"	"S657_question1_itemDirections1_518050dc4052f0.99989837_0"	"PISA_ces-CZE_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2371"	"increase"	"roste"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2375"	"increase"	"roste"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"566"	"No&lt;br /&gt;treatment"	"nehnojeno&lt;br /&gt;"	"S438_stimulus2_chem11_50ec561254b0a3.18261006_0"	"PISA_ces-CZE_SCI_S438-GreenParks_en15_MS2022.xlf"
"2344"	"increase"	"vzroste"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"vzroste"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_ces-CZE_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Svou odpověď zdůvodni.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_ces-CZE_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;S645 Oxid uhličitý v zemské atmosféře&lt;/b&gt;&lt;br /&gt; Otázka"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_ces-CZE_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
