"Segment"	"en-ZZ"	"es-CR"	"ID"	"File"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_esp-CRI_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Dele clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_esp-CRI_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1932"	"38%"	"38 %"	"MA124_stimulus1_MA124S01PiesLeftLowP4_5c9d214b3ed114.74226948_0"	"PISA_esp-CRI_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Justifique su respuesta e incluya datos numéricos."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_esp-CRI_MAT_MA146-Fuel_en21_MS2022.xlf"
"948"	"Height"	"Altura"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_esp-CRI_MAT_MA112-Metabolism_en21_MS2022.xlf"
"949"	"Weight"	"Peso"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_esp-CRI_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Dele clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt; para cada afirmación."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_esp-CRI_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para usar la calculadora, siga estos pasos."	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_esp-CRI_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_esp-CRI_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1934"	"20%"	"20 %"	"MA124_stimulus1_MA124S01PiesLeftLowP6_5c9d214b3ed3f0.44129781_0"	"PISA_esp-CRI_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4194"	"20%"	"20 %"	"q2MA148_question_question02_5_5c9d21651c6599.77212609_0"	"PISA_esp-CRI_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_esp-CRI_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3981"	"Litres"	"Litros"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_esp-CRI_MAT_MA146-Fuel_en21_MS2022.xlf"
"4850"	"Mean"	"Media"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_esp-CRI_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Dele clic en dos casillas que respondan la pregunta."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_esp-CRI_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_esp-CRI_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
