"Segment"	"en-ZZ"	"ru-BY"	"ID"	"File"
"4581"	"A"	"З"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4591"	"A"	"З"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4597"	"D"	"Д"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1820"	"Select"	"Выбрать"	"MA121_question02_Q02UL2Li1o0_5c9d214b05a107.46709526_0"	"PISA_rus-BLR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4577"	"D"	"Д"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_rus-BLR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Для того, чтобы пользоваться калькулятором, выполните следующие шаги:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-BLR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3981"	"Litres"	"Литры"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_rus-BLR_MAT_MA146-Fuel_en21_MS2022.xlf"
"4225"	"A"	"А"	"MA149_stimulus2_img2Lbl1_5c9d2165299540.34702392_0"	"PISA_rus-BLR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4445"	"Select"	"Выбрать"	"q2MA152_question_q2o0_5c9d216550cbf7.56001817_0"	"PISA_rus-BLR_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"2230"	"Select"	"Выбрать"	"MA126_question02_S02tr2o0_5c9d214b524d76.91738922_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"5019"	"Mean"	"Среднее значение"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_rus-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Выберите вариант из выпадающих меню, чтобы ответить на вопрос."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3913"	"Are the following statements true or false?"	"Следующие утверждения являются верными или неверными?"	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_0_0"	"PISA_rus-BLR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"5075"	"Statement"	"Вопрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_rus-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3465"	"Select"	"Выбрать"	"q2CMA137_question_q1B0_5c9d216470acd3.72235825_0"	"PISA_rus-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Отметьте два варианта, чтобы ответить на вопрос."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_rus-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"3195"	"A"	"А"	"Q1MA134_question_Q01tr2td1SELECT1o1_5c9d2164318520.98922600_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Нажмите на выбранный вариант ответа, а затем запишите свое объяснение, чтобы ответить на вопрос."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_rus-BLR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3207"	"A"	"А"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2255"	"Select"	"Выбрать"	"MA126_question02_S02tr7o0_5c9d214b527777.68714529_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"4159"	"C"	"С"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_rus-BLR_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Не забывайте, что нужно выбрать &lt;b&gt;один или несколько&lt;/b&gt; вариантов ответа."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_rus-BLR_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3470"	"Select"	"Выбрать"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_rus-BLR_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1830"	"Select"	"Выбрать"	"MA121_question02_Q02UL2Li3o0_5c9d214b05b0d3.85923571_0"	"PISA_rus-BLR_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"2240"	"Select"	"Выбрать"	"MA126_question02_S02tr4o0_5c9d214b525d35.29219918_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"3201"	"A"	"А"	"Q1MA134_question_Q01tr3td1SELECT1o1_5c9d2164318d73.43327422_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2265"	"Select"	"Выбрать"	"MA126_question02_S02tr9o0_5c9d214b528bc8.97835627_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"2245"	"Select"	"Выбрать"	"MA126_question02_S02tr5o0_5c9d214b526582.27106050_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
"3200"	"Select"	"Выбрать"	"Q1MA134_question_Q01tr3td1SELECT1o0_5c9d2164318c81.53190451_0"	"PISA_rus-BLR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Нажмите на &lt;b&gt;Верное&lt;/b&gt; или &lt;b&gt;Неверное&lt;/b&gt; для каждого утверждения, приведённого ниже."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_rus-BLR_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2225"	"Select"	"Выбрать"	"MA126_question02_S02tr1o0_5c9d214b524626.30637212_0"	"PISA_rus-BLR_MAT_MA126-Robot_en21_MS2022.xlf"
