"Segment"	"en-ZZ"	"mn-MN"	"ID"	"File"
"4885"	"Click on a choice and then type an explanation to answer the question."	"Асуултад хариулахын тулд сонголт дээр дараад, тайлбар бичнэ үү."	"R566_question09_q09itemDirections_5c9d225b351ba2.97186226_1_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"1855"	"Type your answer to the question."	"Асуултад хариулж бичнэ үү."	"Q11_question_Q11itemDirections_5c9d219e41ddd9.72685416_1_0"	"PISA_mon-MNG_REA_R541-Plastic_en21_MS2022.xlf"
"5561"	"Click on the choices in the table to answer the question."	"асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу."	"R570_question04_q04itemDirections_5c9d225be9dcc8.06998933_1_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"2812"	"Click on the choices in the table to answer the question."	"Хүснэгт дэх сонголтууд дээр дарж, асуултад хариулна уу."	"R549_question08_q08itemDirections_5c9d219f5152d7.03553824_1_0"	"PISA_mon-MNG_REA_R549-MessageInABottle_en21_MS2022.xlf"
"3692"	"Type your answer to the question.&lt;/i&gt;"	"асуултад хариулж бичээрэй.&lt;/i&gt;"	"R558_question4_itemDirections_5c9d2259d9d989.95651222_1_0"	"PISA_mon-MNG_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"5247"	"Click on the NEXT arrow to read the webpage."	"Цахим хуудсыг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q0a-body_q0a-p2_5c9d225b9c1346.99722333_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5250"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q0b-body_q0b-itemDirections_5c9d225b9d8809.57535043_0_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"3248"	"Click on a choice and then type an explanation to answer the question."	"Сонголт дээр дарж, дараа нь асуултад хариулахдаа тайлбар бичнэ үү."	"R552_question08_q08itemDirections_5c9d219fb6bba9.54470094_1_0"	"PISA_mon-MNG_REA_R552-FestiRock_en21_MS2022.xlf"
"3721"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу.&lt;/i&gt;"	"R558_question8_itemDirections_5c9d2259dff4b4.26787399_1_0"	"PISA_mon-MNG_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"2331"	"&lt;i&gt;Refer to “A Spark of Genius” on the right."	"&lt;i&gt;Баруун талд байгаа &quot;Очлон гэрэлтэх суутан&quot; нийтлэлийг уншина уу."	"R544_question6_itemDirections_5c9d219eb685e2.41999055_0_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"2279"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа хоёр өгүүлэл тус бүрийн гарчиг дээр дарж уншина уу."	"R544_question12_itemDirections_5c9d219eaecf11.08950368_0_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
