"Segment"	"en-ZZ"	"ru-KZ"	"ID"	"File"
"3288"	"Use drag and drop to answer the question."	"Чтобы ответить на вопрос, перетащите буквы с помощью мыши."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_rus-KAZ_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4580"	"D"	"Д"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_rus-KAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"Затем кликните мышью по кнопке «ДАЛЕЕ»."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_rus-KAZ_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"5019"	"Mean"	"Среднее значение"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_rus-KAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_rus-KAZ_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"4590"	"D"	"Д"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Используя клавиши для ввода цифр, напечатайте Ваш ответ на вопрос."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_rus-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"Затем кликните мышью по кнопке «ДАЛЕЕ»."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_rus-KAZ_MAT_MA114-Honey_en21_MS2022.xlf"
"4597"	"D"	"Д"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"Д"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4161"	"C"	"°С"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_rus-KAZ_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_rus-KAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Помните, что можно выбрать &lt;b&gt; один или более&lt;/b&gt; вариантов ответа."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_rus-KAZ_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Выберите Ваш ответ на вопрос из выпадающих меню."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_rus-KAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_rus-KAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"Затем кликните мышью по кнопке «ДАЛЕЕ»."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_rus-KAZ_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4850"	"Mean"	"Среднее значение"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_rus-KAZ_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"5147"	"Select from the drop-down menus to answer the question."	"Выберите Ваш ответ на вопрос из выпадающих меню."	"q3MA160_question_q3itemDirections_5c9d2137a54ef3.72087436_2_0"	"PISA_rus-KAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"Затем кликните мышью по кнопке «ДАЛЕЕ»."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_rus-KAZ_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Всего &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_rus-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_rus-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Чтобы использовать калькулятор, выполните следующие действия:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_rus-KAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Чтобы ответить на вопрос, перетащите планеты с помощью мыши."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_rus-KAZ_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Кликните мышью по одному из слов &lt;b&gt;«Верное»&lt;/b&gt; или &lt;b&gt;«Неверное»&lt;/b&gt; около каждого утверждения."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_rus-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Чтобы использовать калькулятор, выполните следующие действия:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_rus-KAZ_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Чтобы ответить на вопрос, перетащите транспортное средство с помощью мыши."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_rus-KAZ_MAT_MA157-Tyres_en21_MS2022.xlf"
"3981"	"Litres"	"Литров"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_rus-KAZ_MAT_MA146-Fuel_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_rus-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"Затем кликните мышью по кнопке «ДАЛЕЕ»."	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_rus-KAZ_MAT_MA126-Robot_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Чтобы ответить на вопрос, перетащите вероятности с помощью мыши."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_rus-KAZ_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"Затем кликните мышью по кнопке «ДАЛЕЕ»."	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_rus-KAZ_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3174"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Всего &lt;/b&gt;"	"MA134_stimulus3_stimulus03_57_5c9d21642f4bf9.88936552_0"	"PISA_rus-KAZ_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_rus-KAZ_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4380"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"q1MA151_question_q1itemDirections_5c9d2165424791.67979223_1_0"	"PISA_rus-KAZ_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Помните, что можно выбрать &lt;b&gt;один или более&lt;/b&gt; вариантов ответа."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_rus-KAZ_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Выберите два ответа и кликните по ним мышью."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_rus-KAZ_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4591"	"A"	"З"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Выберите Ваш ответ на вопрос из выпадающих меню."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_rus-KAZ_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4578"	"A"	"З"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4159"	"C"	"°С"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_rus-KAZ_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4581"	"A"	"З"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Выберите ответы в таблице и кликните по ним мышью."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_rus-KAZ_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_rus-KAZ_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Кликните мышью по одному из слов &lt;b&gt;«Верное»&lt;/b&gt; или &lt;b&gt;«Неверное»&lt;/b&gt; около каждого из следующих утверждений в таблице ниже."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_rus-KAZ_MAT_MA113-HeartRate_en21_MS2022.xlf"
"5278"	"Mean"	"Среднее значение"	"MA162_stimulus_mean_5c9d2137cb4195.00622914_0"	"PISA_rus-KAZ_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"5075"	"Statement"	"Вопрос"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_rus-KAZ_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4598"	"A"	"З"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_rus-KAZ_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
