"Segment"	"en-ZZ"	"sv-SE"	"ID"	"File"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"Markera &lt;b&gt;Sant&lt;/b&gt; eller &lt;b&gt;Falskt&lt;/b&gt; för vart och ett av påståendena nedan:&lt;br /&gt;"	"Q1M420_question_Q1itemStem_50c7798cd5a430.83825455_0"	"PISA_swe-SWE_MAT_M420-Transport_en15_MS2022.xlf"
"1373"	"India"	"Kina"	"M955_stimulus_tr7td1_50c7912b9b35a9.44113102_0"	"PISA_swe-SWE_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Använd siffertangenterna för att skriva in ditt svar på frågan.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a586ebb848.98221205_0"	"PISA_swe-SWE_MAT_M464-Fence_en15_MS2022.xlf"
"63"	"&lt;b&gt;Population Pyramids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;BEFOLKNINGSPYRAMIDER&lt;/b&gt;&lt;br /&gt; FRÅGA"	"Q2M155_question_Q2itemTitle_50c7a26053a703.50127703_0"	"PISA_swe-SWE_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"887"	"110 zeds"	"110 zed"	"M909_stimulus_t1tr5td2_50c79dc5aa0630.24336280_0"	"PISA_swe-SWE_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1242"	"∠"	"Vinklarna &amp;ang;"	"M949_stimulus_stimulus_2_50c7a9d9f22fd4.45248591_0"	"PISA_swe-SWE_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"629"	"&lt;b&gt;Number Check&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Nummerkontroll&lt;/b&gt;&lt;br /&gt; Fråga"	"Q2M603_question_Q2itemTitle_50c786b2d654b6.18159141_0"	"PISA_swe-SWE_MAT_M603-NumberCheck_en15_MS2022.xlf"
"1367"	"China"	"Kanada"	"M955_stimulus_tr5td1_50c7912b9b2093.90713674_0"	"PISA_swe-SWE_MAT_M955-Migration_en15_MS2022.xlf"
"1364"	"Canada"	"Indien"	"M955_stimulus_tr4td1_50c7912b9b1678.15749626_0"	"PISA_swe-SWE_MAT_M955-Migration_en15_MS2022.xlf"
"861"	"330 zeds"	"330 zed"	"Q2M909_question_question2_4_50c79dc5a6dbe8.70722134_0"	"PISA_swe-SWE_MAT_M909-SpeedingFines_en15_MS2022.xlf"
