"Segment"	"en-ZZ"	"nl-NL"	"ID"	"File"
"1312"	"True"	"Waar"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_nld-NLD_REA_R541-Plastic_en18_MS2022.xlf"
"4529"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question03_q03itemDirections_56fc786b410592.73244337_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4515"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4603"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4508"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5024"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓ &lt;i&gt;Vergeet niet &lt;b&gt;één of meer&lt;/b&gt; vakjes aan te klikken.&lt;/i&gt;"	"R566_question01_q01p2_56fc786b7f01a9.64276582_0"	"PISA_nld-NLD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Beantwoord de vraag door een van de opties aan te klikken en typ een toelichting."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_nld-NLD_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5780"	"Location"	"Locatie"	"q2R569_question_q02r1c2_56fc78794f4067.23543123_0"	"PISA_nld-NLD_REA_R569-TheCleanup_en18_MS2022.xlf"
"4631"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5267"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik op &lt;b&gt;Goed&lt;/b&gt; of &lt;b&gt;Fout&lt;/b&gt; voor elke bewering."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_nld-NLD_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"574"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"Op 14 december 1911 bereikten Amundsen en zijn metgezellen de legendarische 9 breedtegraad. Op 25 januari 1912 was het zegevierende team terug in Framheim; de heen- en terugreis hadden ze in 97 dagen volbracht."	"R220_stimulus_p4_50c7c034690f05.59857905_0"	"PISA_nld-NLD_REA_R220-SouthPole_en15_MS2022.xlf"
"1561"	"Wednesday"	"Woensdag"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_nld-NLD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"530"	"Sep"	"sep"	"R220_stimulus_sept_50c7c034650f58.01177579_0"	"PISA_nld-NLD_REA_R220-SouthPole_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Typ je antwoord op de vraag."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2102"	"True"	"Waar"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_nld-NLD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1560"	"Tuesday"	"Dinsdag"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_nld-NLD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5123"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓ &lt;i&gt;Vergeet niet &lt;b&gt;één of meer&lt;/b&gt; vakjes aan te klikken.&lt;/i&gt;"	"R566_question08_q08p2_56fc786b8e20a7.54435316_0"	"PISA_nld-NLD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Raadpleeg de verschillende webpagina's van de website aan de rechterkant."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_nld-NLD_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1313"	"False"	"Niet waar"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_nld-NLD_REA_R541-Plastic_en18_MS2022.xlf"
"5106"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"✓ &lt;i&gt;Vergeet niet &lt;b&gt;één of meer&lt;/b&gt; vakjes aan te klikken.&lt;/i&gt;"	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_nld-NLD_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Beantwoord de vraag door een van de opties aan te klikken en typ vervolgens je toelichting."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_nld-NLD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4855"	"Give one example."	"Geef een voorbeeld."	"R565_question4_q04p2_56fc785d5dbe67.20096851_0"	"PISA_nld-NLD_REA_R565-SittingDisease_en18_MS2022.xlf"
"2103"	"False"	"Niet waar"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_nld-NLD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5942"	"Click on the NEXT arrow to read the story."	"Klik op de pijl VOLGENDE om het verhaaltje te lezen."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_nld-NLD_REA_R570-TheFavour_en18_MS2022.xlf"
"1559"	"Monday"	"Maandag"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_nld-NLD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Bij aankopen tussen EUR 60 en EUR 149,99 betaalt Werk Goed u EUR &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; terug.&lt;br /&gt; &gt; Bij aankopen tussen EUR 150 en EUR 299,99 betaalt Werk Goed u EUR 50 terug.&lt;br /&gt; &gt; Bij aankopen van EUR 300 of meer betaalt Werk Goed u EUR 100 terug.&lt;br /&gt;"	"R466_stimulus_line5_50c7c930681f33.08727946_0"	"PISA_nld-NLD_REA_R466-WorkRight_en15_MS2022.xlf"
"4167"	"True"	"Waar"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_nld-NLD_REA_R561-OlympicFlag_en18_MS2022.xlf"
"599"	"Sep"	"sep"	"R220_stimulus_sept_50c7c0346c0040.92740854_0"	"PISA_nld-NLD_REA_R220-SouthPole_en15_MS2022.xlf"
"1322"	"0"	"0ru"	"Q07_question_attr_value_attr_R541Q07RADIO_4_1_56fc7820d4cfd4.76961760_0"	"PISA_nld-NLD_REA_R541-Plastic_en18_MS2022.xlf"
"321"	"PHONE"	"TEL."	"R219_stimulus_sect4Line2span3_50c7b761892407.84483990_0"	"PISA_nld-NLD_REA_R219-Employment_en15_MS2022.xlf"
