"Segment"	"en-ZZ"	"ar-MA"	"ID"	"File"
"2230"	"Supprimer une ligne de données pour exécuter une nouvelle simulation."	"احذف سطرا من المعطيات لتنفيذ محاكاة جديدة."	"js_translation_deleteMsg_51940bdd960496.54778025_0"	"PISA_ara-MAR_SCI_S635-SaveTheFish_fr15_MS2022.xlf"
"2090"	"Le bouton « Exécuter » pour afficher les résultats."	"زر &quot;التنفيذ&quot; لعرض النتائج."	"menu_1_aMenuLi2_5193fe2e052d66.30401215_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2113"	"vaccination"	"التلقيح"	"question000_1_attr_alt_attr_question000_7_5193fe2e08e4b1.43061159_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"481"	"&lt;b&gt;BACTERIA IN MILK&lt;/b&gt;"	"&lt;b&gt;البكتيريا في الحليب&lt;/b&gt;"	"S428_stimulus2_title2_5134b473df0843.82988139_0"	"PISA_ara-MAR_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"230"	"Melting point"	"نقطة الذّوبان"	"S413_question3_q3t1tr2td1_5134b4720db1f6.68676726_0"	"PISA_ara-MAR_SCI_S413-PlasticAge_en15_MS2022.xlf"
"88"	"Proteins"	"بروتينات"	"S326_stimulus2_t3tr2td2_5134b470af6f79.99563389_0"	"PISA_ara-MAR_SCI_S326-Milk_en15_MS2022.xlf"
"2467"	"S638 Oil Spills Introduction"	"S638 البقع النفطية المقدمة"	"S638_question1_unknownID_5180500f514a40.23207477_0"	"PISA_ara-MAR_SCI_S638-OilSpills_fr15_MS2022.xlf"
"2681"	"Pour continuer, cliquez sur la flèche « SUIVANT »."	"للمواصلة، انقر على السهم &quot; الموالي&quot;"	"sim_1_automationMsg2_51940c2ae79cd2.90743536_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2606"	"&lt;i&gt;Exécutez la simulation pour recueillir des données en vous basant sur les informations fournies ci-dessous. Pour répondre à la question, cliquez sur une ou plusieurs cases.&lt;/i&gt;"	"&lt;i&gt;نفذ المحاكاة لجمع المعطيات بالإعتماد على البيانات المتوفرة أسفله. للإجابة على السؤال، ضع علامة في خانة واحدة أو أكثر.&lt;/i&gt;"	"question4_1_itemDirections04_51940c2adcb322.49737777_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2203"	"&lt;b&gt;Vaccination et propagation des maladies&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التلقيح وانتشار الأمراض&lt;/b&gt;&lt;br /&gt;السؤال"	"CS634_Q05_itemTitle05_5193fe2e13ec22.77882459_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2582"	"Pour voir comment fonctionnent les différentes commandes utilisées dans cette simulation, suivez ces étapes :"	"لمعرفة كيفية اشتغال مختلف الملامس المستعملة في هذه المحاكاة، اتبع هذه المراحل :"	"question2_1_Q02P2_51940c2ad85c03.54737536_0"	"PISA_ara-MAR_SCI_S643-LightBulbs_fr15_MS2022.xlf"
"2227"	"Pour continuer, cliquez sur la flèche « SUIVANT »."	"للمواصلة، انقر على السهم &quot;الموالى&quot;."	"stimulus_1_automationMsg2_5193fe2e1866d1.98410517_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"2225"	"Très bien !&lt;br /&gt; Pour continuer, cliquez sur la flèche « SUIVANT »."	"حسن جدا!&lt;br /&gt; للمواصلة، انقر على السهم &quot;الموالي&quot;."	"stimulus_1_dialogMsgText2_5193fe2e185fa6.01339411_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
"1596"	"&lt;b&gt;Comprendre les tsunamis&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;فهم تسونامي&lt;/b&gt;&lt;br /&gt; المقدمة"	"question6_1_itemTitle06_5193d4743919a7.94625425_0"	"PISA_ara-MAR_SCI_S615-Tsunami_fr15_MS2022.xlf"
"2737"	"&lt;i&gt;Référez-vous aux informations fournies sous « Le dioxyde de carbone dans l’atmosphère terrestre » à droite. Tapez votre réponse à la question.&lt;/i&gt;"	"&lt;i&gt;اعتمد على المعلومات الموجودة على اليسار تحت عنوان &quot;ثنائي أوكسيد الكربون في الغلاف الجوي للأرض. ارقن إجابتك على السؤال.&lt;/i&gt;"	"S645_question5_itemDirections5_51805053d977f6.84515713_0"	"PISA_ara-MAR_SCI_S645-CarbonDioxideInEarthsAtmosphere_fr15_MS2022.xlf"
"2140"	"&lt;b&gt;Vaccination et propagation des maladies&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التلقيح وانتشار الأمراض&lt;/b&gt;&lt;br /&gt;السؤال"	"question2_1_itemTitle02_5193fe2e0d5750.28352965_0"	"PISA_ara-MAR_SCI_S634-Vaccination_fr15_MS2022.xlf"
