"Segment"	"en-ZZ"	"mk-MK"	"ID"	"File"
"1022"	"&lt;b&gt;Speeding Fines&lt;/b&gt;"	"&lt;b&gt;Парични Казни За Брзо Возење&lt;/b&gt;"	"Q2M909_question_Q2itemTitle_5c3f628aa993c0.96773506_0_0"	"PISA_mkd-MKD_MAT_M909-SpeedingFines_en21_MS2022.xlf"
"1663"	"China"	"Индија"	"M955_stimulus_tr5td1_5c3f628fedc036.26817205_0"	"PISA_mkd-MKD_MAT_M955-Migration_en21_MS2022.xlf"
"1134"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Користејќи ги копчињата со броеви, напишете го вашиот одговор на прашањето.&lt;/i&gt;&lt;/i&gt;"	"Q1M919_question_Q1itemDirections_5c9d1f9b3bca33.09462625_1_0"	"PISA_mkd-MKD_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1092"	"&lt;b&gt;Carbon Tax&lt;/b&gt;"	"&lt;b&gt;Такса За Испуштање На Јаглерод&lt;/b&gt;"	"Q2M915_question_Q2itemTitle_5c3f628b5dd854.24749378_0_0"	"PISA_mkd-MKD_MAT_M915-CarbonTax_en21_MS2022.xlf"
"1268"	"Click on a choice to answer the question.&lt;/i&gt;"	"Кликните на едно од крукчињата за да одговорите на прашањето.&lt;/i&gt;"	"Q1M943_question_Q1itemDirections_5c9d1f9b437c37.29675377_1_0"	"PISA_mkd-MKD_MAT_M943-Arches_en21_MS2022.xlf"
"1669"	"India"	"Кенија"	"M955_stimulus_tr7td1_5c3f628fedc920.81882214_0"	"PISA_mkd-MKD_MAT_M955-Migration_en21_MS2022.xlf"
"1660"	"Canada"	"Германија"	"M955_stimulus_tr4td1_5c3f628fedbbc2.32184687_0"	"PISA_mkd-MKD_MAT_M955-Migration_en21_MS2022.xlf"
"971"	"&lt;b&gt;Crazy ants&lt;/b&gt;"	"&lt;b&gt;Луди Мравки&lt;/b&gt;"	"Q2M906_question_Q2itemTitle_5c3f628a307383.01435672_0_0"	"PISA_mkd-MKD_MAT_M906-CrazyAnts_en21_MS2022.xlf"
"1149"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Користејќи ги копчињата со броеви, напишете го вашиот одговор на прашањето.&lt;/i&gt;&lt;/i&gt;"	"Q2M919_question_Q2itemDirections_5c9d1f9b3cd8d8.41358841_1_0"	"PISA_mkd-MKD_MAT_M919-FanMerchandise_en21_MS2022.xlf"
"1596"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Користејќи ги копчињата со броеви, напишете го вашиот одговор на прашањето.&lt;/i&gt;&lt;/i&gt;"	"Q1M954_question_Q1itemDirections_5c9d1f9b543d94.65836078_1_0"	"PISA_mkd-MKD_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1292"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Користејќи ги копчињата со броеви, напишете го вашиот одговор на прашањето.&lt;/i&gt;&lt;/i&gt;"	"Q2M943_question_Q2itemDirections_5c9d1f9b446cc9.41811578_1_0"	"PISA_mkd-MKD_MAT_M943-Arches_en21_MS2022.xlf"
"1034"	"&lt;b&gt;Speeding Fines&lt;/b&gt;"	"&lt;b&gt;Парични Казни За Брзо Возење&lt;/b&gt;"	"Q3M909_question_Q3itemTitle_5c3f628aaafdb2.16837733_0_0"	"PISA_mkd-MKD_MAT_M909-SpeedingFines_en21_MS2022.xlf"
"1625"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Користејќи ги копчињата со броеви, напишете го вашиот одговор на прашањето.&lt;/i&gt;&lt;/i&gt;"	"Q3M954_question_Q3itemDirections_5c9d1f9b569b47.27315905_1_0"	"PISA_mkd-MKD_MAT_M954-MedicineDoses_en21_MS2022.xlf"
"1519"	"Using the number keys, type your answer to the question.&lt;/i&gt;"	"Користејќи ги копчињата со броеви, напишете го вашиот одговор на прашањето.&lt;/i&gt;&lt;/i&gt;"	"Q2M953_question_Q2itemDirections_5c9d1f9b4b39e4.91098988_1_0"	"PISA_mkd-MKD_MAT_M953-FluTest_en21_MS2022.xlf"
"1550"	"Show how you found your answer."	"Покажете како дојдовте до вашиот одговор."	"Q3M953_question_Q3itemStem_5c9d1f9b4c2462.45792062_3_0"	"PISA_mkd-MKD_MAT_M953-FluTest_en21_MS2022.xlf"
