"Segment"	"en-ZZ"	"de-CH"	"ID"	"File"
"197"	"select"	"wähle"	"Q1M273_question_s1o0_50c7896c03bfb5.99636669_0"	"PISA_deu-CHE_MAT_M273-Pipelines_en15_MS2022.xlf"
"1378"	"China"	"Deutschland"	"M955_stimulus_tr5td1_50c790aa997765.76407126_0"	"PISA_deu-CHE_MAT_M955-Migration_en15_MS2022.xlf"
"70"	"&lt;i&gt;Refer to &quot;Population Pyramids&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Beziehe dich auf  „Bevölkerungspyramiden“ auf der rechten Seite. Gib deine Antwort auf die Frage ein.&lt;/i&gt;"	"Q3M155_question_Q3itemDirections_50c7a1eb118793.41967915_0"	"PISA_deu-CHE_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"1485"	"M982 Employment Data Q3"	"M982 Employment Data Q4"	"Q4M982_question_unknownID_50c792da543285.23314786_0"	"PISA_deu-CHE_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1218"	"∠"	"∢"	"Q2M949_question_question2_8_50c7a9666f41b3.64405305_0"	"PISA_deu-CHE_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"956"	"&lt;b&gt;Fan Merchandise&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;FANARTIKEL&lt;/b&gt;&lt;br /&gt; Frage"	"Q2M919_question_Q2itemTitle_50c78c992fa549.16489690_0"	"PISA_deu-CHE_MAT_M919-FanMerchandise_en15_MS2022.xlf"
"214"	"select"	"wähle"	"Q1M273_question_s4o0_50c7896c03f941.86897755_0"	"PISA_deu-CHE_MAT_M273-Pipelines_en15_MS2022.xlf"
"1384"	"India"	"Kanada"	"M955_stimulus_tr7td1_50c790aa998bf0.98086490_0"	"PISA_deu-CHE_MAT_M955-Migration_en15_MS2022.xlf"
"1375"	"Canada"	"China"	"M955_stimulus_tr4td1_50c790aa996d64.88388256_0"	"PISA_deu-CHE_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Verwende die Ziffern auf der Tastatur, um deine Antwort auf die Frage einzugeben.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a50db61084.34229748_0"	"PISA_deu-CHE_MAT_M464-Fence_en15_MS2022.xlf"
"209"	"select"	"wähle"	"Q1M273_question_s3o0_50c7896c03e6f4.50478629_0"	"PISA_deu-CHE_MAT_M273-Pipelines_en15_MS2022.xlf"
"1287"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Gib deinen Lösungsweg an.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_50c77e146a8526.63115513_0"	"PISA_deu-CHE_MAT_M953-FluTest_en15_MS2022.xlf"
"204"	"select"	"wähle"	"Q1M273_question_s2o0_50c7896c03d404.54286814_0"	"PISA_deu-CHE_MAT_M273-Pipelines_en15_MS2022.xlf"
