"Segment"	"en-ZZ"	"sr-ME"	"ID"	"File"
"417"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje klikom na opcije ponuđene u donjoj tabeli."	"M105_question4_itemDirections4_5c9d213673ce56.29743651_2_0"	"PISA_mne-MNE_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_mne-MNE_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim obrazloži svoj izbor."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_mne-MNE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4850"	"Mean"	"Srednja vrijednost"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_mne-MNE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klikni na &lt;b&gt;Tačno&lt;/b&gt; ili &lt;b&gt;Netačno&lt;/b&gt; za svaku od tvrdnji u donjoj tabeli."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_mne-MNE_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Otkucaj odgovore koristeći numeričku tastaturu."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_mne-MNE_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"5133"	"Use the spreadsheet to help you answer the question below."	"Koristi tabelu kao pomoć da odgovoriš na pitanje dolje."	"q2MA161_question_q2itemDirections_5c9d2137a35226.15708627_1_0"	"PISA_mne-MNE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje klikom na jedan od ponuđenih odgovora, a zatim obrazloži svoj izbor."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_mne-MNE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klikni na &lt;b&gt;Da&lt;/b&gt; ili &lt;b&gt;Ne&lt;/b&gt; za svaku tvrdnju."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_mne-MNE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Odgovori na pitanje birajući odgovor iz padajućih menija."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_mne-MNE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
