"Segment"	"en-ZZ"	"ro-RO"	"ID"	"File"
"1948"	"Tuesday"	"Marți"	"Q09R542_question_Q09r3c1_5c9d219e5fafa2.87807513_0"	"PISA_ron-ROU_REA_R542-BulletinBoard_en21_MS2022.xlf"
"4010"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R561_question03_q03itemDirections_5c9d225a55d7e2.08697913_1_0"	"PISA_ron-ROU_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4939"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele din tabel pentru a răspunde la întrebare."	"R567_question09_q09itemDirections_5c9d225b667296.26876893_1_0"	"PISA_ron-ROU_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2758"	"Click on the choices in the table to answer the question."	"Dă clic pe variantele de răspuns din tabel pentru a răspunde la întrebare."	"R549_question09_q09itemDirections_5c9d219f52dd35.44656995_1_0"	"PISA_ron-ROU_REA_R549-MessageInABottle_en21_MS2022.xlf"
"3599"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Citește informația de mai jos."	"question00b_1_itemDirections00_5c9d2259d0a923.54695152_0_0"	"PISA_ron-ROU_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4374"	"Refer to the different webpages of the website on the right."	"Raportează-te la diferitele pagini de internet din dreapta."	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_0_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5314"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"q1R569_question_q01itemDirections_5c9d225bbe7a46.56649318_1_0"	"PISA_ron-ROU_REA_R569-TheCleanup_en21_MS2022.xlf"
"2044"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Pentru a răspunde, dă clic pe una dintre variante și apoi redactează o explicație.&lt;/i&gt;"	"R543_question11_itemDirections_5c9d219e7bf886.70940930_1_0"	"PISA_ron-ROU_REA_R543-Nobel_en21_MS2022.xlf"
"4339"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R563_question02_q02itemDirections_5c9d225aa9b1d6.23322413_1_0"	"PISA_ron-ROU_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"2557"	"Type your answer to the questions.&lt;/i&gt;"	"Redactează răspunsul la întrebări.&lt;/i&gt;"	"R547_question9_itemDirections_5c9d219f211822.28206430_1_0"	"PISA_ron-ROU_REA_R547-BookSurvey_en21_MS2022.xlf"
"4045"	"Click on a choice and then type an explanation to answer the question."	"Dă clic pe o variantă și apoi redactează o explicație pentru a răspunde la întrebare."	"R561_question07_q07itemDirections_5c9d225a5fcd11.45735862_1_0"	"PISA_ron-ROU_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4766"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R566_question04_q04itemDirections_5c9d225b2cb4d1.11527511_1_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5190"	"Refer to both sources on the right by clicking on each of the tabs."	"Raportează-te la cele două surse din dreapta dând clic pe fiecare filă."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_0_0"	"PISA_ron-ROU_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2510"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R547_question01_itemDirections_5c9d219f193cb0.19049584_1_0"	"PISA_ron-ROU_REA_R547-BookSurvey_en21_MS2022.xlf"
"4598"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele de răspuns&lt;/i&gt;"	"R565_question_itemDirections_5c9d225b006c81.28991002_1_0"	"PISA_ron-ROU_REA_R565-SittingDisease_en21_MS2022.xlf"
"2251"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R544_question5_itemDirections_5c9d219eb518f0.13045807_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"5614"	"YES"	"DA"	"U590_stimulus2_AnswerYes_5c9d225c14cc00.12481107_0"	"PISA_ron-ROU_REA_R590-Sentences01_en21_MS2022.xlf"
"2223"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele din tabel."	"R544_question13_itemDirections_5c9d219eb05504.42221208_1_0"	"PISA_ron-ROU_REA_R544-Tesla_en21_MS2022.xlf"
"4628"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele de răspuns&lt;/i&gt;"	"R565_question8_itemDirections_5c9d225b080195.44434060_1_0"	"PISA_ron-ROU_REA_R565-SittingDisease_en21_MS2022.xlf"
"4780"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R566_question05_q05itemDirections_5c9d225b2e4c18.97287601_1_0"	"PISA_ron-ROU_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5156"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R568_question06_q06itemDirections_5c9d225b95c7c2.45173392_1_0"	"PISA_ron-ROU_REA_R568-SpaceDebris_en21_MS2022.xlf"
"4437"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R564_question01_q01itemDirections_5c9d225ad74907.41710504_1_0"	"PISA_ron-ROU_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"4471"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R564_question04_q04itemDirections_5c9d225adaca53.72529344_1_0"	"PISA_ron-ROU_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"3749"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R559_question05_q05itemDirections_5c9d225a0e2ce7.46367068_1_0"	"PISA_ron-ROU_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"3511"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variantele din tabel."	"R556_question10_itemDirections_5c9d21a02dd603.46615228_1_0"	"PISA_ron-ROU_REA_R556-Microlending_en21_MS2022.xlf"
"3727"	"Click on a choice to answer the question."	"Dă clic pe o variantă pentru a răspunde la întrebare."	"R559_question02_q02itemDirections_5c9d225a0a89e5.45985887_1_0"	"PISA_ron-ROU_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"2499"	"Click on a choice to answer the question.&lt;/i&gt;"	"Pentru a răspunde la întrebare, dă clic pe una dintre variante.&lt;/i&gt;"	"R547_question2_itemDirections_5c9d219f17c6f8.51935753_1_0"	"PISA_ron-ROU_REA_R547-BookSurvey_en21_MS2022.xlf"
