"Segment"	"en-ZZ"	"sq-MK"	"ID"	"File"
"2092"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R543_question2_itemDirections_56fc7821351641.10631472_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"3497"	"Question"	"Pyetje"	"R553_question5_q05itemTitle_56fc784a613eb5.79028688_1_0"	"PISA_sqi-MKD_REA_R553-HealthForum_en18_MS2022.xlf"
"2132"	"Question"	"Pyetje"	"R543_question6_itemTitle_56fc78213bc834.89879085_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"2120"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R543_question5_itemDirections_56fc782139b537.51630220_1_0"	"PISA_sqi-MKD_REA_R543-Nobel_en18_MS2022.xlf"
"1879"	"Question"	"Pyetje"	"Q01R542_question_Q01itemTitle_56fc7821069ed6.41094343_1_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1985"	"Monday"	"E hënë"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_sqi-MKD_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4366"	"Question"	"Pyetje"	"R562_question02_q02itemTitle_56fc783b419537.95191742_1_0"	"PISA_sqi-MKD_REA_R562-OpeningNight_en18_MS2022.xlf"
"3661"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R556_question5_itemDirections_56fc783ac89735.55151724_1_0"	"PISA_sqi-MKD_REA_R556-Microlending_en18_MS2022.xlf"
"1431"	"."	"denarë."	"R466_stimulus_line5_5c3f627f2b4221.31825729_0_0"	"PISA_sqi-MKD_REA_R466-WorkRight_en21_MS2022.xlf"
"2477"	"Question"	"Pyetje"	"R545_question02_Q07itemTitle_56fc7821b1a680.87585418_1_0"	"PISA_sqi-MKD_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4830"	"Click on a choice to answer the question.&lt;/i&gt;"	"Kliko një alternativë për t’ju përgjigjur pyetjes.&lt;/i&gt;"	"R565_question01_itemDirections_56fc785d59a4c9.01449593_1_0"	"PISA_sqi-MKD_REA_R565-SittingDisease_en18_MS2022.xlf"
"3837"	"Question"	"Pyetje"	"R558_question5_itemTitle_56fc786b0dcae2.35551971_1_0"	"PISA_sqi-MKD_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
