"Segment"	"en-ZZ"	"ms-MY"	"ID"	"File"
"5265"	"Click on the choices in the table to answer the question."	"Klik pada pilihan jawapan dalam jadual untuk menjawab soalan."	"R567_question05_q05itemDirections_56fc787910ed76.86602726_1_0"	"PISA_msa-MYS_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6171"	"Click &lt;b&gt;YES&lt;/b&gt; if the sentence makes sense."	"Klik &lt;b&gt;YA&lt;/b&gt; sekiranya ayat munasabah."	"q3R590_question_q3p1_56fd23111960a4.54446684_1_0"	"PISA_msa-MYS_REA_R590-Sentences01_en18_MS2022.xlf"
"1545"	"Tutors for All"	"Kelas Tuisyen untuk Semua"	"Q08R542_question_question8_6_56fc7821105e50.84474711_0"	"PISA_msa-MYS_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4941"	"Newspaper Article"	"Artikel Surat Khabar"	"R566_Stimulus03_stimulus3_4_56fc786b74cf78.80226002_0"	"PISA_msa-MYS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2332"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan.&lt;/i&gt;"	"R547_question7_itemDirections_56fc782e0f7dd6.16533398_1_0"	"PISA_msa-MYS_REA_R547-BookSurvey_en18_MS2022.xlf"
"5637"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_msa-MYS_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4536"	"Click on a choice to answer the question."	"Klik pada satu pilihan untuk menjawab soalan."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_1_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2924"	"&lt;b&gt;Subject:&lt;/b&gt; RE: Volunteer – FestiRock"	"&lt;b&gt;Subjek:&lt;/b&gt; RE: Sukarelawan &amp;ndash; FestiRock"	"pg1_stimulus_pg1-li2-3_56fd7942571067.52470480_0"	"PISA_msa-MYS_REA_R552-FestiRock_en18_MS2022.xlf"
"2103"	"False"	"Salah"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_msa-MYS_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Nenek moyang Puebloans"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_msa-MYS_REA_R550-CliffPalace_en18_MS2022.xlf"
"4314"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"R562_question04_q04itemDirections_56fc783b43b603.36272366_1_0"	"PISA_msa-MYS_REA_R562-OpeningNight_en18_MS2022.xlf"
"1493"	"Type your answer to the question."	"Taipkan jawapan anda untuk soalan yang diberi."	"Q04R542_question_Q04itemDirections_56fc78210a7121.90579681_1_0"	"PISA_msa-MYS_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1955"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Klik pada pilihan jawapan di dalam jadual untuk menjawab soalan.&lt;/i&gt;"	"R544_question4_itemDirections_56fc78217afe38.91956313_1_0"	"PISA_msa-MYS_REA_R544-Tesla_en18_MS2022.xlf"
"3660"	"Click on a choice to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan untuk menjawab soalan.&lt;/i&gt;"	"R558_question_itemDirections_56fc786b0b1541.82805878_1_0"	"PISA_msa-MYS_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"313"	"PHONE"	"NO. TEL."	"R219_stimulus_sect3Line2span3_50d36d95692622.48502672_0"	"PISA_msa-MYS_REA_R219-Employment_en15_MS2022.xlf"
"4377"	"About Us"	"Tentang Kami"	"R563-stimulus-culture_stimulus_culture_5_56fc786b3355c9.89235823_0"	"PISA_msa-MYS_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4943"	"Newspaper Article"	"Artikel Surat Khabar"	"R566_Stimulus04_stimulus4_4_56fc786b760df6.67373249_0"	"PISA_msa-MYS_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Klik pada satu pilihan jawapan, kemudian taipkan satu penjelasan untuk menjawab soalan.&lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_msa-MYS_REA_R544-Tesla_en18_MS2022.xlf"
