"Segment"	"en-ZZ"	"da-DK"	"ID"	"File"
"1446"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA117_question05_Q05itemDirections_5c9d214ab30ed9.20769936_1_0"	"PISA_dan-DNK_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"Klik dernæst på NÆSTE-pilen"	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_dan-DNK_MAT_MA126-Robot_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_dan-DNK_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_dan-DNK_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"Brug træk og slip for at besvare spørgsmålet."	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_dan-DNK_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"5019"	"Mean"	"Middelværdi"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_dan-DNK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1251"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA115_question02_q02itemDirections_5c9d214a9187a5.96523157_1_0"	"PISA_dan-DNK_MAT_MA115-Iceberg_en21_MS2022.xlf"
"2990"	"Using the number keys, type your answers to the question."	"Skriv dit svar på spørgsmålet ved hjælp af taltasterne."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_dan-DNK_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_dan-DNK_MAT_MA146-Fuel_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_dan-DNK_MAT_MA151-MovingOut_en21_MS2022.xlf"
"1183"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"MA114_question1_itemDirections1_5c9d214a82a650.54712226_1_0"	"PISA_dan-DNK_MAT_MA114-Honey_en21_MS2022.xlf"
"4086"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"MA147q1_question_q1itemDirections_5c9d2165076508.53769328_1_0"	"PISA_dan-DNK_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Skriv dit svar på spørgsmålet med brug af taltasterne."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_dan-DNK_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q2MA157_question_q2itemDirections_5c9d216572eb83.90804733_1_0"	"PISA_dan-DNK_MAT_MA157-Tyres_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Klik på en svarmulighed og skriv dernæst en forklaring for at besvare spørgsmålet."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_dan-DNK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"Klik dernæst på NÆSTE-pilen"	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_dan-DNK_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_dan-DNK_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"Klik på en af svarmulighederne for at besvare spørgsmålet."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_dan-DNK_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klik på enten &lt;b&gt;Sandt&lt;/b&gt; eller &lt;b&gt;Falsk&lt;/b&gt; for hvert af udsagnene i nedenstående tabel."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_dan-DNK_MAT_MA113-HeartRate_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"Klik dernæst på NÆSTE-pilen"	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_dan-DNK_MAT_MA114-Honey_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"Klik på en svarmulighed for at besvare spørgsmålet."	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_dan-DNK_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
