"Segment"	"en-ZZ"	"et-EE"	"ID"	"File"
"1326"	"&lt;b&gt;MEDICINE DOSES&lt;/b&gt;"	"&lt;b&gt; RAVIMIANNUSED&lt;/b&gt;"	"M954_stimulus2_s2_title_50c78b6419b812.25735473_0"	"PISA_est-EST_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1075"	"Runner C"	"Jooksja C"	"Q2M939_question_question2_3_5c9d20c9a987a8.49208563_0"	"PISA_est-EST_MAT_M939-Racing_en21_MS2022.xlf"
"1073"	"Runner A"	"Jooksja A"	"Q2M939_question_question2_1_5c9d20c9a98532.97364638_0"	"PISA_est-EST_MAT_M939-Racing_en21_MS2022.xlf"
"1375"	"Canada"	"Hiina"	"M955_stimulus_tr4td1_50c7908d373aa1.63740424_0"	"PISA_est-EST_MAT_M955-Migration_en15_MS2022.xlf"
"717"	"&lt;b&gt;Carbon Dioxide&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;SÜSIHAPPEGAAS&lt;/b&gt;&lt;br /&gt; Küsimus"	"Q2M828_question_Q2itemTitle_50c7a3e5a45e98.90664440_0"	"PISA_est-EST_MAT_M828-CarbonDioxide_en15_MS2022.xlf"
"1076"	"Runner D"	"Jooksja D"	"Q2M939_question_question2_4_5c9d20c9a988e5.03096104_0"	"PISA_est-EST_MAT_M939-Racing_en21_MS2022.xlf"
"1074"	"Runner B"	"Jooksja B"	"Q2M939_question_question2_2_5c9d20c9a98676.30382780_0"	"PISA_est-EST_MAT_M939-Racing_en21_MS2022.xlf"
"1384"	"India"	"Kanada"	"M955_stimulus_tr7td1_50c7908d375cb9.41585416_0"	"PISA_est-EST_MAT_M955-Migration_en15_MS2022.xlf"
"1378"	"China"	"Holland"	"M955_stimulus_tr5td1_50c7908d3744d3.75251990_0"	"PISA_est-EST_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Kirjuta küsimuse vastus, kasutades numbriklahve.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a4efe0f4b4.40420542_0"	"PISA_est-EST_MAT_M464-Fence_en15_MS2022.xlf"
