"Segment"	"en-ZZ"	"sk-SK"	"ID"	"File"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Klikni buď na &lt;b&gt;Pravda&lt;/b&gt;, alebo na &lt;b&gt;Nepravda&lt;/b&gt; pre každé z tvrdení v nasledujúcej tabuľke."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_slo-SVK_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4922"	"Agriculture"	"Poľnohospodárstva"	"q2MA160_question_question02_6_5c9d21377dcfb6.94851687_0"	"PISA_slo-SVK_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4591"	"A"	"D"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4597"	"D"	"A"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"5046"	"Click on the &lt;img src=&quot;image/sorted.png&quot; id=&quot;q0bimg1&quot;/&gt; symbol in Column B, C, or D to sort that column in descending order."	"Klikni na symbol &lt;img src=&quot;image/sorted.png&quot; id=&quot;q0bimg1&quot;/&gt; v stĺpci B, C alebo D a zoraď tak hodnoty v príslušnom stĺpci vo vzostupnom poradí (od najnižšej hodnoty po najvyššiu)."	"q0bMA161_question_q0bli1a_5c9d21379d6004.43733026_0"	"PISA_slo-SVK_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4161"	"C"	"°C"	"MA148_stimulus2_stimulus2_2_5c9d216518d1c3.39500236_0"	"PISA_slo-SVK_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni buď na &lt;b&gt;Pravda&lt;/b&gt;, alebo na &lt;b&gt;Nepravda&lt;/b&gt; pri každom tvrdení."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_slo-SVK_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4581"	"A"	"D"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4577"	"D"	"A"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4159"	"C"	"°C"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_slo-SVK_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Svoju odpoveď vysvetli a zdôvodnenie podlož číselnými hodnotami."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_slo-SVK_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Vyber z jednotlivých rozbaľovacích zoznamov odpoveď na otázku."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_slo-SVK_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni buď na &lt;b&gt;Pravda&lt;/b&gt;, alebo na &lt;b&gt;Nepravda&lt;/b&gt; pre každé z nasledujúcich tvrdení."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_slo-SVK_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"3981"	"Litres"	"Litre"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_slo-SVK_MAT_MA146-Fuel_en21_MS2022.xlf"
