"Segment"	"en-ZZ"	"ka-GE"	"ID"	"File"
"1319"	"Are fences the best way to protect acacia trees from elephants?"	"შემოღობვა საუკეთესო საშუალებაა აკაციის ხეების სპილოებისაგან დასაცავად?"	"S603_question5_question5_2_56f9ce15e88716.93227019_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"1209"	"All four types of branches were offered to the elephants at time 0, and observations were made every 10 minutes for one hour. The following data were collected from the study:"	"ოთხივე ტიპის ტოტები შესთავაზეს 0 დროს და დაკვირვებებს აწარმოებდნენ ყოველ 10 წუთში ერთხელ ერთი საათის განმავლობაში. კვლევის შედეგად მიღებული მონაცემები შემდეგნაირია:"	"S603_stimulus1_Sp12_56f9ce15de9b16.25153197_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2168"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ გახსოვდეთ მონიშნოთ &lt;b&gt;ერთი ან მეტი&lt;/b&gt; უჯრა."	"CS634_Q05_p52_56f9ce165e2297.87159502_0"	"PISA_geo-GEO_SCI_S634-Vaccination_en18_MS2022.xlf"
"1234"	"Newly hatched birds are in nests"	"ახლადგამოჩეკილი ბარტყები ბუდეებში სხედან"	"S607_intro_l02_56f9ce15e07cc7.75575921_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2179"	"In the simulation, an individual in the population will be in one of the following three states at all times."	"სიმულაციაში, მოსახლეობის წარმომადგენელი ინდივიდი სამი ჩამოთვლილი მდგომარეობიდან ყოველთვის იქნება ერთ-ერთში."	"menu_1_aMenuP2_56f9ce1661fb17.55682695_0"	"PISA_geo-GEO_SCI_S634-Vaccination_en18_MS2022.xlf"
"2303"	"increases"	"იზრდება"	"question5_1_o5b_1_56f9ce166e48f8.43848797_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"874"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;ქალაქის სიცხის კუნძულის ეფექტი&lt;/b&gt;&lt;br /&gt; შეკითხვა"	"S602_question2_qitemTitle2_56f9ce15b98aa7.56643861_0"	"PISA_geo-GEO_SCI_S602-UrbanHeatIslandEffect_en18_MS2022.xlf"
"1208"	"One experiment involved offering captive elephants an equal number of branches from each of the two species. Ants were removed from half of the species A branches, and ants were added to half of the species B branches. All branches were of similar size and had a similar number of leaves."	"ერთ-ერთი ექსპერიმენტის დროს დაჭერილ სპილოებს ორივე სახეობის თანაბარი რაოდენობის ტოტები შესთავაზეს.  A სახეობის ტოტების ნახევარს ჭიანჭველები მოაშორეს, ხოლო B სახეობის ტოტების ნახევარზე ჭიანჭველები დასვეს. ყველა ტოტი თანაბარი ზომის იყო და თანაბარი რაოდენობის ფოთლები ჰქონდა."	"S603_stimulus1_Sp11_56f9ce15de9853.67677566_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2304"	"decreases"	"მცირდება"	"question5_1_o5b_2_56f9ce166e4b58.03741853_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"1313"	"&lt;b&gt;Development and Disaster&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;განვითარება და კატასტროფა&lt;/b&gt;&lt;br /&gt; შეკითხვა"	"S603_question5_itemTitle5_56f9ce15e87110.52427026_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
"2494"	"Can this question be answered by scientific experiments?"	"შეიძლება თუ არა ამ კითხვას სამეცნიერო ექსპერიმენტების მეშვეობით ვუპასუხოთ?"	"S638_question4_Q4_tr1th1_56f9ce1682b0d8.62476190_0"	"PISA_geo-GEO_SCI_S638-OilSpills_en18_MS2022.xlf"
"2299"	"increases"	"იზრდება"	"question5_1_o5_1_56f9ce166e3e36.69131967_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2300"	"decreases"	"მცირდება"	"question5_1_o5_2_56f9ce166e41a0.66507630_0"	"PISA_geo-GEO_SCI_S635-SaveTheFish_en18_MS2022.xlf"
"2809"	"To delete any row of data, click on the delete button next to that row."	"მონაცემთა მწკრივის წასაშლელად დააწკაპუნეთ ღილაკს „წაშლა“ ღილაკს მის გვერდით."	"menu_1_menuP4_56f9ce16a5c737.91244675_0"	"PISA_geo-GEO_SCI_S646-Nanoparticles_en18_MS2022.xlf"
"1318"	"Is damage to acacia trees caused mainly by elephants?"	"ძირითადად სპილოები აზიანებენ აკაციის ხეებს?"	"S603_question5_question5_1_56f9ce15e88305.92903148_0"	"PISA_geo-GEO_SCI_S607-BirdsAndCaterpillars_en18_MS2022.xlf"
