"Segment"	"en-ZZ"	"ar-QA"	"ID"	"File"
"2365"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"question5_1_itemTitle05_51940bae449ce5.58200238_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1879"	"S626 Sound in Marine Habitats"	"S626الصوت في البيئات البحرية"	"S626_stimulus3_unknownID_515e3a7276cfb5.29733817_0"	"PISA_ara-QAT_SCI_S626-SoundInMarineHabitats_en15_MS2022.xlf"
"271"	"Medium"	"متوسطة"	"S413_question3_q3t4tr2td2_50ec428cd32732.44460931_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2543"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;اكتب إجابتك على السؤال.&lt;/i&gt;"	"S638_question5_itemDirections5_51804fe18ba1e7.21783966_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"2631"	"CFL light bulbs"	"مصابيح CFL  المدمجة"	"question5_1_question5_6_51940c10266be3.09555400_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"961"	"S602 Urban Heat Island Effect"	"S602 النمو الحضري وارتفاع درجات الحرارة"	"S602_stimulus2_unknownID_515e3a71f23b87.73675307_0"	"PISA_ara-QAT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2318"	"Herring"	"أسماك الرنجة"	"S635_question1_source3_51940bae3c3c30.86104136_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2546"	"S629 Solar Cooker"	"موقد يعمل بالطاقة الشمسية S 629"	"S629_stimulus0_unknownID_51804fe18d9562.55221986_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"يمكنك استخدام هذه المحاكاة للتعرف على مدى تأثر مستويات الصيد لأسماك القد وأسماك الرنجة على الكتلة الحيوية لكل نوع من الكائنات الحية في الخليج بعد مضي فترة خمس سنوات."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2523"	"&lt;i&gt;Click on the choices in the table to answer the question below.&lt;/i&gt;"	"&lt;i&gt;اضغط على أحد الخيارات في الجدول للإجابة على السؤال أدناه.&lt;/i&gt;"	"S638_question4_itemDirections4_51804fe1883094.05290088_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"2454"	"Cod"	"أسماك القد"	"stimulus2_1_stimulus2_40_51940bae4fc2b5.26193598_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1769"	"&lt;i&gt; Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&lt;i&gt;تذكر أن تختار مربع &lt;b&gt;واحد أو أكثر.&lt;/b&gt; &lt;/i&gt;"	"S625_question3_Reminder_515e3a72606b12.91412290_0"	"PISA_ara-QAT_SCI_S625-WildfiresAndTheFireTriangle_en15_MS2022.xlf"
"2586"	"To see how all the controls in this simulation work, follow these steps:"	"لترى آلية عمل أدوات التحكم في هذه المحاكاة، اتبع الخطوات التالية :"	"question2_1_Q02P2_51940c1020b465.51317902_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2354"	"&lt;b&gt;Save the Fish&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;حافظوا على الأسماك&lt;/b&gt;&lt;br /&gt; السؤال"	"question4_1_itemTitle04_51940bae427422.58951946_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"261"	"Density"	"الكثافة"	"S413_question3_q3t3tr3td1_50ec428cd2f5e3.48087872_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2144"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التطعيم وتفشي الأمراض&lt;/b&gt;&lt;br /&gt; السؤال"	"question2_1_itemTitle02_5193fde59dc0c3.50064933_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2456"	"Low"	"منخفض"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2790"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;
قم بتشغيل المحاكاة لجمع البيانات استناداً إلى المعلومات الواردة أدناه. ثم اضغط على أحد الخيارات للإجابة على السؤال.
&lt;/i&gt;"	"question2_1_itemDirections02_51940c10381160.17280342_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2820"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"&lt;i&gt;شغل المحاكاة لجمع البيانات استناداً الى المعلومات الواردة أدناه.&lt;/i&gt; اضغط على أحد الخيارات ثم اكتب تفسيراً للإجابة على السؤال."	"question5_1_itemDirections05_51940c103ce917.28673274_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1443"	"S608 Ammonoids"	"S608 الأمونيات"	"S608_stimulus2_unknownID_515e3a72350b72.98943856_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2590"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;مقارنة بين المصابيح الكهربائية &lt;/b&gt;&lt;br /&gt; السؤال"	"question3_1_itemTitle03_51940c1022cfb2.56540380_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1014"	"Species B branches with &lt;u&gt;no&lt;/u&gt; ants"	"أغصان من النوع B &lt;u&gt;لا يوجد &lt;/u&gt; فيها نمل."	"S603_question2_nested21_515e3a72062988.62648612_0"	"PISA_ara-QAT_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2375"	"increase"	"تزداد"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2554"	"Time"	"الوقت"	"S638_stimulus1_stimulus1_3_51804fe1903507.70731024_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"2490"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;تسرب النفط&lt;/b&gt;&lt;br /&gt; السؤال"	"S638_question2_itemTitle2_51804fe1801178.77719073_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"925"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"النمو الحضري وارتفاع درجات الحرارة"	"S602_question4_qitemTitle4_515e3a71ecc5d8.94269684_0"	"PISA_ara-QAT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"272"	"Density"	"الكثافة"	"S413_question3_q3t4tr3td1_50ec428cd33022.88912682_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2450"	"None"	"لا يوجد"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1664"	"&lt;b&gt;Tornadoes&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الأعاصير&lt;/b&gt;&lt;br /&gt;  السؤال"	"S620_Q2_QitemTitle2_51740713a06d43.54952946_0"	"PISA_ara-QAT_SCI_S620-Tornadoes_en15_MS2022.xlf"
"2500"	"Disadvantage"	"السلبية"	"S638_question2_header2_51804fe1804f46.37227767_0"	"PISA_ara-QAT_SCI_S638-OilSpills_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"استغلال العلم في التنبؤ عن الكوارث الطبيعية"	"S514_question3_tr2td1_50ed2a1f98f452.61588315_0"	"PISA_ara-QAT_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"2621"	"&lt;b&gt;Comparing Light Bulbs&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;مقارنة بين المصابيح الكهربائية &lt;/b&gt;&lt;br /&gt; السؤال"	"question5_1_itemTitle05_51940c10264665.80289516_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2685"	"Please click on the NEXT arrow to continue."	"اضغط على سهم التالي للمتابعة."	"sim_1_automationMsg2_51940c102ba4f1.09359315_0"	"PISA_ara-QAT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"488"	"&lt;b&gt;Graph 1&lt;/b&gt;"	"&lt;b&gt;الرسم البياني 1 &lt;/b&gt;"	"S428_stimulus2_subtitle_50ec522a7f30c0.67962302_0"	"PISA_ara-QAT_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"249"	"Scratch resistance"	"مقاومة الخدش"	"S413_question3_q3t2tr3td1_50ec428cd2c0d6.39384099_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"278"	"Scratch resistance"	"مقاومة الخدش"	"S413_question3_q3t4tr6td1_50ec428cd35356.22421806_0"	"PISA_ara-QAT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2862"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"&lt;br /&gt;جيد! اضغط على السهم التالي للمتابعة."	"sim_1_sim_3_51940c104145d8.73020862_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2449"	"Herring"	"أسماك الرنجة"	"stimulus2_1_stimulus2_32_51940bae4fa633.51525668_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1042"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;اضغط على أحد الخيارات للإجابة على السؤال.&lt;/i&gt;"	"S603_question4_itemDirections4_515e3a720a7b99.14171118_0"	"PISA_ara-QAT_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2092"	"To run this simulation, you can use the following controls:"	"لتشغيل هذه المحاكاة استخدم عناصر التحكم التالية:"	"menu_1_aMenuP3_5193fde5960855.32998808_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2771"	"To run this simulation, you can use the following controls:"	"لتشغيل المحاكاة يمكنك استخدام أدوات التحكم التالية:"	"menu_1_menuP2_51940c10330f48.46827123_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2784"	"To see how all the controls in this simulation work, follow these steps:"	"لترى آلية عمل أدوات التحكم في هذه المحاكاة اتبع الخطوات التالية:"	"question1_1_q01p2_51940c1035b545.11039704_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1448"	"Species B"	"الأنواع B"	"S608_stimulus2_le22_515e3a72353560.98825786_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"2864"	"Please click on the NEXT arrow to continue."	"اضغط على سهم التالي للمتابعة."	"sim_1_automationMsg2_51940c104151f1.71258760_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"1053"	"&lt;b&gt;Elephants and Acacia Trees&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;الفيلة وأشجارالأكاسيا &lt;/b&gt;&lt;br /&gt;السؤال"	"S603_question5_itemTitle5_515e3a720cc5f5.49479568_0"	"PISA_ara-QAT_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"1456"	"Time (million years ago)"	"الزمن( بمليون سنة ماضية)"	"S608_stimulus2_p23_515e3a72356726.27719046_0"	"PISA_ara-QAT_SCI_S608-Ammonoids_en15_MS2022.xlf"
"3030"	"Year"	"السنة"	"S657_stimulus1_p25_518050dc49ea96.13591958_0"	"PISA_ara-QAT_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2371"	"increase"	"تزداد"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2808"	"&lt;i&gt;Run the simulation to collect data based on the information below. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;
قم بتشغيل المحاكاة لجمع البيانات استناداً إلى المعلومات الواردة أدناه. ثم اضغط على أحد الخيارات للإجابة على السؤال.
&lt;/i&gt;"	"question4_1_itemDirections04_51940c103b3ee7.77719911_0"	"PISA_ara-QAT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"920"	"&lt;b&gt;Urban Heat Island Effect&lt;/b&gt;&lt;br /&gt; Question"	"النمو الحضري وارتفاع درجات الحرارة"	"S602_question3_qitemTitle3_515e3a71ea4ab2.35582126_0"	"PISA_ara-QAT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"2407"	"✔ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ تذكر أنه يمكنك اختيار  &lt;b&gt; مربع واحد أو أكثر &lt;/b&gt; للإجابة على السؤال."	"S662_question7_q7p3_51940bae49c112.44979934_0"	"PISA_ara-QAT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2207"	"&lt;b&gt;Vaccination and Spreading of Disease&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;التطعيم وتفشي الأمراض&lt;/b&gt;&lt;br /&gt; سؤال"	"CS634_Q05_itemTitle05_5193fde5a48808.24424360_0"	"PISA_ara-QAT_SCI_S634-Vaccination_en15_MS2022.xlf"
