"Segment"	"en-ZZ"	"sv-SE"	"ID"	"File"
"4182"	"Use drag and drop to answer the question."	"Svara på frågan genom att använda dra och släpp.&lt;/i&gt;"	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_swe-SWE_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3130"	"Alice's Tips"	"Alices tips"	"js_translation_tipsLinkTitle_56fd79426baef0.22791933_0"	"PISA_swe-SWE_REA_R552-FestiRock_en18_MS2022.xlf"
"211"	"£30"	"359 kr"	"R102_stimulus_tr23td3_50c7af2a8466b4.36689781_0"	"PISA_swe-SWE_REA_R102-Shirts_en15_MS2022.xlf"
"5824"	"Benches"	"Bänkarna"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_swe-SWE_REA_R569-TheCleanup_en18_MS2022.xlf"
"4585"	"Click on one or more boxes to answer the question."	"Svara på frågan genom att markera en eller flera rutor."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_swe-SWE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5163"	"Web Search"	"Webbsökning"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_swe-SWE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Är påståendet sant eller falskt, enligt broschyren?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_swe-SWE_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5144"	"Web Search"	"Webbsökning"	"R567_stimulus2_pg02h1_56fc7879064c57.20721994_0"	"PISA_swe-SWE_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"571"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"Med en gammal skotsk valfångstbåt, Terra Nova, avseglar den första juni 1910, engelsmannen Scotts expedition (sextiofem män, sjutton ponnyer och trettio hundar) från den europeiska kontinenten. Förberedelserna har tagit nästan ett år. Expeditionen har två syften: att genomföra ett vetenskapligt forskningsprogram och naturligtvis också att erövra Sydpolen. Plötsligt ska Scott upptäcka en respektingivande medtävlare, norrmannen Roald Amundsen."	"R220_stimulus_p1_50c7c0d592d4e1.55227729_0"	"PISA_swe-SWE_REA_R220-SouthPole_en15_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Svara på frågan genom att använda dra och släpp.&lt;/i&gt;"	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_swe-SWE_REA_R569-TheCleanup_en18_MS2022.xlf"
"4944"	"Website"	"Webbplats"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_swe-SWE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1477"	"Yes, that’s my plan, but I’m more interested in the tutoring post..."	"&amp;ndash; Jo, jag tänkte det, men nu är jag mer intresserad av det där om läxhjälp..."	"Q02R542_question_Convp7_56fc782107fe14.69518872_1_0"	"PISA_swe-SWE_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4942"	"Website"	"Webbplats"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_swe-SWE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Markera &lt;b&gt;Ja&lt;/b&gt; eller &lt;b&gt;Nej&lt;/b&gt; för varje aktivitet."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_swe-SWE_REA_R570-TheFavour_en18_MS2022.xlf"
"3549"	"Web Search"	"Webbsökning"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_swe-SWE_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"492"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"Med en gammal skotsk valfångstbåt, Terra Nova, avseglar den första juni 1910, engelsmannen Scotts expedition (sextiofem män, sjutton ponnyer och trettio hundar) från den europeiska kontinenten. Förberedelserna har tagit nästan ett år. Expeditionen har två syften: att genomföra ett vetenskapligt forskningsprogram och naturligtvis också att erövra Sydpolen. Plötsligt ska Scott upptäcka en respektingivande medtävlare, norrmannen Roald Amundsen."	"R220_stimulus_p1_50c7c0d58aed82.79943816_0"	"PISA_swe-SWE_REA_R220-SouthPole_en15_MS2022.xlf"
"5104"	"Click on one or more boxes to answer the question."	"Svara på frågan genom att markera en eller flera rutor."	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_swe-SWE_REA_R566-SkelligRocks_en18_MS2022.xlf"
"639"	"Then click on the NEXT arrow to view the first question."	"Klicka sedan på pilen NÄSTA för att se den första frågan."	"R404_question_introBullet3_50c7c8b5a80744.56251509_0"	"PISA_swe-SWE_REA_R404-Sleep_en15_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Skriv dina svar på frågan."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_swe-SWE_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
