"Segment"	"en-ZZ"	"es-AR"	"ID"	"File"
"520"	"Preparations had taken nearly a year."	"Los preparativos  llevaron casi un año."	"R220_stimulus_p1_5c3f62723e03e6.14306320_1_0"	"PISA_esp-ARG_REA_R220-SouthPole_en21_MS2022.xlf"
"519"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe."	"El 1 de junio de 1910, en un viejo ballenero escocés, el Terra Nova, el equipo del inglés (sesenta y cinco hombres, diecisiete ponys y treinta perros) dejó atrás el continente europeo."	"R220_stimulus_p1_5c3f62723e03e6.14306320_0_0"	"PISA_esp-ARG_REA_R220-SouthPole_en21_MS2022.xlf"
"2597"	"&lt;i&gt;Refer to the School’s Email on the right."	"&lt;i&gt; Leé el correo electrónico de la escuela a la derecha."	"R547_question2_itemDirections_56fc782e072020.06902189_0_0"	"PISA_esp-ARG_REA_R547-BookSurvey_en18_MS2022.xlf"
"1433"	"&gt; For purchases between £150 and £299.99, Work Right will reimburse you £50."	"&gt; Por compras entre $10.500 y $20.999, Ofiteca le reembolsa $3.500"	"R466_stimulus_line5_5c3f627ea44a00.26836704_2_0"	"PISA_esp-ARG_REA_R466-WorkRight_en21_MS2022.xlf"
"361"	"S"	"D"	"R219_stimulus_stimulus_10_5c3f627105ffe8.32439096_0"	"PISA_esp-ARG_REA_R219-Employment_en21_MS2022.xlf"
"2442"	"Is the statement true or false?"	"Según el folleto, ¿es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-ARG_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4928"	"Website"	"Sitio Web"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_esp-ARG_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1430"	"20"	"1.400"	"R466_stimulus_q3key_5c3f627ea448d8.96217324_0"	"PISA_esp-ARG_REA_R466-WorkRight_en21_MS2022.xlf"
"1762"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Hacé clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; en cada afirmación."	"Q07_question_Q07p2_56fc7820d48153.65791538_1_0"	"PISA_esp-ARG_REA_R541-Plastic_en18_MS2022.xlf"
"3799"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después hacé clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_esp-ARG_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1435"	"&gt; For purchases of £300 or more, Work Right will reimburse you £100."	"&gt; Por compras iguales o superiores a $21.000, Ofiteca le reembolsa $7.000"	"R466_stimulus_line5_5c3f627ea44a00.26836704_4_0"	"PISA_esp-ARG_REA_R466-WorkRight_en21_MS2022.xlf"
"4930"	"Website"	"Sitio Web"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_esp-ARG_REA_R566-SkelligRocks_en18_MS2022.xlf"
"358"	"T"	"J"	"R219_stimulus_stimulus_7_5c3f627105fb72.72686791_0"	"PISA_esp-ARG_REA_R219-Employment_en21_MS2022.xlf"
"5666"	"Park"	"Parque"	"q2R569_question_source2_56fc78794f5ed5.21217846_0"	"PISA_esp-ARG_REA_R569-TheCleanup_en18_MS2022.xlf"
"3791"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después hacé clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_esp-ARG_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"621"	"Preparations had taken nearly a year."	"Los preparativos  llevaron casi un año."	"R220_stimulus_p1_5c3f627241bbc5.91921887_1_0"	"PISA_esp-ARG_REA_R220-SouthPole_en21_MS2022.xlf"
"4653"	"Type your answers to the questions."	"Escribí tu respuesta a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-ARG_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3143"	"Type your answer to the question."	"Escribí tu respuesta."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_esp-ARG_REA_R550-CliffPalace_en18_MS2022.xlf"
"5800"	"Click on the NEXT arrow to read the story."	"Hacé clic en la flecha SIGUIENTE para leer la historia."	"q00c-body_q00c-p2_56fc787976c2f9.32730316_0"	"PISA_esp-ARG_REA_R570-TheFavour_en18_MS2022.xlf"
"880"	"16 years"	"16  años"	"R404_stimulus_tr3td3_5c3f62758ae808.78857881_0"	"PISA_esp-ARG_REA_R404-Sleep_en21_MS2022.xlf"
"620"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe."	"El 1 de junio de 1910, en un viejo ballenero escocés, el Terra Nova, el equipo del inglés (sesenta y cinco hombres, diecisiete ponys y treinta perros) dejó atrás el continente europeo."	"R220_stimulus_p1_5c3f627241bbc5.91921887_0_0"	"PISA_esp-ARG_REA_R220-SouthPole_en21_MS2022.xlf"
"4823"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Después hacé clic en la flecha SIGUIENTE&lt;/i&gt;."	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_esp-ARG_REA_R565-SittingDisease_en18_MS2022.xlf"
"1471"	"Between £150 and £299.99"	"Entre $10.500 y $ 20.999"	"R466_stimulus_sect3left_5c3f627ea46764.07798099_0_0"	"PISA_esp-ARG_REA_R466-WorkRight_en21_MS2022.xlf"
