"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"2681"	"Low"	"Малий"	"js_translation_low_5c9d227befabd7.87112589_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1314"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S603_question4_itemDirections4_5c9d227aaff921.28142495_0"	"PISA_ukr-UKR_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"628"	"No"	"добрива"	"S438_stimulus2_chem1_5c3f6299358b61.52620517_0_0"	"PISA_ukr-UKR_SCI_S438-GreenParks_en21_MS2022.xlf"
"2548"	"None"	"Нуль"	"stimulus2_1_stimulus2_35_5c9d227be13994.26206749_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2550"	"Medium"	"Середній"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"704"	"No"	"добрива"	"S438_stimulus2_chem16_5c3f629935bb21.57918252_0_0"	"PISA_ukr-UKR_SCI_S438-GreenParks_en21_MS2022.xlf"
"652"	"No"	"добрива"	"S438_stimulus2_chem6_5c3f62993598c8.20080095_0_0"	"PISA_ukr-UKR_SCI_S438-GreenParks_en21_MS2022.xlf"
"1768"	"Click on a choice to answer the question.&lt;/i&gt;"	"Виберіть відповідь на запитання та клікніть на неї.&lt;/i&gt;"	"S610_question2_itemDirections2_5c9d227b2a28b0.28922188_1_0"	"PISA_ukr-UKR_SCI_S610-Brain-controlledRobotics_en21_MS2022.xlf"
"3000"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Виберіть у таблиці відповіді на запитання та клікніть на них.&lt;/i&gt;"	"S645_question1_itemDirections1_5c9d227c4f8b07.32611541_1_0"	"PISA_ukr-UKR_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2683"	"High"	"Великий"	"js_translation_high_5c9d227befbe32.99905741_0"	"PISA_ukr-UKR_SCI_S635-SaveTheFish_en21_MS2022.xlf"
