"Segment"	"en-ZZ"	"is-IS"	"ID"	"File"
"5313"	"False"	"Röng"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_isl-ISL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"500"	"his disappointment"	"vonbrigðunum"	"R220_stimulus_stimulusH_5_50c7c07a9d7554.08628277_0"	"PISA_isl-ISL_REA_R220-SouthPole_en15_MS2022.xlf"
"5270"	"False"	"Röng"	"R567_question05_q05tr1th3_56fc787910fb30.40248662_0"	"PISA_isl-ISL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Er þessi staðhæfing rétt eða röng, samkvæmt bæklingnum?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_isl-ISL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4474"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"GEFIÐ ÚT AF FRAMHALDSSKÓLA SETUBÆJAR"	"R563-stimulus-news_news-caption_56fc786b3a39f3.22500385_0"	"PISA_isl-ISL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5022"	"Click on one or more boxes to answer the question."	"Smelltu á einn eða fleiri reiti til að svara spurningunni."	"R566_question01_q01itemDirections_56fc786b7efb09.20390208_1_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1561"	"Wednesday"	"Miðvikudagur"	"Q09R542_question_Q09r4c1_56fc78211254d6.42072546_0"	"PISA_isl-ISL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5007"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00b-body_q00b-itemDirections_56fc786b7c7802.60907040_0_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1069"	"Between £150 and £299.99&lt;br /&gt;"	"Milli 15.000 kr. og 29.999 kr.  &lt;br /&gt;"	"R466_stimulus_sect3left_50c7c97545e588.18343162_0"	"PISA_isl-ISL_REA_R466-WorkRight_en15_MS2022.xlf"
"506"	"courageously"	"hinn hugrakki hópur"	"R220_stimulus_stimulusH_9_50c7c07a9d8962.52078524_0"	"PISA_isl-ISL_REA_R220-SouthPole_en15_MS2022.xlf"
"4134"	"Type your answer to the question."	"Smelltu á valkost og skrifaðu síðan útskýringu til að svara spurningunni."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_isl-ISL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5746"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_0_0"	"PISA_isl-ISL_REA_R569-TheCleanup_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Þegar keypt er fyrir 6.000 til 14.999 kr. mun Vinnum rétt endurgreiða þér &lt;span id=&quot;q3key&quot;&gt;2.000&lt;/span&gt; kr.&lt;br /&gt; &gt; Þegar keypt er fyrir 15.000 til 29.999 kr. mun Vinnum rétt endurgreiða þér 5.000 kr.&lt;br /&gt; &gt; Þegar keypt er fyrir 30.000 kr. eða meira mun Vinnum rétt endurgreiða þér 10.000 kr.&lt;br /&gt;"	"R466_stimulus_line5_50c7c9754592e9.63579160_0"	"PISA_isl-ISL_REA_R466-WorkRight_en15_MS2022.xlf"
"2103"	"False"	"Röng"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_isl-ISL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4028"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_isl-ISL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5012"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4091"	"Who's in the Chat"	"Hver er á spjallinu?"	"R561_stimulus2_chatMemberListTitle2_56fc785d23a564.23486697_0"	"PISA_isl-ISL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1559"	"Monday"	"Mánudagur"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_isl-ISL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5938"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00c-body_q00c-itemDirections_56fc787976ba68.37031688_0_0"	"PISA_isl-ISL_REA_R570-TheFavour_en18_MS2022.xlf"
"4386"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"GEFIÐ ÚT AF FRAMHALDSSKÓLA SETUBÆJAR"	"R563-stimulus-communtity_news-caption_56fc786b34c954.74055948_0"	"PISA_isl-ISL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Skrifaðu svar þitt við spurningunni."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_isl-ISL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5643"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_0_0"	"PISA_isl-ISL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5104"	"Click on one or more boxes to answer the question."	"Smelltu á einn eða fleiri reiti til að svara spurningunni."	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1066"	"What is the total value of the Work Right office supplies* that you have purchased?&lt;br /&gt;"	"Hvert er heildarverðmæti þeirra Vinnum rétt-skrifstofuvara*  sem þú keyptir? &lt;br /&gt;"	"R466_stimulus_section3_50c7c97545d516.25685095_0"	"PISA_isl-ISL_REA_R466-WorkRight_en15_MS2022.xlf"
"1563"	"Friday"	"Föstudagur"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_isl-ISL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4943"	"Newspaper Article"	"Blaðagrein"	"R566_Stimulus04_stimulus4_4_56fc786b760df6.67373249_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6158"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_isl-ISL_REA_R590-Sentences01_en18_MS2022.xlf"
"5928"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00b-body_q00b-itemDirections_56fc787975ae90.73732058_0_0"	"PISA_isl-ISL_REA_R570-TheFavour_en18_MS2022.xlf"
"576"	"The worst has happened"	"Versta martröð okkar hefur ræst"	"R220_stimulus_stimulusHQ4_3_50c7c07aa37f99.59370916_0"	"PISA_isl-ISL_REA_R220-SouthPole_en15_MS2022.xlf"
"4415"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"GEFIÐ ÚT AF FRAMHALDSSKÓLA SETUBÆJAR"	"R563-stimulus-communtity_news-caption_56fc786b364c68.26906186_0"	"PISA_isl-ISL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4919"	"Newspaper Article"	"Blaðagrein"	"R566_Stimulus01_stimulus1_4_56fc786b72cd07.38862724_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"301"	"T"	"F"	"R219_stimulus_stimulus_7_50c7b7af0a2dd1.36185749_0"	"PISA_isl-ISL_REA_R219-Employment_en15_MS2022.xlf"
"4439"	"A PUBLICATION OF ZEDTOWN HIGH SCHOOL"	"GEFIÐ ÚT AF FRAMHALDSSKÓLA SETUBÆJAR"	"R563-stimulus-communtity_news-caption_56fc786b37ee87.31803491_0"	"PISA_isl-ISL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1560"	"Tuesday"	"Þriðjudagur"	"Q09R542_question_Q09r3c1_56fc7821124ea0.25543296_0"	"PISA_isl-ISL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1630"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_isl-ISL_REA_R543-Nobel_en18_MS2022.xlf"
"2491"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q00b-body_q00b-itemDirections_56fc786acb26b7.77035141_0_0"	"PISA_isl-ISL_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1068"	"Between £60 and £149.99&lt;br /&gt;"	"Milli 6.000 kr. og 14.999 kr. &lt;br /&gt;"	"R466_stimulus_sect3left_50c7c97545df05.93179972_0"	"PISA_isl-ISL_REA_R466-WorkRight_en15_MS2022.xlf"
"5811"	"Bottles"	"Flöskum"	"q4R569_question_question04_4_56fc787951f7a9.77277158_0"	"PISA_isl-ISL_REA_R569-TheCleanup_en18_MS2022.xlf"
"5810"	"Cans"	"Dósum"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_isl-ISL_REA_R569-TheCleanup_en18_MS2022.xlf"
"1313"	"False"	"Röng"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_isl-ISL_REA_R541-Plastic_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Smelltu á annaðhvort &lt;b&gt;Já&lt;/b&gt; eða &lt;b&gt;Nei&lt;/b&gt; fyrir hvert atriði."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_isl-ISL_REA_R570-TheFavour_en18_MS2022.xlf"
"1562"	"Thursday"	"Fimmtudagur"	"Q09R542_question_Q09r5c1_56fc7821125b03.05473188_0"	"PISA_isl-ISL_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5648"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_isl-ISL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5385"	"Read the information below."	"Lestu upplýsingarnar að neðan."	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_0_0"	"PISA_isl-ISL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"584"	"16 hours&lt;br /&gt;of darkness"	"16 tíma &lt;br /&gt;of myrkur"	"R220_stimulus_label2_50c7c07aa68db2.43880075_0"	"PISA_isl-ISL_REA_R220-SouthPole_en15_MS2022.xlf"
"4941"	"Newspaper Article"	"Blaðagrein"	"R566_Stimulus03_stimulus3_4_56fc786b74cf78.80226002_0"	"PISA_isl-ISL_REA_R566-SkelligRocks_en18_MS2022.xlf"
