"Segment"	"en-ZZ"	"lv-LV"	"ID"	"File"
"4736"	"Green"	"zaļas"	"MA158_stimulus_r7c1_5c9d216579b825.77073608_0"	"PISA_lav-LVA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Lai izmantotu kalkulatoru, rīkojies šādi:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_lav-LVA_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4718"	"Green"	"zaļas"	"MA158_stimulus_r4c1_5c9d21657999b4.37216044_0"	"PISA_lav-LVA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4732"	"Green"	"zaļas"	"MA158_stimulus_r6c3_5c9d216579b029.42873499_0"	"PISA_lav-LVA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"Lai atbildētu uz jautājumu, izvēlies atbilžu variantus no izvēlnēm."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_lav-LVA_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Lai atbildētu uz jautājumu, vilkšanai izmanto peli."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_lav-LVA_MAT_MA157-Tyres_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Uzraksti atbildi uz jautājumu, izmantojot ciparu taustiņus."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_lav-LVA_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Kopējais skaits &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_lav-LVA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓  Atceries, ka jāizvēlas &lt;b&gt;viens vai vairāki&lt;/b&gt; lodziņi."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_lav-LVA_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4831"	"Calculate"	"Rēķināšana"	"MA160_stimulus_calc_5c9d213774a522.91481809_0"	"PISA_lav-LVA_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"4744"	"Blue"	"zilas"	"MA158_stimulus_r8c3_5c9d216579c6d7.57564368_0"	"PISA_lav-LVA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓ Atceries, ka jāizvēlas &lt;b&gt;viens vai vairāki&lt;/b&gt; lodziņi."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_lav-LVA_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5075"	"Statement"	"Jautājums"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_lav-LVA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3182"	"Select from the drop-down menus to answer the question."	"Atbildi uz jautājumu, izvēloties atbildi no nolaižamajām izvēlnēm."	"Q1MA134_question_Q1ItmDirP1Id_5c9d2164317095.77316110_1_0"	"PISA_lav-LVA_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5019"	"Mean"	"Vidējā vērtība"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_lav-LVA_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3456"	"Select from the drop-down menus to answer the question."	"Atbildi uz jautājumu, izvēloties atbildi no nolaižamajām izvēlnēm."	"q2CMA137_question_q2itemDirections_5c9d2164709768.71897094_1_0"	"PISA_lav-LVA_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Noklikšķini uz atbilžu variantiem tabulā, lai atbildētu uz jautājumu."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_lav-LVA_MAT_MA158-EyeColour_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Uzraksti atbildi uz jautājumu, izmantojot ciparu taustiņus."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_lav-LVA_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Noklikšķini uz atbilžu variantiem tabulā, lai atbildētu uz jautājumu."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_lav-LVA_MAT_MA144-Yogurt_en21_MS2022.xlf"
