"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"1343"	"Canada"	"Германія"	"M955_stimulus_tr4td1_56f9d624617ac1.78097167_0"	"PISA_bel-BLR_MAT_M955-Migration_en18_MS2022.xlf"
"932"	"zeds"	"зэды(-аў)"	"Q2M915_question_sp2_56f9d624430f05.56443023_0"	"PISA_bel-BLR_MAT_M915-CarbonTax_en18_MS2022.xlf"
"956"	"zeds"	"зэды(-аў)"	"Q2M919_question_Q2sp1_56f9d6244639d0.75636106_0"	"PISA_bel-BLR_MAT_M919-FanMerchandise_en18_MS2022.xlf"
"1352"	"India"	"Канада"	"M955_stimulus_tr7td1_56f9d624619ae0.28227611_0"	"PISA_bel-BLR_MAT_M955-Migration_en18_MS2022.xlf"
"1276"	"&lt;i&gt;Refer to &quot;Flu Test&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Звярніцеся да тэксту &quot;Дыягностыка грыпу справа. Запішыце свой адказ на пытанне.&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_56f9d6245a3d86.82761821_0"	"PISA_bel-BLR_MAT_M953-FluTest_en18_MS2022.xlf"
"262"	"B"	"Б"	"js_translation_label1_56f9d623e75143.10256117_0"	"PISA_bel-BLR_MAT_M305-Map_en18_MS2022.xlf"
"1016"	"A"	"А"	"M939_stimulus_label4_5c9d20c9a72893.35708408_0"	"PISA_bel-BLR_MAT_M939-Racing_en21_MS2022.xlf"
"1346"	"China"	"Злучаныя Штаты Амерыкі"	"M955_stimulus_tr5td1_56f9d6246187b4.10730220_0"	"PISA_bel-BLR_MAT_M955-Migration_en18_MS2022.xlf"
"1017"	"B"	"Б"	"M939_stimulus_label5_5c9d20c9a72959.78629404_0"	"PISA_bel-BLR_MAT_M939-Racing_en21_MS2022.xlf"
"949"	"zeds"	"зэды(-аў)"	"Q1M919_question_Q1sp1_56f9d624455453.63766980_0"	"PISA_bel-BLR_MAT_M919-FanMerchandise_en18_MS2022.xlf"
"1019"	"D"	"Г"	"M939_stimulus_label7_5c9d20c9a72ae6.49724453_0"	"PISA_bel-BLR_MAT_M939-Racing_en21_MS2022.xlf"
"1018"	"C"	"В"	"M939_stimulus_label6_5c9d20c9a72a10.26747370_0"	"PISA_bel-BLR_MAT_M939-Racing_en21_MS2022.xlf"
"261"	"A"	"А"	"js_translation_label0_56f9d623e74a95.56532023_0"	"PISA_bel-BLR_MAT_M305-Map_en18_MS2022.xlf"
