"Segment"	"en-ZZ"	"sr-ME"	"ID"	"File"
"73"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /Pokaži kako si došao/la do rješenja.&lt;br /&gt;"	"Q3M155_question_Q3itemStem_5134b487e02918.27727935_0"	"PISA_mne-MNE_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"334"	"Statement"	"Tvrdnja"	"Q1M420_question_Q1tr1th1_5134b489557259.76674911_0"	"PISA_mne-MNE_MAT_M420-Transport_en15_MS2022.xlf"
"333"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements below.&lt;br /&gt;"	"Klikni na &lt;b&gt;Tačno&lt;/b&gt; or &lt;b&gt;Netačno&lt;/b&gt; za svaku od sljedećih tvrdnji:&lt;br /&gt;"	"Q1M420_question_Q1itemStem_5134b489556a03.86582136_0"	"PISA_mne-MNE_MAT_M420-Transport_en15_MS2022.xlf"
"887"	"110 zeds"	"110 zedaeds"	"M909_stimulus_t1tr5td2_5134b48d8f4084.10276339_0"	"PISA_mne-MNE_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1237"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Pokaži kako si došao/la do rješenja.&lt;br /&gt;"	"Q3M953_question_Q3itemStem_5134b48fd4e692.98587053_0"	"PISA_mne-MNE_MAT_M953-FluTest_en15_MS2022.xlf"
"572"	"&lt;i&gt;Refer to &quot;Chair Lift&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Odgovori na pitanje klikom na jedan od ponuđenih odgovora..&lt;/i&gt;"	"Q2M564_question_Q2itemDirections_5134b48b970b53.88690831_0"	"PISA_mne-MNE_MAT_M564-ChairLift_en15_MS2022.xlf"
"1288"	"&lt;i&gt;C&lt;/i&gt; = child dose in appropriate units"	"&lt;i&gt;D&lt;/i&gt; = dječja doza u dgovarajućim mjernim jedinicama"	"M954_stimulus2_s2_tr3td2_5134b490297c48.37708871_0"	"PISA_mne-MNE_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"1325"	"Canada"	"Holandija"	"M955_stimulus_tr4td1_5134b49069f719.78343306_0"	"PISA_mne-MNE_MAT_M955-Migration_en15_MS2022.xlf"
"1282"	"&lt;i&gt;y&lt;/i&gt; × &lt;i&gt;A&lt;/i&gt;"	"&lt;i&gt;g&lt;/i&gt; &amp;bull; &lt;i&gt;O&lt;/i&gt;"	"M954_stimulus2_stimulus2_4_5134b490295bb1.90739293_0"	"PISA_mne-MNE_MAT_M954-MedicineDoses_en15_MS2022.xlf"
"70"	"&lt;i&gt;Refer to &quot;Population Pyramids&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Koristi informacije iz teksta &quot;Starosne struktura&quot; sa desne strane. Otkucaj odgovor na pitanje.&lt;/i&gt;"	"Q3M155_question_Q3itemDirections_5134b487dffa10.55355847_0"	"PISA_mne-MNE_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
"1334"	"India"	"Kenija"	"M955_stimulus_tr7td1_5134b4906a3026.86197851_0"	"PISA_mne-MNE_MAT_M955-Migration_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Otkucaj odgovor koristeći numeričku tastaturu.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_5134b48a759d05.88314799_0"	"PISA_mne-MNE_MAT_M464-Fence_en15_MS2022.xlf"
"1328"	"China"	"Indija"	"M955_stimulus_tr5td1_5134b4906a09f0.10244961_0"	"PISA_mne-MNE_MAT_M955-Migration_en15_MS2022.xlf"
"616"	"Statement"	"Tvrdnja"	"Q1M603_question_Q1tr1th1_5134b48c0b1ec2.13837556_0"	"PISA_mne-MNE_MAT_M603-NumberCheck_en15_MS2022.xlf"
