"Segment"	"en-ZZ"	"ru-BY"	"ID"	"File"
"331"	"Then click on the NEXT arrow to view the first question."	"Затем нажмите на стрелку ДАЛЬШЕ, чтобы увидеть первый вопрос."	"R220_question_introBullet3_50d374cebb9cf9.36790836_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"5313"	"False"	"Неверно"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_rus-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2801"	"Autumn"	"Осенью"	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2660"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_ancestral_ancestral_l4_56fc785cc8e502.87212348_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Нажмите на &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Нет&lt;/b&gt; для каждого утверждения."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_rus-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_rus-BLR_REA_R556-Microlending_en18_MS2022.xlf"
"3744"	"Tyson Electronics"	"«Тайман Электроникс»"	"R558_question09_question09_1_56fc786b14f066.72805285_0"	"PISA_rus-BLR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2773"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_tours_tours_l4_56fc785cd3adf1.25063481_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"2102"	"True"	"Верно"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_rus-BLR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2771"	"General Information"	"Общие сведения"	"R550_tours_tours_l2_56fc785cd3a437.22088880_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Важно! Не забудьте приложить:&lt;/b&gt;&lt;br /&gt; &amp;mdash; Копию, чеков, подтверждающих вашу покупку.&lt;br /&gt; &amp;mdash; Штрих-код(ы) или ценник(и) от ваших покупок.&lt;br /&gt;"	"R466_stimulus_sect3right_50d37b7b1eb2a3.23359286_0"	"PISA_rus-BLR_REA_R466-WorkRight_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"ОБЩИЕ УСЛОВИЯ ДЕЙСТВУЮЩЕГО ПРЕДЛОЖЕНИЯ&lt;br /&gt; 1. Акция не распространяется на оптовиков и розничную торговлю, продающих тот же ассортимент товаров.
2. Предложение распространяется только на следующие товары, предлагаемые «Идеальным офисом»: канцелярские товары, картриджи, комплектующие, офисная техника. Предложение не распространяется на любые другие товары, продаваемые в «Идеальном офисе», включая мебель."	"R466_stimulus_section4_50d37b7b1ebad7.39101658_0"	"PISA_rus-BLR_REA_R466-WorkRight_en15_MS2022.xlf"
"4031"	"Click on the NEXT arrow to read the article."	"Нажмите на стрелку ДАЛЬШЕ, чтобы прочитать эту статью."	"q00bbody_q00bp2_56fc784a832d02.66358957_0"	"PISA_rus-BLR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"492"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1 июня 1910 года на старом шотландском китобойном судне «Новая Земля» английская команда (шестьдесят пять мужчин, семнадцать пони и тридцать собак) отплыли от Европейского континента. Подготовка к путешествию заняла почти год. Перед экспедицией стояла двойная задача: провести научные исследования и, конечно же, достигнуть Южного полюса. Неожиданно у Скотта обнаружился грозный соперник, норвежец Руаль Амундсен."	"R220_stimulus_p1_50d374cecb79b1.32178622_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"1053"	"Each line must be completed.&lt;br /&gt;"	"Каждое поле должно быть заполнено, кроме электронной почты (заполняется по желанию).&lt;br /&gt;"	"R466_stimulus_section3_50d37b7b1e6788.21749951_0"	"PISA_rus-BLR_REA_R466-WorkRight_en15_MS2022.xlf"
"2712"	"General Information"	"Общие сведения"	"R550_general_info_gi_l2_56fc785ccd9039.75364311_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Нажмите на &lt;b&gt;Да&lt;/b&gt; или &lt;b&gt;Нет&lt;/b&gt; для каждого утверждения."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_rus-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"572"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"Амундсен хотел покорить Южный полюс. 14 января 1911 года он высадился в Антарктиде, в Заливе Китов. Он готовился провести зиму с восемью спутниками и 116 собаками на базе Фрамхейм, построенной на Барьере Росса. 20 октября 1911 года Амундсен и четыре его спутника на санях, в каждые из которых было впряжено по двенадцать собак, покинули Фрамхейм, чтобы покорить Южный полюс. 17 ноября они достигли подножия Трансантарктической цепи гор около 85° Южной широты, и теперь им предстояло перейти ее. Они начали вселяющее ужас восхождение на полный расщелин ледник Акселя Хейберга."	"R220_stimulus_p2_50d374ced14c47.89501886_0"	"PISA_rus-BLR_REA_R220-SouthPole_en15_MS2022.xlf"
"325"	"TO"	"ПО"	"R219_stimulus_sect4Line3span4_50d36e0bd7ae74.99925223_0"	"PISA_rus-BLR_REA_R219-Employment_en15_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_rus-BLR_REA_R565-SittingDisease_en18_MS2022.xlf"
"4309"	"Click on a sentence in the story to answer the question."	"Для ответа на вопрос отметьте нужное предложение в рассказе."	"R562_question03_q03p3_56fc783b428b54.59101867_0"	"PISA_rus-BLR_REA_R562-OpeningNight_en18_MS2022.xlf"
"3211"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Затем нажмите на стрелку ДАЛЬШЕ.&lt;/i&gt;"	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_rus-BLR_REA_R553-HealthForum_en18_MS2022.xlf"
"5810"	"Cans"	"Банки из-под напитков"	"q4R569_question_question04_3_56fc787951f3d9.01263757_0"	"PISA_rus-BLR_REA_R569-TheCleanup_en18_MS2022.xlf"
"2756"	"Ancestral Puebloans"	"Предки пуэбло"	"R550_map_map_l4_56fc785cd18831.80713295_0"	"PISA_rus-BLR_REA_R550-CliffPalace_en18_MS2022.xlf"
