"Segment"	"en-ZZ"	"sq-AL"	"ID"	"File"
"5352"	"Argentina"	"Argjentina"	"q2MA161_question_question02_9_5c9d2137d32024.99660555_0"	"PISA_sqi-ALB_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"Klikoni mbi një alternativë në tabelë për t'ju përgjigjur pyetjes."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_sqi-ALB_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3610"	"Using the number keys, type your answer to the question."	"Duke përdorur tastet numerike, shtypni përgjigjen e pyetjes."	"MA140_question1_q1itemDirections_5c9d21649b6176.00083543_1_0"	"PISA_sqi-ALB_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"4687"	"Construction Vehicle"	"Automjeti i Ndërtimit"	"q1MA157_question_question01_7_5c9d216571b0b9.71653780_0"	"PISA_sqi-ALB_MAT_MA157-Tyres_en21_MS2022.xlf"
"1432"	"Click on the choices in the table to answer the question."	"Klikoni mbi një nga alternativat në tabelë për t'ju përgjigjur pyetjes."	"MA117_question04_q04itemDirections_5c9d214ab14856.16755359_1_0"	"PISA_sqi-ALB_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"1782"	"Using the number keys, type your answer to the question."	"Shtypni përgjigjen e pyetjes duke përdorur numrat në tastierë."	"MA118_question01_q01itemDirections_5c9d214b02b426.25463544_1_0"	"PISA_sqi-ALB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Klikoni mbi një alternativë dhe më pas shtypni një shpjegim për përgjigjen e pyetjes."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_sqi-ALB_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4702"	"Truck"	"Kamionçina"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_sqi-ALB_MAT_MA157-Tyres_en21_MS2022.xlf"
"4766"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikoni &lt;b&gt;I vërtetë&lt;/b&gt; ose &lt;b&gt;I rremë&lt;/b&gt; për secilin nga pohimet."	"q2MA158_question_q2p2_5c9d21657cb501.68112298_0"	"PISA_sqi-ALB_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4684"	"Car"	"Makina"	"q1MA157_question_question01_4_5c9d216571ab75.92779023_0"	"PISA_sqi-ALB_MAT_MA157-Tyres_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"Klikoni mbi një alternativë në tabelë për t'ju përgjigjur pyetjes."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_sqi-ALB_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"5075"	"Statement"	"Pyetja"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_sqi-ALB_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4918"	"Select from the drop-down menus to answer the question."	"Zgjidhni nga menutë që lëshohen poshtë për t'ju përgjigjur pyetjes."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_sqi-ALB_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Duke përdorur tastet numerik, shtypni përgjigjet tuaja ndaj pyetjes."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_sqi-ALB_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
