"Segment"	"en-ZZ"	"es-AR"	"ID"	"File"
"594"	"calls&lt;/b&gt;"	"internacionales&lt;/b&gt;"	"M559_stimulus_tr1td5_5c3f6286ecab20.76876359_2_0"	"PISA_esp-ARG_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"1510"	"China"	"Canadá"	"M955_stimulus_tr5td1_5c3f628fd138d0.22292354_0"	"PISA_esp-ARG_MAT_M955-Migration_en21_MS2022.xlf"
"1516"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_5c3f628fd14363.84188606_0"	"PISA_esp-ARG_MAT_M955-Migration_en21_MS2022.xlf"
"591"	"calls&lt;/b&gt;"	"nacionales&lt;/b&gt;"	"M559_stimulus_tr1td4_5c3f6286eca9c6.19423518_2_0"	"PISA_esp-ARG_MAT_M559-TelephoneRates_en21_MS2022.xlf"
"1212"	"Runner D"	"El corredor D"	"Q2M939_question_question2_4_5c3f628c96c730.22421666_0"	"PISA_esp-ARG_MAT_M939-Racing_en21_MS2022.xlf"
"1218"	"A"	"X"	"Q1M943_question_label2_50c7838d987395.50909407_0"	"PISA_esp-ARG_MAT_M943-Arches_en15_MS2022.xlf"
"827"	"COUNTRIES"	"EN VÍAS DE DESARROLLO"	"M828_stimulus_g2label1_5c3f628904d807.40110101_2_0"	"PISA_esp-ARG_MAT_M828-CarbonDioxide_en21_MS2022.xlf"
"1210"	"Runner B"	"El corredor B"	"Q2M939_question_question2_2_5c3f628c96bf47.37603515_0"	"PISA_esp-ARG_MAT_M939-Racing_en21_MS2022.xlf"
"1211"	"Runner C"	"El corredor C"	"Q2M939_question_question2_3_5c3f628c96c136.78994206_0"	"PISA_esp-ARG_MAT_M939-Racing_en21_MS2022.xlf"
"1507"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_5c3f628fd133a4.25334680_0"	"PISA_esp-ARG_MAT_M955-Migration_en21_MS2022.xlf"
"1049"	"2000"	"2.000"	"Q1M915_question_label11_5c3f628b485779.01870086_0"	"PISA_esp-ARG_MAT_M915-CarbonTax_en21_MS2022.xlf"
"1209"	"Runner A"	"El corredor A"	"Q2M939_question_question2_1_5c3f628c96bd59.72914169_0"	"PISA_esp-ARG_MAT_M939-Racing_en21_MS2022.xlf"
